number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_l1_ratio,params_n_components,state
0,0.8306005398110662,2023-01-31 00:26:52.857768,2023-01-31 00:26:57.764529,0 days 00:00:04.906761,0.25987718483543065,0.3169607011457678,0.9013361132764799,12,COMPLETE
1,0.8553624445729708,2023-01-31 00:26:57.764640,2023-01-31 00:27:00.656567,0 days 00:00:02.891927,0.1366620681475796,0.3211384836698546,0.573605789464144,6,COMPLETE
2,0.8447619047619048,2023-01-31 00:27:00.656658,2023-01-31 00:27:03.565351,0 days 00:00:02.908693,0.5226807159311818,0.06009325695427079,0.8119691532562983,30,COMPLETE
3,0.8499806076276665,2023-01-31 00:27:03.565483,2023-01-31 00:27:06.316534,0 days 00:00:02.751051,0.8783603458161492,0.6531655714118956,0.18895521870615617,23,COMPLETE
4,0.8897191697191698,2023-01-31 00:27:06.316704,2023-01-31 00:27:08.866584,0 days 00:00:02.549880,0.01687592692531649,0.9040266691210869,0.6770147412096452,19,COMPLETE
5,0.8706005398110662,2023-01-31 00:27:08.866669,2023-01-31 00:27:11.415412,0 days 00:00:02.548743,0.04766131928222849,0.08195216817823256,0.5737571296639089,20,COMPLETE
6,0.8736397554973406,2023-01-31 00:27:11.415561,2023-01-31 00:27:13.774089,0 days 00:00:02.358528,0.05547217646368499,0.13434976623212763,0.34939758561909817,20,COMPLETE
7,0.8556005398110662,2023-01-31 00:27:13.774172,2023-01-31 00:27:16.018103,0 days 00:00:02.243931,0.2178765740936665,0.4814583152440631,0.004333930165113964,12,COMPLETE
8,0.8998496240601505,2023-01-31 00:27:16.018189,2023-01-31 00:27:18.761668,0 days 00:00:02.743479,0.3568029683601946,0.7929070790052931,0.1317638043395738,14,COMPLETE
9,0.8442063492063492,2023-01-31 00:27:18.761763,2023-01-31 00:27:21.930535,0 days 00:00:03.168772,0.15274406423327375,0.6233197848380687,0.1589700396021706,27,COMPLETE
10,0.8177350427350427,2023-01-31 00:27:21.930787,2023-01-31 00:27:24.573627,0 days 00:00:02.642840,0.4452822668021016,0.9645496486734931,0.373692643167869,12,COMPLETE
11,0.8648825684119801,2023-01-31 00:27:24.573855,2023-01-31 00:27:27.735442,0 days 00:00:03.161587,0.012445373798744632,0.9406916250850382,0.7178885951381151,16,COMPLETE
12,0.8648825684119801,2023-01-31 00:27:27.735706,2023-01-31 00:27:30.420488,0 days 00:00:02.684782,0.011125937669157485,0.8088141385060361,0.965265020344713,16,COMPLETE
13,0.8706005398110662,2023-01-31 00:27:30.420576,2023-01-31 00:27:32.598217,0 days 00:00:02.177641,0.07741661503282092,0.8248204402718988,0.6778763451900034,8,COMPLETE
14,0.8706005398110662,2023-01-31 00:27:32.598302,2023-01-31 00:27:34.995685,0 days 00:00:02.397383,0.02421319047473329,0.7899154218608258,0.4368167192956375,23,COMPLETE
15,0.8706005398110662,2023-01-31 00:27:34.995770,2023-01-31 00:27:38.113922,0 days 00:00:03.118152,0.03313435492681647,0.9752354408206634,0.47670245481170775,15,COMPLETE
16,0.8748496240601504,2023-01-31 00:27:38.114009,2023-01-31 00:27:41.264493,0 days 00:00:03.150484,0.11282995544975641,0.727171837902668,0.2734978264912834,20,COMPLETE
17,0.8803624445729709,2023-01-31 00:27:41.264581,2023-01-31 00:27:43.496525,0 days 00:00:02.231944,0.019307654303542233,0.8718439171460428,0.5607193023405596,9,COMPLETE
18,0.8603064221640073,2023-01-31 00:27:43.496621,2023-01-31 00:27:45.942535,0 days 00:00:02.445914,0.07826262108415556,0.9982066190379429,0.661904528515642,23,COMPLETE
19,0.8961344537815126,2023-01-31 00:27:45.942636,2023-01-31 00:27:48.196870,0 days 00:00:02.254234,0.03749680963710215,0.6903030654767296,0.01899174858217456,18,COMPLETE
20,0.8736507936507938,2023-01-31 00:27:48.196967,2023-01-31 00:27:50.614675,0 days 00:00:02.417708,0.03897656794670729,0.6914945423708908,0.028703142661984492,14,COMPLETE
21,0.8839338731443995,2023-01-31 00:27:50.615397,2023-01-31 00:27:53.301396,0 days 00:00:02.685999,0.029188661979972698,0.8675381004275229,0.12306037825140768,18,COMPLETE
22,0.8689338731443994,2023-01-31 00:27:53.301487,2023-01-31 00:27:55.982910,0 days 00:00:02.681423,0.02109234457398111,0.734849619831071,0.07032134002189122,19,COMPLETE
23,0.8706005398110662,2023-01-31 00:27:55.982999,2023-01-31 00:27:58.403860,0 days 00:00:02.420861,0.015931428122780696,0.5879533599624528,0.23033776677182818,22,COMPLETE
24,0.8998496240601505,2023-01-31 00:27:58.403961,2023-01-31 00:28:00.587354,0 days 00:00:02.183393,0.05314426922279953,0.8814303044208668,0.06815619093486244,14,COMPLETE
25,0.8938461538461538,2023-01-31 00:28:00.587449,2023-01-31 00:28:03.021512,0 days 00:00:02.434063,0.05724467720849504,0.772034734611947,0.11679500926616247,13,COMPLETE
26,0.8865162907268171,2023-01-31 00:28:03.021604,2023-01-31 00:28:05.638794,0 days 00:00:02.617190,0.07484645887099262,0.8647102891686854,0.0907847311711563,17,COMPLETE
27,0.8909890109890111,2023-01-31 00:28:05.638886,2023-01-31 00:28:08.445745,0 days 00:00:02.806859,0.03989851173230334,0.7339044741963001,0.0294428962494254,10,COMPLETE
28,0.868597738690618,2023-01-31 00:28:08.445862,2023-01-31 00:28:10.549746,0 days 00:00:02.103884,0.03003796944180388,0.9115355330188301,0.23737637547625956,5,COMPLETE
29,0.8998496240601505,2023-01-31 00:28:10.549836,2023-01-31 00:28:12.961700,0 days 00:00:02.411864,0.10258546624358748,0.5727419676834651,0.15875892701598543,14,COMPLETE
30,0.8586080586080586,2023-01-31 00:28:12.961785,2023-01-31 00:28:15.410891,0 days 00:00:02.449106,0.21714928071966313,0.5687442174644873,0.17322857570768097,10,COMPLETE
31,0.8736507936507938,2023-01-31 00:28:15.410980,2023-01-31 00:28:18.158297,0 days 00:00:02.747317,0.11619926861801153,0.5296559346074868,0.0022829670543259503,14,COMPLETE
32,0.886984126984127,2023-01-31 00:28:18.158408,2023-01-31 00:28:20.391150,0 days 00:00:02.232742,0.14609478165819834,0.6651416199748182,0.09181889498659408,15,COMPLETE
33,0.8689338731443994,2023-01-31 00:28:20.391246,2023-01-31 00:28:22.425440,0 days 00:00:02.034194,0.08944334665956226,0.4654981282706087,0.14593045960804998,11,COMPLETE
34,0.8839338731443995,2023-01-31 00:28:22.425546,2023-01-31 00:28:24.470104,0 days 00:00:02.044558,0.058240635537515066,0.6781071620251123,0.07090974275916172,7,COMPLETE
35,0.8731829573934838,2023-01-31 00:28:24.470202,2023-01-31 00:28:27.379930,0 days 00:00:02.909728,0.33605785968004936,0.819720423630494,0.18912569967777917,17,COMPLETE
36,0.8998496240601505,2023-01-31 00:28:27.380022,2023-01-31 00:28:30.083117,0 days 00:00:02.703095,0.19362783405581205,0.6129512476815552,0.23901241924171332,14,COMPLETE
37,0.8933333333333333,2023-01-31 00:28:30.083209,2023-01-31 00:28:32.520490,0 days 00:00:02.437281,0.19362911403112856,0.4002535650362832,0.27986701247213125,13,COMPLETE
38,0.8401243493348757,2023-01-31 00:28:32.520584,2023-01-31 00:28:34.971145,0 days 00:00:02.450561,0.2995988013633192,0.6294832370982574,0.2039262492746372,11,COMPLETE
39,0.9114285714285714,2023-01-31 00:28:34.971263,2023-01-31 00:28:37.948764,0 days 00:00:02.977501,0.18270787967580165,0.5993003987776222,0.2971066515211405,14,COMPLETE
40,0.8736507936507938,2023-01-31 00:28:37.948859,2023-01-31 00:28:40.069505,0 days 00:00:02.120646,0.6912078211998129,0.550636649444848,0.3164747337377807,16,COMPLETE
41,0.8998496240601505,2023-01-31 00:28:40.069610,2023-01-31 00:28:42.505393,0 days 00:00:02.435783,0.1821992881673961,0.6248792892005041,0.16063941602317217,14,COMPLETE
42,0.8828571428571429,2023-01-31 00:28:42.505724,2023-01-31 00:28:44.960332,0 days 00:00:02.454608,0.13008089014906618,0.4939747545971411,0.2375679850867498,13,COMPLETE
43,0.8177350427350427,2023-01-31 00:28:44.960426,2023-01-31 00:28:46.859400,0 days 00:00:01.898974,0.25110232999947896,0.6246880235302831,0.35881171744191526,12,COMPLETE
44,0.886984126984127,2023-01-31 00:28:46.859498,2023-01-31 00:28:49.850631,0 days 00:00:02.991133,0.36495465971049634,0.5817428018073986,0.12704675618695874,15,COMPLETE
45,0.8401243493348757,2023-01-31 00:28:49.850729,2023-01-31 00:28:52.304656,0 days 00:00:02.453927,0.15302766316927638,0.44483722934956715,0.20223525985526977,11,COMPLETE
46,0.8350877192982458,2023-01-31 00:28:52.304755,2023-01-31 00:28:54.728127,0 days 00:00:02.423372,0.24726566143460624,0.5101610193890483,0.2914361807273693,28,COMPLETE
