number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,params_subsample,state
0,0.8332467532467532,2023-01-31 00:17:09.627399,2023-01-31 00:17:12.420000,0 days 00:00:02.792601,0.6723672301048086,0.24741262066831535,10,3400,9.42745808783468,24,1420,0.6446935104005173,COMPLETE
1,0.8332467532467532,2023-01-31 00:17:12.420114,2023-01-31 00:17:14.975652,0 days 00:00:02.555538,0.5038854825948885,0.46492744071665326,3,8800,8.95260381934779,18,471,0.9373699014419199,COMPLETE
2,0.8332467532467532,2023-01-31 00:17:14.975768,2023-01-31 00:17:17.001379,0 days 00:00:02.025611,0.39121981966649755,0.4216979357375394,-1,5400,6.145394886699895,8,1026,0.7733776054499919,COMPLETE
3,0.8332467532467532,2023-01-31 00:17:17.001486,2023-01-31 00:17:18.979505,0 days 00:00:01.978019,0.4244502961952855,0.420885447719189,6,8100,4.433439641231934,8,1461,0.8783252300194935,COMPLETE
4,0.8332467532467532,2023-01-31 00:17:18.979647,2023-01-31 00:17:21.581630,0 days 00:00:02.601983,0.34605982835342974,0.38881811992478943,5,5700,9.118228311409025,23,33,0.9072507127016503,COMPLETE
5,0.8332467532467532,2023-01-31 00:17:21.581742,2023-01-31 00:17:24.023115,0 days 00:00:02.441373,0.9581263666352895,0.5528517777688863,13,9500,6.207741834195412,28,1347,0.25921663467834577,COMPLETE
6,0.8332467532467532,2023-01-31 00:17:24.023225,2023-01-31 00:17:27.259711,0 days 00:00:03.236486,0.3580323155202587,0.6983510420270955,11,10000,8.989369706296559,17,995,0.22362696234588003,COMPLETE
7,0.8332467532467532,2023-01-31 00:17:27.259830,2023-01-31 00:17:29.968351,0 days 00:00:02.708521,0.3163750101199642,0.8070898026485527,0,9800,8.048324910932752,15,837,0.5011123547097364,COMPLETE
8,0.8332467532467532,2023-01-31 00:17:29.968461,2023-01-31 00:17:33.080935,0 days 00:00:03.112474,0.4769316907310618,0.5724297904306093,5,3400,7.659681361128808,25,1402,0.7549252050539648,COMPLETE
9,0.8332467532467532,2023-01-31 00:17:33.081044,2023-01-31 00:17:35.737764,0 days 00:00:02.656720,0.15098482835470042,0.3715179360388137,13,5800,11.792696009270816,11,1443,0.6254898192719069,COMPLETE
10,0.8332467532467532,2023-01-31 00:17:35.737872,2023-01-31 00:17:39.096312,0 days 00:00:03.358440,0.7049916560880752,0.2008650722939037,10,200,1.123208713370163,30,448,0.5291493393540404,COMPLETE
11,0.8332467532467532,2023-01-31 00:17:39.096423,2023-01-31 00:17:42.329889,0 days 00:00:03.233466,0.5992348430167761,0.9670620259831352,2,2700,13.804485168821696,21,481,0.9952525677546207,COMPLETE
12,0.8332467532467532,2023-01-31 00:17:42.329999,2023-01-31 00:17:45.548577,0 days 00:00:03.218578,0.6753299014405588,0.20648420839902726,9,7400,11.33553441332027,20,615,0.6874214025852587,COMPLETE
13,0.8332467532467532,2023-01-31 00:17:45.548693,2023-01-31 00:17:48.335304,0 days 00:00:02.786611,0.7376270294069911,0.3004249004666012,3,3300,10.749718909500071,14,190,0.839005543684905,COMPLETE
14,0.8332467532467532,2023-01-31 00:17:48.335418,2023-01-31 00:17:51.101610,0 days 00:00:02.766192,0.5663208422723122,0.5068688741671806,8,1600,14.046840664462758,26,1157,0.9656215200097982,COMPLETE
15,0.8332467532467532,2023-01-31 00:17:51.101721,2023-01-31 00:17:53.614139,0 days 00:00:02.512418,0.809158786048084,0.2987789846140403,15,7300,9.998734368610744,20,324,0.8216339519406205,COMPLETE
16,0.8332467532467532,2023-01-31 00:17:53.614264,2023-01-31 00:17:56.073429,0 days 00:00:02.459165,0.5237289157884705,0.48370456460779865,3,4300,11.353463886361334,17,719,0.701075997121112,COMPLETE
17,0.8332467532467532,2023-01-31 00:17:56.073546,2023-01-31 00:17:58.641215,0 days 00:00:02.567669,0.6120052255636144,0.6073302785577691,7,1800,13.018940564006519,23,1202,0.9210744735887392,COMPLETE
18,0.8332467532467532,2023-01-31 00:17:58.641325,2023-01-31 00:18:01.009699,0 days 00:00:02.368374,0.8219778932409776,0.2905021260948105,12,4500,9.207738863352052,14,848,0.5959784797121623,COMPLETE
19,0.8332467532467532,2023-01-31 00:18:01.009806,2023-01-31 00:18:03.598123,0 days 00:00:02.588317,0.5243988389396051,0.4664287385346208,2,6700,12.129152661895672,5,641,0.9711478373298854,COMPLETE
20,0.8332467532467532,2023-01-31 00:18:03.598236,2023-01-31 00:18:06.113276,0 days 00:00:02.515040,0.6350636537476677,0.33392940236799257,8,8900,14.444072569406663,23,219,0.8599986949854147,COMPLETE
21,0.8332467532467532,2023-01-31 00:18:06.113387,2023-01-31 00:18:08.529059,0 days 00:00:02.415672,0.44726091801358947,0.40779472602058897,-1,5300,6.700226600232937,12,1039,0.7769488903120327,COMPLETE
22,0.8332467532467532,2023-01-31 00:18:08.529174,2023-01-31 00:18:10.903853,0 days 00:00:02.374679,0.26775279874146296,0.42704271384402226,-1,6300,5.554538774061264,5,1242,0.7553348335597087,COMPLETE
23,0.8332467532467532,2023-01-31 00:18:10.903964,2023-01-31 00:18:12.964862,0 days 00:00:02.060898,0.4211038573947073,0.2651145143495356,1,4500,8.000185123655307,10,1008,0.8106557006872237,COMPLETE
24,0.8332467532467532,2023-01-31 00:18:12.964977,2023-01-31 00:18:15.209419,0 days 00:00:02.244442,0.5145907445639777,0.34313180980334934,4,8200,10.015823636965791,8,513,0.8763585440236019,COMPLETE
25,0.8332467532467532,2023-01-31 00:18:15.209530,2023-01-31 00:18:18.363528,0 days 00:00:03.153998,0.5707327117986132,0.4701014213892796,1,2100,4.69823019296037,18,883,0.7051698756395615,COMPLETE
26,0.8332467532467532,2023-01-31 00:18:18.363645,2023-01-31 00:18:21.589929,0 days 00:00:03.226284,0.4728164153154758,0.35404754658664894,0,600,6.971905560639057,27,1111,0.9237166261340108,COMPLETE
