A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 95, 'max_depth': 13, 'min_child_samples': 2}. Best is trial 0 with value: 0.8333333333333334.
Trial 1 finished with value: 0.85 and parameters: {'num_leaves': 36, 'max_depth': 12, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 2 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 48, 'max_depth': 19, 'min_child_samples': 3}. Best is trial 1 with value: 0.85.
Trial 3 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 18, 'max_depth': 12, 'min_child_samples': 3}. Best is trial 1 with value: 0.85.
Trial 4 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 32, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 5 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 94, 'max_depth': 9, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 6 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 92, 'max_depth': 20, 'min_child_samples': 2}. Best is trial 4 with value: 0.8666666666666666.
Trial 7 finished with value: 0.8166666666666668 and parameters: {'num_leaves': 45, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 8 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 33, 'max_depth': 15, 'min_child_samples': 3}. Best is trial 4 with value: 0.8666666666666666.
Trial 9 finished with value: 0.85 and parameters: {'num_leaves': 40, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 10 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 71, 'max_depth': 6, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 11 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 69, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 12 finished with value: 0.85 and parameters: {'num_leaves': 76, 'max_depth': 15, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 13 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 16, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 14 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 62, 'max_depth': 9, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
