number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.7333333333333333,2023-02-01 01:55:37.605076,2023-02-01 01:55:38.105550,0 days 00:00:00.500474,15,3,20,COMPLETE
1,0.7333333333333333,2023-02-01 01:55:38.105751,2023-02-01 01:55:38.322647,0 days 00:00:00.216896,16,3,82,COMPLETE
2,0.7555555555555554,2023-02-01 01:55:38.322809,2023-02-01 01:55:38.483061,0 days 00:00:00.160252,6,5,55,COMPLETE
3,0.7555555555555554,2023-02-01 01:55:38.483236,2023-02-01 01:55:38.643525,0 days 00:00:00.160289,12,5,34,COMPLETE
4,0.7555555555555554,2023-02-01 01:55:38.643705,2023-02-01 01:55:38.804209,0 days 00:00:00.160504,17,5,98,COMPLETE
5,0.7333333333333333,2023-02-01 01:55:38.804372,2023-02-01 01:55:39.023307,0 days 00:00:00.218935,18,2,36,COMPLETE
6,0.7333333333333333,2023-02-01 01:55:39.023450,2023-02-01 01:55:39.249112,0 days 00:00:00.225662,9,2,82,COMPLETE
7,0.7333333333333333,2023-02-01 01:55:39.249280,2023-02-01 01:55:39.426939,0 days 00:00:00.177659,11,4,97,COMPLETE
8,0.7333333333333333,2023-02-01 01:55:39.427134,2023-02-01 01:55:39.644225,0 days 00:00:00.217091,8,3,83,COMPLETE
9,0.7333333333333333,2023-02-01 01:55:39.644394,2023-02-01 01:55:39.868077,0 days 00:00:00.223683,7,4,23,COMPLETE
10,0.7555555555555554,2023-02-01 01:55:39.868291,2023-02-01 01:55:40.017798,0 days 00:00:00.149507,3,5,55,COMPLETE
11,0.7555555555555554,2023-02-01 01:55:40.018004,2023-02-01 01:55:40.191597,0 days 00:00:00.173593,4,5,52,COMPLETE
12,0.7333333333333333,2023-02-01 01:55:40.191803,2023-02-01 01:55:40.384170,0 days 00:00:00.192367,13,4,41,COMPLETE
13,0.7555555555555554,2023-02-01 01:55:40.384350,2023-02-01 01:55:40.554226,0 days 00:00:00.169876,12,5,65,COMPLETE
14,0.7555555555555554,2023-02-01 01:55:40.554397,2023-02-01 01:55:40.718602,0 days 00:00:00.164205,20,5,37,COMPLETE
15,0.7333333333333333,2023-02-01 01:55:40.718782,2023-02-01 01:55:40.906064,0 days 00:00:00.187282,6,4,62,COMPLETE
16,0.7555555555555554,2023-02-01 01:55:40.906241,2023-02-01 01:55:41.073124,0 days 00:00:00.166883,10,5,29,COMPLETE
17,0.7333333333333333,2023-02-01 01:55:41.073321,2023-02-01 01:55:41.271317,0 days 00:00:00.197996,14,4,47,COMPLETE
18,0.7555555555555554,2023-02-01 01:55:41.271517,2023-02-01 01:55:41.440749,0 days 00:00:00.169232,6,5,70,COMPLETE
19,0.7333333333333333,2023-02-01 01:55:41.440932,2023-02-01 01:55:41.619654,0 days 00:00:00.178722,5,4,46,COMPLETE
20,0.7555555555555554,2023-02-01 01:55:41.619812,2023-02-01 01:55:41.784225,0 days 00:00:00.164413,9,5,28,COMPLETE
21,0.7555555555555554,2023-02-01 01:55:41.784385,2023-02-01 01:55:41.955924,0 days 00:00:00.171539,17,5,95,COMPLETE
