number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.44444444444444436,2023-02-01 02:27:11.292563,2023-02-01 02:27:11.347793,0 days 00:00:00.055230,0.05360658619922254,0.859703727560974,COMPLETE
1,0.42222222222222217,2023-02-01 02:27:11.348205,2023-02-01 02:27:11.387823,0 days 00:00:00.039618,0.20944957041584514,0.9255676221959492,COMPLETE
2,0.39999999999999997,2023-02-01 02:27:11.388212,2023-02-01 02:27:11.430159,0 days 00:00:00.041947,0.06617896025437413,0.829017973370705,COMPLETE
3,0.42222222222222217,2023-02-01 02:27:11.430560,2023-02-01 02:27:11.467590,0 days 00:00:00.037030,0.31553581275161235,0.8223940741893431,COMPLETE
4,0.42222222222222217,2023-02-01 02:27:11.468122,2023-02-01 02:27:11.503503,0 days 00:00:00.035381,0.41021294913338224,0.2211856094648288,COMPLETE
5,0.42222222222222217,2023-02-01 02:27:11.503888,2023-02-01 02:27:11.539844,0 days 00:00:00.035956,0.16397327165799422,0.09184680164557579,COMPLETE
6,0.42222222222222217,2023-02-01 02:27:11.540240,2023-02-01 02:27:11.565217,0 days 00:00:00.024977,0.3284714291049262,0.3921498586538721,COMPLETE
7,0.4888888888888888,2023-02-01 02:27:11.565366,2023-02-01 02:27:11.577218,0 days 00:00:00.011852,0.01818048972008299,0.7106930568660013,COMPLETE
8,0.42222222222222217,2023-02-01 02:27:11.577344,2023-02-01 02:27:11.588581,0 days 00:00:00.011237,0.3328384366620423,0.5227469401192784,COMPLETE
9,0.4888888888888888,2023-02-01 02:27:11.588716,2023-02-01 02:27:11.599960,0 days 00:00:00.011244,0.015173156280648832,0.6892766288220024,COMPLETE
10,0.4444444444444445,2023-02-01 02:27:11.600091,2023-02-01 02:27:11.614681,0 days 00:00:00.014590,0.010609523000506337,0.6230012207870108,COMPLETE
11,0.4444444444444445,2023-02-01 02:27:11.614823,2023-02-01 02:27:11.628577,0 days 00:00:00.013754,0.013105742927288281,0.6613293852185149,COMPLETE
12,0.4666666666666666,2023-02-01 02:27:11.628705,2023-02-01 02:27:11.642810,0 days 00:00:00.014105,0.024815981249450045,0.6927127262656143,COMPLETE
13,0.44444444444444436,2023-02-01 02:27:11.642941,2023-02-01 02:27:11.656879,0 days 00:00:00.013938,0.027400392575506315,0.45704284572588055,COMPLETE
14,0.42222222222222217,2023-02-01 02:27:11.657009,2023-02-01 02:27:11.670569,0 days 00:00:00.013560,0.7971678122056289,0.9983093263904077,COMPLETE
15,0.4666666666666666,2023-02-01 02:27:11.670703,2023-02-01 02:27:11.685473,0 days 00:00:00.014770,0.02711211783652147,0.7183276272250555,COMPLETE
16,0.4888888888888888,2023-02-01 02:27:11.685604,2023-02-01 02:27:11.700068,0 days 00:00:00.014464,0.016118754241173084,0.7528972715485713,COMPLETE
17,0.39999999999999997,2023-02-01 02:27:11.700207,2023-02-01 02:27:11.714059,0 days 00:00:00.013852,0.04704907442317779,0.5793888573330835,COMPLETE
18,0.4444444444444445,2023-02-01 02:27:11.714198,2023-02-01 02:27:11.729910,0 days 00:00:00.015712,0.010283726657609469,0.570127265985878,COMPLETE
19,0.44444444444444436,2023-02-01 02:27:11.730067,2023-02-01 02:27:11.745895,0 days 00:00:00.015828,0.017025995635765345,0.39580539408660376,COMPLETE
20,0.44444444444444436,2023-02-01 02:27:11.746046,2023-02-01 02:27:11.761276,0 days 00:00:00.015230,0.037890576629415175,0.7695609830055716,COMPLETE
21,0.4888888888888888,2023-02-01 02:27:11.761412,2023-02-01 02:27:11.776054,0 days 00:00:00.014642,0.017570395017640714,0.736339060425706,COMPLETE
22,0.4888888888888888,2023-02-01 02:27:11.776187,2023-02-01 02:27:11.790710,0 days 00:00:00.014523,0.01782367871585512,0.622519988299731,COMPLETE
23,0.4666666666666666,2023-02-01 02:27:11.790843,2023-02-01 02:27:11.805448,0 days 00:00:00.014605,0.035391031973873825,0.7595804043030089,COMPLETE
24,0.39999999999999997,2023-02-01 02:27:11.805580,2023-02-01 02:27:11.819433,0 days 00:00:00.013853,0.08943787743058407,0.6802133082484947,COMPLETE
25,0.4444444444444445,2023-02-01 02:27:11.819562,2023-02-01 02:27:11.834221,0 days 00:00:00.014659,0.014977414828496792,0.9049046683738661,COMPLETE
26,0.4888888888888888,2023-02-01 02:27:11.834361,2023-02-01 02:27:11.850169,0 days 00:00:00.015808,0.022261784391065742,0.7819434598194716,COMPLETE
