number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.5555555555555556,2023-02-01 01:23:47.656679,2023-02-01 01:23:48.106713,0 days 00:00:00.450034,17,5,32,COMPLETE
1,0.5777777777777777,2023-02-01 01:23:48.106901,2023-02-01 01:23:48.329151,0 days 00:00:00.222250,13,4,49,COMPLETE
2,0.5999999999999999,2023-02-01 01:23:48.329295,2023-02-01 01:23:48.650137,0 days 00:00:00.320842,7,2,33,COMPLETE
3,0.5555555555555556,2023-02-01 01:23:48.650316,2023-02-01 01:23:48.906059,0 days 00:00:00.255743,17,3,40,COMPLETE
4,0.5555555555555556,2023-02-01 01:23:48.906212,2023-02-01 01:23:49.091500,0 days 00:00:00.185288,9,5,47,COMPLETE
5,0.5777777777777777,2023-02-01 01:23:49.091641,2023-02-01 01:23:49.420433,0 days 00:00:00.328792,9,2,96,COMPLETE
6,0.5555555555555556,2023-02-01 01:23:49.420621,2023-02-01 01:23:49.594548,0 days 00:00:00.173927,3,4,31,COMPLETE
7,0.5777777777777777,2023-02-01 01:23:49.594757,2023-02-01 01:23:49.922344,0 days 00:00:00.327587,10,2,78,COMPLETE
8,0.5555555555555556,2023-02-01 01:23:49.922498,2023-02-01 01:23:50.108587,0 days 00:00:00.186089,15,5,91,COMPLETE
9,0.5333333333333333,2023-02-01 01:23:50.108778,2023-02-01 01:23:50.389204,0 days 00:00:00.280426,4,2,41,COMPLETE
10,0.5111111111111111,2023-02-01 01:23:50.389389,2023-02-01 01:23:50.646752,0 days 00:00:00.257363,6,3,16,COMPLETE
11,0.5777777777777777,2023-02-01 01:23:50.646921,2023-02-01 01:23:50.869275,0 days 00:00:00.222354,13,4,66,COMPLETE
12,0.5555555555555556,2023-02-01 01:23:50.869456,2023-02-01 01:23:51.133335,0 days 00:00:00.263879,13,3,61,COMPLETE
13,0.5777777777777777,2023-02-01 01:23:51.133536,2023-02-01 01:23:51.356655,0 days 00:00:00.223119,20,4,15,COMPLETE
14,0.5555555555555556,2023-02-01 01:23:51.356845,2023-02-01 01:23:51.617600,0 days 00:00:00.260755,7,3,53,COMPLETE
15,0.5777777777777777,2023-02-01 01:23:51.617757,2023-02-01 01:23:51.838742,0 days 00:00:00.220985,12,4,31,COMPLETE
16,0.5999999999999999,2023-02-01 01:23:51.838923,2023-02-01 01:23:52.163633,0 days 00:00:00.324710,7,2,71,COMPLETE
17,0.5999999999999999,2023-02-01 01:23:52.163853,2023-02-01 01:23:52.484747,0 days 00:00:00.320894,6,2,76,COMPLETE
18,0.5999999999999999,2023-02-01 01:23:52.484929,2023-02-01 01:23:52.810670,0 days 00:00:00.325741,7,2,72,COMPLETE
19,0.5777777777777777,2023-02-01 01:23:52.810843,2023-02-01 01:23:53.098177,0 days 00:00:00.287334,5,2,85,COMPLETE
20,0.5555555555555556,2023-02-01 01:23:53.098324,2023-02-01 01:23:53.364155,0 days 00:00:00.265831,10,3,59,COMPLETE
21,0.5999999999999999,2023-02-01 01:23:53.364324,2023-02-01 01:23:53.700876,0 days 00:00:00.336552,7,2,78,COMPLETE
22,0.5777777777777777,2023-02-01 01:23:53.701042,2023-02-01 01:23:53.988216,0 days 00:00:00.287174,5,2,70,COMPLETE
23,0.5777777777777777,2023-02-01 01:23:53.988378,2023-02-01 01:23:54.326350,0 days 00:00:00.337972,8,2,82,COMPLETE
24,0.5999999999999999,2023-02-01 01:23:54.326504,2023-02-01 01:23:54.528766,0 days 00:00:00.202262,3,3,65,COMPLETE
25,0.5777777777777777,2023-02-01 01:23:54.528945,2023-02-01 01:23:54.817818,0 days 00:00:00.288873,5,2,99,COMPLETE
26,0.5777777777777777,2023-02-01 01:23:54.818022,2023-02-01 01:23:55.160589,0 days 00:00:00.342567,10,2,89,COMPLETE
27,0.5555555555555556,2023-02-01 01:23:55.160800,2023-02-01 01:23:55.425649,0 days 00:00:00.264849,8,3,24,COMPLETE
28,0.5999999999999999,2023-02-01 01:23:55.425876,2023-02-01 01:23:55.739553,0 days 00:00:00.313677,6,2,74,COMPLETE
29,0.5555555555555556,2023-02-01 01:23:55.739741,2023-02-01 01:23:56.010177,0 days 00:00:00.270436,11,3,57,COMPLETE
30,0.5333333333333333,2023-02-01 01:23:56.010358,2023-02-01 01:23:56.294451,0 days 00:00:00.284093,4,2,39,COMPLETE
31,0.5999999999999999,2023-02-01 01:23:56.294640,2023-02-01 01:23:56.619006,0 days 00:00:00.324366,7,2,71,COMPLETE
32,0.5777777777777777,2023-02-01 01:23:56.619212,2023-02-01 01:23:56.957388,0 days 00:00:00.338176,8,2,75,COMPLETE
33,0.5999999999999999,2023-02-01 01:23:56.957563,2023-02-01 01:23:57.272510,0 days 00:00:00.314947,6,2,66,COMPLETE
34,0.5777777777777777,2023-02-01 01:23:57.272699,2023-02-01 01:23:57.610733,0 days 00:00:00.338034,9,2,51,COMPLETE
35,0.5555555555555556,2023-02-01 01:23:57.610926,2023-02-01 01:23:57.870941,0 days 00:00:00.260015,7,3,46,COMPLETE
36,0.5333333333333333,2023-02-01 01:23:57.871098,2023-02-01 01:23:58.146439,0 days 00:00:00.275341,4,2,80,COMPLETE
37,0.5777777777777777,2023-02-01 01:23:58.146616,2023-02-01 01:23:58.484793,0 days 00:00:00.338177,15,2,85,COMPLETE
38,0.5555555555555556,2023-02-01 01:23:58.484960,2023-02-01 01:23:58.673780,0 days 00:00:00.188820,9,5,70,COMPLETE
39,0.5555555555555556,2023-02-01 01:23:58.673970,2023-02-01 01:23:58.934226,0 days 00:00:00.260256,11,3,26,COMPLETE
40,0.5999999999999999,2023-02-01 01:23:58.934386,2023-02-01 01:23:59.260559,0 days 00:00:00.326173,6,2,92,COMPLETE
41,0.5999999999999999,2023-02-01 01:23:59.260777,2023-02-01 01:23:59.602158,0 days 00:00:00.341381,7,2,76,COMPLETE
42,0.5777777777777777,2023-02-01 01:23:59.602377,2023-02-01 01:23:59.934133,0 days 00:00:00.331756,8,2,82,COMPLETE
43,0.5777777777777777,2023-02-01 01:23:59.934313,2023-02-01 01:24:00.230197,0 days 00:00:00.295884,5,2,62,COMPLETE
44,0.5777777777777777,2023-02-01 01:24:00.230390,2023-02-01 01:24:00.567285,0 days 00:00:00.336895,9,2,72,COMPLETE
45,0.5999999999999999,2023-02-01 01:24:00.567468,2023-02-01 01:24:00.906876,0 days 00:00:00.339408,7,2,55,COMPLETE
46,0.5333333333333333,2023-02-01 01:24:00.907088,2023-02-01 01:24:01.186160,0 days 00:00:00.279072,4,2,78,COMPLETE
47,0.5111111111111111,2023-02-01 01:24:01.186368,2023-02-01 01:24:01.461452,0 days 00:00:00.275084,6,3,87,COMPLETE
48,0.5333333333333333,2023-02-01 01:24:01.461645,2023-02-01 01:24:01.678800,0 days 00:00:00.217155,3,2,68,COMPLETE
49,0.5555555555555556,2023-02-01 01:24:01.678986,2023-02-01 01:24:01.940228,0 days 00:00:00.261242,19,3,63,COMPLETE
