number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.7555555555555555,2023-02-01 01:55:49.738182,2023-02-01 01:55:50.641756,0 days 00:00:00.903574,0.04886812478686529,0.44276400606646793,COMPLETE
1,0.711111111111111,2023-02-01 01:55:50.642089,2023-02-01 01:55:50.669418,0 days 00:00:00.027329,0.17469537840073812,0.5230172054949532,COMPLETE
2,0.6888888888888889,2023-02-01 01:55:50.669563,2023-02-01 01:55:50.696826,0 days 00:00:00.027263,0.0843261812146352,0.0828764704818612,COMPLETE
3,0.711111111111111,2023-02-01 01:55:50.697008,2023-02-01 01:55:50.717823,0 days 00:00:00.020815,0.06782480577554004,0.3000710741570852,COMPLETE
4,0.6888888888888889,2023-02-01 01:55:50.717985,2023-02-01 01:55:50.959474,0 days 00:00:00.241489,0.5662760481820568,0.7928825404108796,COMPLETE
5,0.6,2023-02-01 01:55:50.959651,2023-02-01 01:55:51.208184,0 days 00:00:00.248533,0.556865157316867,0.16499932735703182,COMPLETE
6,0.5777777777777777,2023-02-01 01:55:51.208358,2023-02-01 01:55:51.238007,0 days 00:00:00.029649,0.7045860899968819,0.13666701879197685,COMPLETE
7,0.4666666666666666,2023-02-01 01:55:51.238160,2023-02-01 01:55:51.461799,0 days 00:00:00.223639,0.015989359396075462,0.9998872771123912,COMPLETE
8,0.7555555555555555,2023-02-01 01:55:51.462018,2023-02-01 01:55:51.687562,0 days 00:00:00.225544,0.11075354299908655,0.972202463214643,COMPLETE
9,0.7555555555555555,2023-02-01 01:55:51.687781,2023-02-01 01:55:51.703852,0 days 00:00:00.016071,0.037508980542344715,0.4485683105723077,COMPLETE
10,0.5333333333333333,2023-02-01 01:55:51.704000,2023-02-01 01:55:51.723096,0 days 00:00:00.019096,0.010931695938359607,0.571521381776864,COMPLETE
11,0.711111111111111,2023-02-01 01:55:51.723240,2023-02-01 01:55:51.750362,0 days 00:00:00.027122,0.17938097486423338,0.699638986373708,COMPLETE
12,0.6888888888888889,2023-02-01 01:55:51.750529,2023-02-01 01:55:51.771019,0 days 00:00:00.020490,0.033599101022541676,0.9628859498073282,COMPLETE
13,0.711111111111111,2023-02-01 01:55:51.771222,2023-02-01 01:55:51.800723,0 days 00:00:00.029501,0.15515732666561205,0.3963640910377235,COMPLETE
14,0.7333333333333334,2023-02-01 01:55:51.800876,2023-02-01 01:55:51.818654,0 days 00:00:00.017778,0.047151319351487204,0.6843767328943329,COMPLETE
15,0.7555555555555555,2023-02-01 01:55:51.818845,2023-02-01 01:55:51.839106,0 days 00:00:00.020261,0.10618564102579517,0.8483379749771014,COMPLETE
16,0.6888888888888889,2023-02-01 01:55:51.839252,2023-02-01 01:55:51.857369,0 days 00:00:00.018117,0.02440167064314634,0.5964158870090602,COMPLETE
17,0.7333333333333334,2023-02-01 01:55:51.857502,2023-02-01 01:55:51.876998,0 days 00:00:00.019496,0.048032560519706155,0.2994269092214891,COMPLETE
18,0.5777777777777777,2023-02-01 01:55:51.877129,2023-02-01 01:55:51.909998,0 days 00:00:00.032869,0.3153807046532569,0.0015134580127176278,COMPLETE
19,0.7555555555555555,2023-02-01 01:55:51.910142,2023-02-01 01:55:51.930478,0 days 00:00:00.020336,0.07035193532619778,0.8364111443541036,COMPLETE
20,0.6888888888888889,2023-02-01 01:55:51.930651,2023-02-01 01:55:51.948991,0 days 00:00:00.018340,0.02543926699983889,0.6370147424131332,COMPLETE
21,0.7555555555555555,2023-02-01 01:55:51.949128,2023-02-01 01:55:51.967631,0 days 00:00:00.018503,0.046299514743761004,0.4744551008682509,COMPLETE
22,0.711111111111111,2023-02-01 01:55:51.967770,2023-02-01 01:55:51.989576,0 days 00:00:00.021806,0.10997250450316425,0.45586529409374965,COMPLETE
23,0.7555555555555555,2023-02-01 01:55:51.989740,2023-02-01 01:55:52.215218,0 days 00:00:00.225478,0.0320090366335246,0.3963975556595155,COMPLETE
24,0.7555555555555555,2023-02-01 01:55:52.215427,2023-02-01 01:55:52.237331,0 days 00:00:00.021904,0.06211527967562008,0.5829216420906835,COMPLETE
25,0.7333333333333334,2023-02-01 01:55:52.237509,2023-02-01 01:55:52.257338,0 days 00:00:00.019829,0.10847164393135372,0.7135687223191941,COMPLETE
26,0.6666666666666666,2023-02-01 01:55:52.257474,2023-02-01 01:55:52.274253,0 days 00:00:00.016779,0.02155134526843452,0.4863907623126018,COMPLETE
27,0.6888888888888889,2023-02-01 01:55:52.274412,2023-02-01 01:55:52.293709,0 days 00:00:00.019297,0.03747394315400506,0.925171814351683,COMPLETE
28,0.7333333333333334,2023-02-01 01:55:52.293843,2023-02-01 01:55:52.312676,0 days 00:00:00.018833,0.055011194570790255,0.9015926829355909,COMPLETE
29,0.711111111111111,2023-02-01 01:55:52.312815,2023-02-01 01:55:52.338620,0 days 00:00:00.025805,0.158198732433205,0.5387366379241665,COMPLETE
30,0.7555555555555555,2023-02-01 01:55:52.338762,2023-02-01 01:55:52.357024,0 days 00:00:00.018262,0.08211340223742228,0.7930582733843963,COMPLETE
31,0.7555555555555555,2023-02-01 01:55:52.357163,2023-02-01 01:55:52.377679,0 days 00:00:00.020516,0.11000887420133852,0.8914878291420587,COMPLETE
32,0.7555555555555555,2023-02-01 01:55:52.377843,2023-02-01 01:55:52.396970,0 days 00:00:00.019127,0.08880105318654653,0.9877644123845809,COMPLETE
33,0.7555555555555555,2023-02-01 01:55:52.397106,2023-02-01 01:55:52.414909,0 days 00:00:00.017803,0.06336876454146763,0.8507116611214263,COMPLETE
34,0.711111111111111,2023-02-01 01:55:52.415061,2023-02-01 01:55:52.432003,0 days 00:00:00.016942,0.04214987019406812,0.7836279818862192,COMPLETE
