number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.6444444444444445,2023-02-01 01:55:21.772401,2023-02-01 01:55:22.336861,0 days 00:00:00.564460,16,2,18,COMPLETE
1,0.5333333333333332,2023-02-01 01:55:22.338174,2023-02-01 01:55:22.517676,0 days 00:00:00.179502,3,4,51,COMPLETE
2,0.5555555555555556,2023-02-01 01:55:22.517875,2023-02-01 01:55:22.699468,0 days 00:00:00.181593,5,5,30,COMPLETE
3,0.5555555555555556,2023-02-01 01:55:22.699657,2023-02-01 01:55:22.929809,0 days 00:00:00.230152,9,5,86,COMPLETE
4,0.5777777777777777,2023-02-01 01:55:22.930006,2023-02-01 01:55:23.209648,0 days 00:00:00.279642,9,3,23,COMPLETE
5,0.6444444444444445,2023-02-01 01:55:23.209847,2023-02-01 01:55:23.560308,0 days 00:00:00.350461,20,2,85,COMPLETE
6,0.5555555555555556,2023-02-01 01:55:23.560502,2023-02-01 01:55:23.781888,0 days 00:00:00.221386,12,4,18,COMPLETE
7,0.5555555555555556,2023-02-01 01:55:23.782050,2023-02-01 01:55:23.961833,0 days 00:00:00.179783,5,5,43,COMPLETE
8,0.5555555555555556,2023-02-01 01:55:23.962004,2023-02-01 01:55:24.187353,0 days 00:00:00.225349,7,4,77,COMPLETE
9,0.5555555555555556,2023-02-01 01:55:24.187540,2023-02-01 01:55:24.369484,0 days 00:00:00.181944,7,5,32,COMPLETE
10,0.6444444444444445,2023-02-01 01:55:24.369640,2023-02-01 01:55:24.724720,0 days 00:00:00.355080,16,2,67,COMPLETE
11,0.6444444444444445,2023-02-01 01:55:24.724924,2023-02-01 01:55:25.103133,0 days 00:00:00.378209,20,2,100,COMPLETE
12,0.6444444444444445,2023-02-01 01:55:25.103330,2023-02-01 01:55:25.462267,0 days 00:00:00.358937,20,2,60,COMPLETE
13,0.5777777777777777,2023-02-01 01:55:25.462472,2023-02-01 01:55:25.744964,0 days 00:00:00.282492,16,3,91,COMPLETE
14,0.5777777777777777,2023-02-01 01:55:25.745127,2023-02-01 01:55:26.037077,0 days 00:00:00.291950,16,3,72,COMPLETE
15,0.6444444444444445,2023-02-01 01:55:26.037272,2023-02-01 01:55:26.399606,0 days 00:00:00.362334,18,2,44,COMPLETE
16,0.5777777777777777,2023-02-01 01:55:26.399804,2023-02-01 01:55:26.685190,0 days 00:00:00.285386,13,3,82,COMPLETE
17,0.6444444444444445,2023-02-01 01:55:26.685383,2023-02-01 01:55:27.041450,0 days 00:00:00.356067,14,2,62,COMPLETE
18,0.6444444444444445,2023-02-01 01:55:27.041616,2023-02-01 01:55:27.409740,0 days 00:00:00.368124,18,2,96,COMPLETE
19,0.5777777777777777,2023-02-01 01:55:27.409947,2023-02-01 01:55:27.692707,0 days 00:00:00.282760,18,3,50,COMPLETE
20,0.6444444444444445,2023-02-01 01:55:27.692913,2023-02-01 01:55:28.048133,0 days 00:00:00.355220,14,2,36,COMPLETE
21,0.6444444444444445,2023-02-01 01:55:28.048287,2023-02-01 01:55:28.407278,0 days 00:00:00.358991,16,2,74,COMPLETE
22,0.6444444444444445,2023-02-01 01:55:28.407449,2023-02-01 01:55:28.764174,0 days 00:00:00.356725,17,2,68,COMPLETE
23,0.5777777777777777,2023-02-01 01:55:28.764362,2023-02-01 01:55:29.052361,0 days 00:00:00.287999,20,3,64,COMPLETE
24,0.6444444444444445,2023-02-01 01:55:29.052535,2023-02-01 01:55:29.410998,0 days 00:00:00.358463,15,2,81,COMPLETE
25,0.6444444444444445,2023-02-01 01:55:29.411192,2023-02-01 01:55:29.771456,0 days 00:00:00.360264,10,2,56,COMPLETE
26,0.5777777777777777,2023-02-01 01:55:29.771658,2023-02-01 01:55:30.078236,0 days 00:00:00.306578,19,3,87,COMPLETE
27,0.6444444444444445,2023-02-01 01:55:30.078441,2023-02-01 01:55:30.434257,0 days 00:00:00.355816,11,2,68,COMPLETE
28,0.5777777777777777,2023-02-01 01:55:30.434439,2023-02-01 01:55:30.716759,0 days 00:00:00.282320,14,3,55,COMPLETE
29,0.5555555555555556,2023-02-01 01:55:30.716965,2023-02-01 01:55:30.949587,0 days 00:00:00.232622,17,4,48,COMPLETE
30,0.6444444444444445,2023-02-01 01:55:30.949769,2023-02-01 01:55:31.307772,0 days 00:00:00.358003,12,2,79,COMPLETE
31,0.6444444444444445,2023-02-01 01:55:31.307975,2023-02-01 01:55:31.681053,0 days 00:00:00.373078,20,2,97,COMPLETE
32,0.6444444444444445,2023-02-01 01:55:31.681258,2023-02-01 01:55:32.045230,0 days 00:00:00.363972,19,2,99,COMPLETE
33,0.6444444444444445,2023-02-01 01:55:32.045440,2023-02-01 01:55:32.410613,0 days 00:00:00.365173,19,2,92,COMPLETE
34,0.6444444444444445,2023-02-01 01:55:32.410836,2023-02-01 01:55:32.770480,0 days 00:00:00.359644,17,2,88,COMPLETE
35,0.5777777777777777,2023-02-01 01:55:32.770680,2023-02-01 01:55:33.058957,0 days 00:00:00.288277,15,3,17,COMPLETE
36,0.6444444444444445,2023-02-01 01:55:33.059142,2023-02-01 01:55:33.424973,0 days 00:00:00.365831,20,2,23,COMPLETE
37,0.6444444444444445,2023-02-01 01:55:33.425167,2023-02-01 01:55:33.784933,0 days 00:00:00.359766,18,2,100,COMPLETE
38,0.5777777777777777,2023-02-01 01:55:33.785123,2023-02-01 01:55:34.077532,0 days 00:00:00.292409,19,3,83,COMPLETE
39,0.5555555555555556,2023-02-01 01:55:34.077739,2023-02-01 01:55:34.265346,0 days 00:00:00.187607,13,5,94,COMPLETE
40,0.5555555555555556,2023-02-01 01:55:34.265545,2023-02-01 01:55:34.493253,0 days 00:00:00.227708,15,4,34,COMPLETE
41,0.6,2023-02-01 01:55:34.493420,2023-02-01 01:55:34.705236,0 days 00:00:00.211816,3,2,62,COMPLETE
42,0.6444444444444445,2023-02-01 01:55:34.705428,2023-02-01 01:55:35.065239,0 days 00:00:00.359811,20,2,39,COMPLETE
43,0.6444444444444445,2023-02-01 01:55:35.065462,2023-02-01 01:55:35.423476,0 days 00:00:00.358014,17,2,72,COMPLETE
44,0.6444444444444445,2023-02-01 01:55:35.423671,2023-02-01 01:55:35.777988,0 days 00:00:00.354317,19,2,27,COMPLETE
45,0.6444444444444445,2023-02-01 01:55:35.778182,2023-02-01 01:55:36.138814,0 days 00:00:00.360632,8,2,58,COMPLETE
46,0.5777777777777777,2023-02-01 01:55:36.139038,2023-02-01 01:55:36.423446,0 days 00:00:00.284408,20,3,45,COMPLETE
47,0.6444444444444445,2023-02-01 01:55:36.423635,2023-02-01 01:55:36.777610,0 days 00:00:00.353975,16,2,52,COMPLETE
48,0.6444444444444445,2023-02-01 01:55:36.777808,2023-02-01 01:55:37.138376,0 days 00:00:00.360568,18,2,76,COMPLETE
49,0.5777777777777777,2023-02-01 01:55:37.138580,2023-02-01 01:55:37.422768,0 days 00:00:00.284188,19,3,66,COMPLETE
