number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.7555555555555555,2023-02-01 02:27:07.667832,2023-02-01 02:27:08.434092,0 days 00:00:00.766260,0.07631433175502624,0.11458767504067335,COMPLETE
1,0.7555555555555555,2023-02-01 02:27:08.434516,2023-02-01 02:27:08.674421,0 days 00:00:00.239905,0.1244631178115595,0.03815568423135185,COMPLETE
2,0.6666666666666666,2023-02-01 02:27:08.674596,2023-02-01 02:27:08.912396,0 days 00:00:00.237800,0.6217555393235829,0.5873077195724666,COMPLETE
3,0.7333333333333333,2023-02-01 02:27:08.912587,2023-02-01 02:27:08.943771,0 days 00:00:00.031184,0.4615157990975946,0.9084317823725654,COMPLETE
4,0.7777777777777778,2023-02-01 02:27:08.943942,2023-02-01 02:27:09.393212,0 days 00:00:00.449270,0.3934486813248388,0.667299985313946,COMPLETE
5,0.7777777777777778,2023-02-01 02:27:09.393401,2023-02-01 02:27:09.621275,0 days 00:00:00.227874,0.07917240871019025,0.7241784679918922,COMPLETE
6,0.7555555555555555,2023-02-01 02:27:09.621469,2023-02-01 02:27:09.651141,0 days 00:00:00.029672,0.21388595134894078,0.2923132124602452,COMPLETE
7,0.5111111111111111,2023-02-01 02:27:09.651280,2023-02-01 02:27:09.664093,0 days 00:00:00.012813,0.015885563528926495,0.5892366902759337,COMPLETE
8,0.6888888888888889,2023-02-01 02:27:09.664290,2023-02-01 02:27:09.683407,0 days 00:00:00.019117,0.07263608810272101,0.9420457321309682,COMPLETE
9,0.6666666666666666,2023-02-01 02:27:09.683555,2023-02-01 02:27:09.714084,0 days 00:00:00.030529,0.6921270708368246,0.2781258337633187,COMPLETE
10,0.6444444444444445,2023-02-01 02:27:09.714249,2023-02-01 02:27:09.747765,0 days 00:00:00.033516,0.9002339010718036,0.7998335075585647,COMPLETE
11,0.7555555555555555,2023-02-01 02:27:09.747936,2023-02-01 02:27:09.781015,0 days 00:00:00.033079,0.24914645314981512,0.7249557310640982,COMPLETE
12,0.6,2023-02-01 02:27:09.781194,2023-02-01 02:27:10.009391,0 days 00:00:00.228197,0.03640440296191019,0.7365675210362576,COMPLETE
13,0.7555555555555555,2023-02-01 02:27:10.009613,2023-02-01 02:27:10.043661,0 days 00:00:00.034048,0.23774114809795366,0.48553163009762323,COMPLETE
14,0.6222222222222222,2023-02-01 02:27:10.043837,2023-02-01 02:27:10.063535,0 days 00:00:00.019698,0.04119670755765114,0.9784566222425977,COMPLETE
15,0.7555555555555555,2023-02-01 02:27:10.063709,2023-02-01 02:27:10.095981,0 days 00:00:00.032272,0.4112454035745351,0.8034679797319778,COMPLETE
16,0.7555555555555555,2023-02-01 02:27:10.096131,2023-02-01 02:27:10.126241,0 days 00:00:00.030110,0.17049988292652765,0.6331787034351196,COMPLETE
17,0.7333333333333333,2023-02-01 02:27:10.126413,2023-02-01 02:27:10.159467,0 days 00:00:00.033054,0.36747045309386395,0.4734221756373335,COMPLETE
18,0.7555555555555555,2023-02-01 02:27:10.159638,2023-02-01 02:27:10.185714,0 days 00:00:00.026076,0.12041254542428788,0.8595437138111945,COMPLETE
19,0.6444444444444445,2023-02-01 02:27:10.185865,2023-02-01 02:27:10.219110,0 days 00:00:00.033245,0.9138633736894375,0.6923120436064919,COMPLETE
20,0.7555555555555555,2023-02-01 02:27:10.219280,2023-02-01 02:27:10.252667,0 days 00:00:00.033387,0.3129204008965944,0.9966930557426031,COMPLETE
21,0.7555555555555555,2023-02-01 02:27:10.252844,2023-02-01 02:27:10.286904,0 days 00:00:00.034060,0.09023136116116341,0.03630670409569835,COMPLETE
22,0.7555555555555555,2023-02-01 02:27:10.287091,2023-02-01 02:27:10.312442,0 days 00:00:00.025351,0.0644318593483539,0.38531677638361755,COMPLETE
23,0.7555555555555555,2023-02-01 02:27:10.312581,2023-02-01 02:27:10.342910,0 days 00:00:00.030329,0.16022129826367254,0.6678950546063167,COMPLETE
24,0.7555555555555555,2023-02-01 02:27:10.343092,2023-02-01 02:27:10.370711,0 days 00:00:00.027619,0.1014378021177409,0.5445883897360128,COMPLETE
25,0.6888888888888889,2023-02-01 02:27:10.370883,2023-02-01 02:27:10.393284,0 days 00:00:00.022401,0.05639316916270344,0.783826446989031,COMPLETE
26,0.7555555555555555,2023-02-01 02:27:10.393435,2023-02-01 02:27:10.423022,0 days 00:00:00.029587,0.13483172593323883,0.6262549508541264,COMPLETE
