number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,params_subsample,state
0,0.8332467532467532,2023-01-31 00:19:32.679132,2023-01-31 00:19:35.556944,0 days 00:00:02.877812,0.995974868119768,0.5142531613377269,9,4400,5.57194594513704,11,512,0.24418191986585472,COMPLETE
1,0.8332467532467532,2023-01-31 00:19:35.557057,2023-01-31 00:19:38.545702,0 days 00:00:02.988645,0.7552000849251297,0.705996173642671,3,9700,13.652482150554858,6,277,0.9336560265780696,COMPLETE
2,0.8332467532467532,2023-01-31 00:19:38.545810,2023-01-31 00:19:41.652118,0 days 00:00:03.106308,0.7632119986425995,0.9078032520214736,9,1900,3.3312165522136157,9,819,0.5905953025515771,COMPLETE
3,0.8332467532467532,2023-01-31 00:19:41.652232,2023-01-31 00:19:45.710634,0 days 00:00:04.058402,0.6878968942672274,0.9268893569598944,1,2200,3.2882975405350177,5,176,0.6276451638826352,COMPLETE
4,0.8332467532467532,2023-01-31 00:19:45.710747,2023-01-31 00:19:49.214619,0 days 00:00:03.503872,0.8533066838440374,0.3817373894386282,6,400,5.976697550377519,19,543,0.9363590696256856,COMPLETE
5,0.8332467532467532,2023-01-31 00:19:49.214732,2023-01-31 00:19:52.321178,0 days 00:00:03.106446,0.7864017320983617,0.7273093404360493,3,4700,7.095094100904666,24,617,0.3523556178994645,COMPLETE
6,0.8332467532467532,2023-01-31 00:19:52.321289,2023-01-31 00:19:55.027238,0 days 00:00:02.705949,0.9706411760046649,0.48093669148747287,3,7100,6.447259773302586,7,585,0.7141485959373246,COMPLETE
7,0.8332467532467532,2023-01-31 00:19:55.027349,2023-01-31 00:19:57.625907,0 days 00:00:02.598558,0.4178878509654538,0.94539707358357,1,7000,8.234269944301442,9,18,0.9024729185092883,COMPLETE
8,0.8332467532467532,2023-01-31 00:19:57.626014,2023-01-31 00:20:00.927898,0 days 00:00:03.301884,0.6483638883211378,0.4773632973958668,2,7300,14.423922913923873,15,480,0.4060290611783957,COMPLETE
9,0.8332467532467532,2023-01-31 00:20:00.928010,2023-01-31 00:20:04.025462,0 days 00:00:03.097452,0.9565900884756809,0.20169861542566903,5,800,9.425275659994202,8,988,0.8985695288331799,COMPLETE
10,0.8332467532467532,2023-01-31 00:20:04.025572,2023-01-31 00:20:07.538167,0 days 00:00:03.512595,0.14976349753137402,0.6294354884039206,14,4200,0.30131248172045577,16,1485,0.21926671260953073,COMPLETE
11,0.8332467532467532,2023-01-31 00:20:07.538273,2023-01-31 00:20:10.799171,0 days 00:00:03.260898,0.9852477221198098,0.7529549858341704,10,10000,14.824615596593123,13,291,0.7584373578975672,COMPLETE
