number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,params_n_components,state
0,0.8499806076276665,2023-01-31 00:22:11.009100,2023-01-31 00:22:16.923822,0 days 00:00:05.914722,0.7801766719495019,0.08064845871423754,23,COMPLETE
1,0.8542296918767507,2023-01-31 00:22:16.924024,2023-01-31 00:22:19.380567,0 days 00:00:02.456543,0.3904348194619186,0.09414446692480671,22,COMPLETE
2,0.8839338731443995,2023-01-31 00:22:19.380649,2023-01-31 00:22:22.623487,0 days 00:00:03.242838,0.042832248044684725,0.7002176163442474,17,COMPLETE
3,0.8397936016511869,2023-01-31 00:22:22.623573,2023-01-31 00:22:25.615106,0 days 00:00:02.991533,0.08122095639386058,0.4146840277481094,29,COMPLETE
4,0.8956005398110662,2023-01-31 00:22:25.615187,2023-01-31 00:22:28.734743,0 days 00:00:03.119556,0.03686353774359752,0.9739891270021094,22,COMPLETE
5,0.8694677871148461,2023-01-31 00:22:28.735315,2023-01-31 00:22:32.108085,0 days 00:00:03.372770,0.0805233895664321,0.04209187701810879,18,COMPLETE
6,0.886984126984127,2023-01-31 00:22:32.108167,2023-01-31 00:22:34.328673,0 days 00:00:02.220506,0.913333228216026,0.5812890694851978,15,COMPLETE
7,0.8736397554973406,2023-01-31 00:22:34.328750,2023-01-31 00:22:36.948067,0 days 00:00:02.619317,0.07565011668834092,0.7776844915784021,20,COMPLETE
8,0.850176686059039,2023-01-31 00:22:36.948147,2023-01-31 00:22:39.018963,0 days 00:00:02.070816,0.01219092792522213,0.8791375350864502,12,COMPLETE
9,0.8956005398110662,2023-01-31 00:22:39.019048,2023-01-31 00:22:41.226612,0 days 00:00:02.207564,0.021524913757290196,0.47554385165386037,23,COMPLETE
10,0.868597738690618,2023-01-31 00:22:41.226698,2023-01-31 00:22:43.238430,0 days 00:00:02.011732,0.21277863949935222,0.9992881649626851,5,COMPLETE
11,0.8838358339287131,2023-01-31 00:22:43.238511,2023-01-31 00:22:46.198861,0 days 00:00:02.960350,0.019114472674630092,0.3789956779312162,27,COMPLETE
12,0.8956005398110662,2023-01-31 00:22:46.198946,2023-01-31 00:22:48.671660,0 days 00:00:02.472714,0.02667840014909954,0.6232223338501944,26,COMPLETE
13,0.8897191697191698,2023-01-31 00:22:48.671738,2023-01-31 00:22:51.508139,0 days 00:00:02.836401,0.010806683713069795,0.4601561839225891,25,COMPLETE
14,0.8956005398110662,2023-01-31 00:22:51.508221,2023-01-31 00:22:53.985854,0 days 00:00:02.477633,0.039270184120584854,0.9931424303162503,13,COMPLETE
15,0.8803624445729709,2023-01-31 00:22:53.985938,2023-01-31 00:22:56.780501,0 days 00:00:02.794563,0.02363908953853286,0.7960974937784929,22,COMPLETE
16,0.8706005398110662,2023-01-31 00:22:56.780578,2023-01-31 00:22:59.152303,0 days 00:00:02.371725,0.04339677387593251,0.5656152607687966,29,COMPLETE
17,0.868597738690618,2023-01-31 00:22:59.152391,2023-01-31 00:23:00.741967,0 days 00:00:01.589576,0.01820420362076969,0.36061837487659276,5,COMPLETE
18,0.8827067669172933,2023-01-31 00:23:00.742049,2023-01-31 00:23:03.150348,0 days 00:00:02.408299,0.15663789569667907,0.2563659466098735,20,COMPLETE
19,0.8648825684119801,2023-01-31 00:23:03.150429,2023-01-31 00:23:05.658405,0 days 00:00:02.507976,0.010147445941335206,0.6509330232049764,10,COMPLETE
20,0.8839338731443995,2023-01-31 00:23:05.658490,2023-01-31 00:23:08.492877,0 days 00:00:02.834387,0.05594950361045669,0.517095058715106,24,COMPLETE
21,0.8956005398110662,2023-01-31 00:23:08.492961,2023-01-31 00:23:10.782811,0 days 00:00:02.289850,0.026089449438230616,0.6499339270138773,26,COMPLETE
22,0.8838358339287131,2023-01-31 00:23:10.782891,2023-01-31 00:23:13.542528,0 days 00:00:02.759637,0.029823971412467284,0.5145148364199379,30,COMPLETE
23,0.8779544638368169,2023-01-31 00:23:13.542610,2023-01-31 00:23:16.107301,0 days 00:00:02.564691,0.017284648224216367,0.8725350165063253,27,COMPLETE
24,0.8956005398110662,2023-01-31 00:23:16.107579,2023-01-31 00:23:18.491434,0 days 00:00:02.383855,0.03326726816603746,0.7168910116699104,20,COMPLETE
25,0.8706005398110662,2023-01-31 00:23:18.491538,2023-01-31 00:23:21.751707,0 days 00:00:03.260169,0.04920565314751254,0.5864053877766148,24,COMPLETE
26,0.8971691672620465,2023-01-31 00:23:21.751795,2023-01-31 00:23:24.817350,0 days 00:00:03.065555,0.030240270492521096,0.27151093390313064,18,COMPLETE
27,0.8972672064777327,2023-01-31 00:23:24.817685,2023-01-31 00:23:27.357684,0 days 00:00:02.539999,0.061529401999388104,0.278829194311899,16,COMPLETE
28,0.8972672064777327,2023-01-31 00:23:27.357775,2023-01-31 00:23:29.756889,0 days 00:00:02.399114,0.058029218203396946,0.2630091366599502,16,COMPLETE
