number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_l1_ratio,params_n_components,state
0,0.8897191697191698,2023-01-31 00:24:27.417452,2023-01-31 00:24:30.367835,0 days 00:00:02.950383,0.010684939997432401,0.5791278006048378,0.36566615518312207,26,COMPLETE
1,0.8633699633699633,2023-01-31 00:24:30.367921,2023-01-31 00:24:33.278018,0 days 00:00:02.910097,0.6151534268912872,0.4867742424330655,0.7946337073317837,19,COMPLETE
2,0.8706005398110662,2023-01-31 00:24:33.278131,2023-01-31 00:24:35.497390,0 days 00:00:02.219259,0.061219981810231125,0.14828367628498312,0.9347963464729365,13,COMPLETE
3,0.8839338731443995,2023-01-31 00:24:35.497471,2023-01-31 00:24:38.817452,0 days 00:00:03.319981,0.032059908107346935,0.6861476771284929,0.13057064241689198,18,COMPLETE
4,0.8217543859649122,2023-01-31 00:24:38.817538,2023-01-31 00:24:41.476708,0 days 00:00:02.659170,0.2824963992480514,0.7017587649044751,0.8405016405823974,30,COMPLETE
5,0.8397936016511869,2023-01-31 00:24:41.476797,2023-01-31 00:24:44.592240,0 days 00:00:03.115443,0.12645799003361255,0.14384480768918234,0.38956419659426356,29,COMPLETE
6,0.8427350427350427,2023-01-31 00:24:44.592339,2023-01-31 00:24:46.946816,0 days 00:00:02.354477,0.7730795842576597,0.9454910298070971,0.8434034879567566,18,COMPLETE
7,0.8355555555555554,2023-01-31 00:24:46.946904,2023-01-31 00:24:49.910228,0 days 00:00:02.963324,0.0568224648952581,0.32564834694716877,0.13916475209731693,26,COMPLETE
8,0.8779544638368169,2023-01-31 00:24:49.910456,2023-01-31 00:24:53.194486,0 days 00:00:03.284030,0.01525267505639176,0.2331288775924746,0.7751317024046656,28,COMPLETE
9,0.8839338731443995,2023-01-31 00:24:53.194574,2023-01-31 00:24:55.557293,0 days 00:00:02.362719,0.03963805270494345,0.5152549238367827,0.5478054472946583,18,COMPLETE
10,0.8779544638368169,2023-01-31 00:24:55.557381,2023-01-31 00:24:58.399872,0 days 00:00:02.842491,0.010162365608941421,0.01489198548679288,0.3586226010345204,5,COMPLETE
11,0.8689338731443994,2023-01-31 00:24:58.399958,2023-01-31 00:25:01.408758,0 days 00:00:03.008800,0.02410557941140182,0.73825071150379,0.12818227196105084,23,COMPLETE
12,0.8517910160015424,2023-01-31 00:25:01.408845,2023-01-31 00:25:04.468312,0 days 00:00:03.059467,0.024204128547187103,0.6464386556045159,0.01634961621921799,12,COMPLETE
13,0.8956005398110662,2023-01-31 00:25:04.468401,2023-01-31 00:25:06.792994,0 days 00:00:02.324593,0.010530508646329559,0.8539082647966225,0.2652621395294194,23,COMPLETE
