number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.0,2023-01-31 16:03:10.397907,2023-01-31 16:03:10.717041,0 days 00:00:00.319134,11,2100,2.5961152002294696,1420,COMPLETE
1,0.0,2023-01-31 16:03:10.719037,2023-01-31 16:03:10.937960,0 days 00:00:00.218923,2,7300,3.4258695112254816,17,COMPLETE
2,0.0,2023-01-31 16:03:10.938957,2023-01-31 16:03:11.035698,0 days 00:00:00.096741,14,2100,6.404179827740547,171,COMPLETE
3,0.0,2023-01-31 16:03:11.037694,2023-01-31 16:03:11.216740,0 days 00:00:00.179046,10,9400,9.769704325797164,737,COMPLETE
4,0.0,2023-01-31 16:03:11.217739,2023-01-31 16:03:11.452125,0 days 00:00:00.234386,5,7500,12.266518715220442,658,COMPLETE
5,0.0,2023-01-31 16:03:11.457098,2023-01-31 16:03:11.636616,0 days 00:00:00.179518,15,3700,7.5174214017251675,845,COMPLETE
6,0.0,2023-01-31 16:03:11.638611,2023-01-31 16:03:11.867996,0 days 00:00:00.229385,7,8900,5.534314422567835,134,COMPLETE
7,0.0,2023-01-31 16:03:11.869992,2023-01-31 16:03:12.081431,0 days 00:00:00.211439,7,1800,6.389198023522607,1254,COMPLETE
8,0.0,2023-01-31 16:03:12.083419,2023-01-31 16:03:12.222049,0 days 00:00:00.138630,7,8400,14.521122140178681,1332,COMPLETE
9,0.0,2023-01-31 16:03:12.224043,2023-01-31 16:03:12.504292,0 days 00:00:00.280249,11,6000,14.394406716643138,17,COMPLETE
10,0.0,2023-01-31 16:03:12.507285,2023-01-31 16:03:12.666856,0 days 00:00:00.159571,0,200,0.7638461651075659,1113,COMPLETE
11,0.0,2023-01-31 16:03:12.668851,2023-01-31 16:03:12.821443,0 days 00:00:00.152592,2,5600,1.7206132296592451,415,COMPLETE
12,0.0,2023-01-31 16:03:12.825441,2023-01-31 16:03:13.146573,0 days 00:00:00.321132,-1,4100,3.383438010642039,1465,COMPLETE
13,0.0,2023-01-31 16:03:13.161534,2023-01-31 16:03:13.561460,0 days 00:00:00.399926,3,6800,2.999910712995087,1002,COMPLETE
14,0.0,2023-01-31 16:03:13.562461,2023-01-31 16:03:13.701088,0 days 00:00:00.138627,10,4300,4.433172946856127,487,COMPLETE
15,0.0,2023-01-31 16:03:13.703081,2023-01-31 16:03:13.829741,0 days 00:00:00.126660,12,2400,0.2131387258971742,411,COMPLETE
16,0.0,2023-01-31 16:03:13.831736,2023-01-31 16:03:13.932465,0 days 00:00:00.100729,2,500,8.263002605196833,962,COMPLETE
17,0.0,2023-01-31 16:03:13.933463,2023-01-31 16:03:14.058129,0 days 00:00:00.124666,9,4000,4.196957837218005,468,COMPLETE
18,0.0,2023-01-31 16:03:14.059127,2023-01-31 16:03:14.222689,0 days 00:00:00.163562,13,2200,0.06057491689516442,328,COMPLETE
19,0.0,2023-01-31 16:03:14.223689,2023-01-31 16:03:14.382261,0 days 00:00:00.158572,4,200,8.790158759637048,1040,COMPLETE
20,0.0,2023-01-31 16:03:14.384256,2023-01-31 16:03:14.578735,0 days 00:00:00.194479,9,3400,1.9705142096947315,649,COMPLETE
21,0.0,2023-01-31 16:03:14.582725,2023-01-31 16:03:14.781192,0 days 00:00:00.198467,13,2600,0.002526153191768188,337,COMPLETE
22,0.0,2023-01-31 16:03:14.782190,2023-01-31 16:03:14.937775,0 days 00:00:00.155585,5,1200,9.822617019163797,1243,COMPLETE
23,0.0,2023-01-31 16:03:14.938771,2023-01-31 16:03:15.123290,0 days 00:00:00.184519,9,1100,10.641304981220681,1458,COMPLETE
24,0.0,2023-01-31 16:03:15.125272,2023-01-31 16:03:15.258913,0 days 00:00:00.133641,12,3100,1.9233717711185279,610,COMPLETE
25,0.0,2023-01-31 16:03:15.260908,2023-01-31 16:03:15.398539,0 days 00:00:00.137631,15,1300,11.196867091333548,1233,COMPLETE
26,0.0,2023-01-31 16:03:15.399538,2023-01-31 16:03:15.526197,0 days 00:00:00.126659,6,1000,10.503464445256418,1475,COMPLETE
27,0.0,2023-01-31 16:03:15.528192,2023-01-31 16:03:15.653854,0 days 00:00:00.125662,11,3300,12.699942392686134,1375,COMPLETE
28,0.0,2023-01-31 16:03:15.654853,2023-01-31 16:03:15.782510,0 days 00:00:00.127657,14,2800,1.4312082663695054,1147,COMPLETE
29,0.0,2023-01-31 16:03:15.784505,2023-01-31 16:03:15.940088,0 days 00:00:00.155583,15,1300,11.43735496860879,1350,COMPLETE
30,0.0,2023-01-31 16:03:15.941086,2023-01-31 16:03:16.100659,0 days 00:00:00.159573,8,4600,13.196910507112392,1498,COMPLETE
31,0.0,2023-01-31 16:03:16.102654,2023-01-31 16:03:16.274195,0 days 00:00:00.171541,11,3000,13.079162404383633,1347,COMPLETE
32,0.0,2023-01-31 16:03:16.275190,2023-01-31 16:03:16.432768,0 days 00:00:00.157578,14,2000,11.935325403080618,1141,COMPLETE
33,0.0,2023-01-31 16:03:16.433767,2023-01-31 16:03:16.562420,0 days 00:00:00.128653,14,4900,13.660013390358596,1403,COMPLETE
34,0.0,2023-01-31 16:03:16.563419,2023-01-31 16:03:16.689081,0 days 00:00:00.125662,8,4800,12.969969162468015,1321,COMPLETE
35,0.0,2023-01-31 16:03:16.690078,2023-01-31 16:03:16.797790,0 days 00:00:00.107712,4,1700,2.425837744537547,831,COMPLETE
36,0.0,2023-01-31 16:03:16.798788,2023-01-31 16:03:16.923453,0 days 00:00:00.124665,9,3600,5.6818031622493965,271,COMPLETE
37,0.0,2023-01-31 16:03:16.925450,2023-01-31 16:03:17.044130,0 days 00:00:00.118680,5,2600,0.9207441550457041,679,COMPLETE
38,0.0,2023-01-31 16:03:17.045128,2023-01-31 16:03:17.228642,0 days 00:00:00.183514,12,1000,9.257129975475209,1241,COMPLETE
39,0.0,2023-01-31 16:03:17.233625,2023-01-31 16:03:17.474977,0 days 00:00:00.241352,6,700,10.245153472831957,1216,COMPLETE
40,0.0,2023-01-31 16:03:17.477970,2023-01-31 16:03:17.682423,0 days 00:00:00.204453,10,9900,7.068620388129954,598,COMPLETE
