number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.9862068965517242,2023-01-31 21:05:05.373789,2023-01-31 21:05:06.825000,0 days 00:00:01.451211,7,4,92,COMPLETE
1,0.9862068965517242,2023-01-31 21:05:06.825195,2023-01-31 21:05:08.008691,0 days 00:00:01.183496,9,3,16,COMPLETE
2,0.9862068965517242,2023-01-31 21:05:08.008882,2023-01-31 21:05:08.701471,0 days 00:00:00.692589,5,4,66,COMPLETE
3,0.9793103448275862,2023-01-31 21:05:08.701674,2023-01-31 21:05:09.727354,0 days 00:00:01.025680,17,2,77,COMPLETE
4,0.9862068965517242,2023-01-31 21:05:09.727546,2023-01-31 21:05:10.631377,0 days 00:00:00.903831,7,5,95,COMPLETE
5,0.9793103448275862,2023-01-31 21:05:10.631581,2023-01-31 21:05:11.626207,0 days 00:00:00.994626,6,2,44,COMPLETE
6,0.9862068965517242,2023-01-31 21:05:11.626409,2023-01-31 21:05:12.951331,0 days 00:00:01.324922,16,3,64,COMPLETE
7,0.9793103448275862,2023-01-31 21:05:12.951526,2023-01-31 21:05:14.038416,0 days 00:00:01.086890,8,2,39,COMPLETE
8,0.9862068965517242,2023-01-31 21:05:14.038607,2023-01-31 21:05:14.504865,0 days 00:00:00.466258,3,4,49,COMPLETE
9,0.9793103448275862,2023-01-31 21:05:14.505070,2023-01-31 21:05:15.591612,0 days 00:00:01.086542,18,2,92,COMPLETE
10,0.9862068965517242,2023-01-31 21:05:15.591855,2023-01-31 21:05:16.733967,0 days 00:00:01.142112,13,5,79,COMPLETE
11,0.9862068965517242,2023-01-31 21:05:16.734193,2023-01-31 21:05:17.845957,0 days 00:00:01.111764,11,3,19,COMPLETE
12,0.9862068965517242,2023-01-31 21:05:17.846157,2023-01-31 21:05:18.825379,0 days 00:00:00.979222,11,4,15,COMPLETE
13,0.9862068965517242,2023-01-31 21:05:18.825599,2023-01-31 21:05:19.990627,0 days 00:00:01.165028,9,3,35,COMPLETE
14,0.9862068965517242,2023-01-31 21:05:19.990839,2023-01-31 21:05:21.041908,0 days 00:00:01.051069,14,4,26,COMPLETE
15,0.9862068965517242,2023-01-31 21:05:21.042122,2023-01-31 21:05:21.703066,0 days 00:00:00.660944,3,3,55,COMPLETE
16,0.9862068965517242,2023-01-31 21:05:21.703275,2023-01-31 21:05:22.935217,0 days 00:00:01.231942,9,5,81,COMPLETE
