number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.9793103448275863,2023-02-01 01:23:37.209618,2023-02-01 01:23:37.464755,0 days 00:00:00.255137,0.35343112078195715,0.5827544043328664,COMPLETE
1,0.9862068965517242,2023-02-01 01:23:37.464950,2023-02-01 01:23:37.607745,0 days 00:00:00.142795,0.5716510109437136,0.5708418772765828,COMPLETE
2,0.993103448275862,2023-02-01 01:23:37.607920,2023-02-01 01:23:37.769092,0 days 00:00:00.161172,0.014047154750388795,0.028369324311280253,COMPLETE
3,0.993103448275862,2023-02-01 01:23:37.769272,2023-02-01 01:23:37.931459,0 days 00:00:00.162187,0.041955264596144695,0.48255596545995516,COMPLETE
4,0.9793103448275863,2023-02-01 01:23:37.931632,2023-02-01 01:23:38.066664,0 days 00:00:00.135032,0.7372249196039008,0.7518890922021064,COMPLETE
5,0.9862068965517242,2023-02-01 01:23:38.066843,2023-02-01 01:23:38.228028,0 days 00:00:00.161185,0.19078466710879732,0.8736579658873519,COMPLETE
6,0.993103448275862,2023-02-01 01:23:38.228203,2023-02-01 01:23:38.392301,0 days 00:00:00.164098,0.09133001182983327,0.5918777199489017,COMPLETE
7,0.993103448275862,2023-02-01 01:23:38.392484,2023-02-01 01:23:38.555002,0 days 00:00:00.162518,0.02109614070708353,0.5216749076802096,COMPLETE
8,0.9862068965517242,2023-02-01 01:23:38.555177,2023-02-01 01:23:38.673607,0 days 00:00:00.118430,0.8122344015175478,0.07203406455252137,COMPLETE
9,0.993103448275862,2023-02-01 01:23:38.673793,2023-02-01 01:23:38.828343,0 days 00:00:00.154550,0.032816231014762165,0.891574482867734,COMPLETE
10,0.993103448275862,2023-02-01 01:23:38.828513,2023-02-01 01:23:38.994326,0 days 00:00:00.165813,0.011061332418561774,0.011979990708992784,COMPLETE
11,0.993103448275862,2023-02-01 01:23:38.994505,2023-02-01 01:23:39.161334,0 days 00:00:00.166829,0.056333920826292586,0.24896847556988252,COMPLETE
12,0.993103448275862,2023-02-01 01:23:39.161520,2023-02-01 01:23:39.323040,0 days 00:00:00.161520,0.010824649765204822,0.3151554053568863,COMPLETE
13,0.993103448275862,2023-02-01 01:23:39.323207,2023-02-01 01:23:39.489832,0 days 00:00:00.166625,0.03163153995198139,0.36091149649986526,COMPLETE
14,0.993103448275862,2023-02-01 01:23:39.490020,2023-02-01 01:23:39.655904,0 days 00:00:00.165884,0.06734991213518499,0.13086874533337584,COMPLETE
15,0.993103448275862,2023-02-01 01:23:39.656086,2023-02-01 01:23:39.821110,0 days 00:00:00.165024,0.0178176187403987,0.1862958264019981,COMPLETE
16,0.993103448275862,2023-02-01 01:23:39.821292,2023-02-01 01:23:39.987011,0 days 00:00:00.165719,0.042244059531362343,0.3656771243869667,COMPLETE
17,0.993103448275862,2023-02-01 01:23:39.987199,2023-02-01 01:23:40.152869,0 days 00:00:00.165670,0.12552440641589543,0.16506774559759008,COMPLETE
18,0.993103448275862,2023-02-01 01:23:40.153049,2023-02-01 01:23:40.317980,0 days 00:00:00.164931,0.020575870613883877,0.42718720830135676,COMPLETE
19,0.993103448275862,2023-02-01 01:23:40.318162,2023-02-01 01:23:40.483725,0 days 00:00:00.165563,0.046361208503969104,0.021903217674338987,COMPLETE
20,0.993103448275862,2023-02-01 01:23:40.483903,2023-02-01 01:23:40.650754,0 days 00:00:00.166851,0.03087254104087505,0.19376594730632815,COMPLETE
21,0.993103448275862,2023-02-01 01:23:40.650942,2023-02-01 01:23:40.816577,0 days 00:00:00.165635,0.09227765135298392,0.6474083013515649,COMPLETE
22,0.993103448275862,2023-02-01 01:23:40.816762,2023-02-01 01:23:40.983467,0 days 00:00:00.166705,0.07834115438649411,0.4435662699496812,COMPLETE
23,0.993103448275862,2023-02-01 01:23:40.983653,2023-02-01 01:23:41.149197,0 days 00:00:00.165544,0.12546087283850083,0.2795605230307994,COMPLETE
24,0.993103448275862,2023-02-01 01:23:41.149379,2023-02-01 01:23:41.315822,0 days 00:00:00.166443,0.058579779321121676,0.6959452101351972,COMPLETE
25,0.993103448275862,2023-02-01 01:23:41.316004,2023-02-01 01:23:41.481834,0 days 00:00:00.165830,0.18993426445434683,0.4903781122908392,COMPLETE
26,0.9793103448275862,2023-02-01 01:23:41.482015,2023-02-01 01:23:41.632699,0 days 00:00:00.150684,0.017841437257571747,0.9997586984964917,COMPLETE
27,0.993103448275862,2023-02-01 01:23:41.632890,2023-02-01 01:23:41.798937,0 days 00:00:00.166047,0.04447052827123368,0.41415716465082963,COMPLETE
28,0.993103448275862,2023-02-01 01:23:41.799120,2023-02-01 01:23:41.964896,0 days 00:00:00.165776,0.08513378946203543,0.11168254156610036,COMPLETE
29,0.993103448275862,2023-02-01 01:23:41.965081,2023-02-01 01:23:42.131100,0 days 00:00:00.166019,0.027468123982312784,0.5988307568581416,COMPLETE
30,0.993103448275862,2023-02-01 01:23:42.131282,2023-02-01 01:23:42.297680,0 days 00:00:00.166398,0.013417185610268835,0.2192387125195143,COMPLETE
31,0.993103448275862,2023-02-01 01:23:42.297860,2023-02-01 01:23:42.463957,0 days 00:00:00.166097,0.023906381396088142,0.5191981485352928,COMPLETE
32,0.9862068965517242,2023-02-01 01:23:42.464142,2023-02-01 01:23:42.623325,0 days 00:00:00.159183,0.014350212969651414,0.5490163038144593,COMPLETE
33,0.993103448275862,2023-02-01 01:23:42.623518,2023-02-01 01:23:42.789201,0 days 00:00:00.165683,0.023132326629127384,0.4938704531407567,COMPLETE
34,0.9862068965517242,2023-02-01 01:23:42.789391,2023-02-01 01:23:42.947662,0 days 00:00:00.158271,0.01564486521844607,0.5854712536634954,COMPLETE
35,0.993103448275862,2023-02-01 01:23:42.947836,2023-02-01 01:23:43.113366,0 days 00:00:00.165530,0.023150709145360267,0.6337015147459253,COMPLETE
36,0.993103448275862,2023-02-01 01:23:43.113563,2023-02-01 01:23:43.279309,0 days 00:00:00.165746,0.036864342760123237,0.7263319496103364,COMPLETE
37,0.9862068965517242,2023-02-01 01:23:43.279488,2023-02-01 01:23:43.408068,0 days 00:00:00.128580,0.4730024573428313,0.5494016414020151,COMPLETE
38,0.993103448275862,2023-02-01 01:23:43.408243,2023-02-01 01:23:43.573104,0 days 00:00:00.164861,0.02826847193186467,0.2937700556076842,COMPLETE
39,0.9793103448275862,2023-02-01 01:23:43.573287,2023-02-01 01:23:43.724508,0 days 00:00:00.151221,0.010787474607552472,0.7644606934609542,COMPLETE
40,0.993103448275862,2023-02-01 01:23:43.724684,2023-02-01 01:23:43.891203,0 days 00:00:00.166519,0.03863807389816961,0.05888807067282471,COMPLETE
41,0.9862068965517242,2023-02-01 01:23:43.891390,2023-02-01 01:23:44.051260,0 days 00:00:00.159870,0.019853944379699454,0.7993433082708787,COMPLETE
42,0.993103448275862,2023-02-01 01:23:44.051434,2023-02-01 01:23:44.217409,0 days 00:00:00.165975,0.054144264695638315,0.8380475117779368,COMPLETE
43,0.993103448275862,2023-02-01 01:23:44.217589,2023-02-01 01:23:44.383685,0 days 00:00:00.166096,0.032335892261566884,0.6673156939935022,COMPLETE
44,0.993103448275862,2023-02-01 01:23:44.383865,2023-02-01 01:23:44.545831,0 days 00:00:00.161966,0.013892494793224878,0.36251094838436637,COMPLETE
45,0.993103448275862,2023-02-01 01:23:44.546018,2023-02-01 01:23:44.712978,0 days 00:00:00.166960,0.05248935595562316,0.24303379223878918,COMPLETE
46,0.993103448275862,2023-02-01 01:23:44.713158,2023-02-01 01:23:44.879657,0 days 00:00:00.166499,0.06845534358220105,0.61554154044328,COMPLETE
47,0.993103448275862,2023-02-01 01:23:44.879843,2023-02-01 01:23:45.046198,0 days 00:00:00.166355,0.018439731821501725,0.32912338279474734,COMPLETE
48,0.993103448275862,2023-02-01 01:23:45.046381,2023-02-01 01:23:45.213005,0 days 00:00:00.166624,0.036346193710236036,0.6722702165276941,COMPLETE
49,0.993103448275862,2023-02-01 01:23:45.213203,2023-02-01 01:23:45.379371,0 days 00:00:00.166168,0.025497785833092305,0.46117420763699546,COMPLETE
