number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.993103448275862,2023-02-01 00:54:05.285342,2023-02-01 00:54:06.086302,0 days 00:00:00.800960,3,3,73,COMPLETE
1,0.9862068965517242,2023-02-01 00:54:06.086492,2023-02-01 00:54:07.997706,0 days 00:00:01.911214,16,3,65,COMPLETE
2,0.9862068965517242,2023-02-01 00:54:07.997923,2023-02-01 00:54:09.024071,0 days 00:00:01.026148,7,5,89,COMPLETE
3,0.9862068965517242,2023-02-01 00:54:09.024290,2023-02-01 00:54:10.464022,0 days 00:00:01.439732,10,4,72,COMPLETE
4,0.9793103448275862,2023-02-01 00:54:10.464215,2023-02-01 00:54:11.991094,0 days 00:00:01.526879,9,2,39,COMPLETE
5,0.9793103448275862,2023-02-01 00:54:11.991296,2023-02-01 00:54:12.492142,0 days 00:00:00.500846,3,2,51,COMPLETE
6,0.9862068965517242,2023-02-01 00:54:12.492339,2023-02-01 00:54:13.143664,0 days 00:00:00.651325,4,4,29,COMPLETE
7,0.9793103448275862,2023-02-01 00:54:13.143843,2023-02-01 00:54:15.266776,0 days 00:00:02.122933,17,2,67,COMPLETE
8,0.9862068965517242,2023-02-01 00:54:15.266987,2023-02-01 00:54:16.615642,0 days 00:00:01.348655,20,5,20,COMPLETE
9,0.9862068965517242,2023-02-01 00:54:16.615854,2023-02-01 00:54:18.273556,0 days 00:00:01.657702,20,4,69,COMPLETE
10,0.9862068965517242,2023-02-01 00:54:18.273751,2023-02-01 00:54:20.126101,0 days 00:00:01.852350,14,3,98,COMPLETE
11,0.9862068965517242,2023-02-01 00:54:20.126315,2023-02-01 00:54:21.917994,0 days 00:00:01.791679,13,3,81,COMPLETE
12,0.9862068965517242,2023-02-01 00:54:21.918195,2023-02-01 00:54:23.932246,0 days 00:00:02.014051,16,3,56,COMPLETE
13,0.9862068965517242,2023-02-01 00:54:23.932448,2023-02-01 00:54:25.857618,0 days 00:00:01.925170,17,3,43,COMPLETE
14,0.9862068965517242,2023-02-01 00:54:25.857822,2023-02-01 00:54:26.771741,0 days 00:00:00.913919,5,3,80,COMPLETE
15,0.9862068965517242,2023-02-01 00:54:26.771949,2023-02-01 00:54:28.386095,0 days 00:00:01.614146,12,4,61,COMPLETE
16,0.9793103448275862,2023-02-01 00:54:28.386300,2023-02-01 00:54:29.707739,0 days 00:00:01.321439,7,2,84,COMPLETE
17,0.9862068965517242,2023-02-01 00:54:29.707940,2023-02-01 00:54:31.571116,0 days 00:00:01.863176,14,3,98,COMPLETE
18,0.9862068965517242,2023-02-01 00:54:31.571310,2023-02-01 00:54:33.008924,0 days 00:00:01.437614,10,4,48,COMPLETE
