number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.993103448275862,2023-02-01 01:10:08.913149,2023-02-01 01:10:09.734883,0 days 00:00:00.821734,0.5012549638379915,0.44572397639151695,COMPLETE
1,0.993103448275862,2023-02-01 01:10:09.735142,2023-02-01 01:10:09.853890,0 days 00:00:00.118748,0.10978414714481946,0.16910211526971375,COMPLETE
2,0.993103448275862,2023-02-01 01:10:09.854070,2023-02-01 01:10:10.222051,0 days 00:00:00.367981,0.4241460309506812,0.38871493376613897,COMPLETE
3,0.993103448275862,2023-02-01 01:10:10.222232,2023-02-01 01:10:10.981220,0 days 00:00:00.758988,0.02789459698636233,0.5142287255271963,COMPLETE
4,0.993103448275862,2023-02-01 01:10:10.981421,2023-02-01 01:10:11.144040,0 days 00:00:00.162619,0.01634528916797044,0.055803820602561616,COMPLETE
5,0.993103448275862,2023-02-01 01:10:11.144247,2023-02-01 01:10:11.296106,0 days 00:00:00.151859,0.04816955503429677,0.7560985721146855,COMPLETE
6,0.9862068965517242,2023-02-01 01:10:11.296281,2023-02-01 01:10:11.401836,0 days 00:00:00.105555,0.26687565788459244,0.9686077173504851,COMPLETE
7,0.993103448275862,2023-02-01 01:10:11.402009,2023-02-01 01:10:11.561054,0 days 00:00:00.159045,0.05210738407709134,0.8812752824704064,COMPLETE
8,0.9862068965517242,2023-02-01 01:10:11.561230,2023-02-01 01:10:11.721476,0 days 00:00:00.160246,0.42436675598380214,0.570591162766071,COMPLETE
9,0.993103448275862,2023-02-01 01:10:11.721656,2023-02-01 01:10:11.885984,0 days 00:00:00.164328,0.03204212101791676,0.041649594316119365,COMPLETE
10,0.993103448275862,2023-02-01 01:10:11.886163,2023-02-01 01:10:12.051263,0 days 00:00:00.165100,0.8787853679534037,0.329091012632446,COMPLETE
11,0.993103448275862,2023-02-01 01:10:12.051448,2023-02-01 01:10:12.213374,0 days 00:00:00.161926,0.1271135518511232,0.2348343237585806,COMPLETE
12,0.993103448275862,2023-02-01 01:10:12.213552,2023-02-01 01:10:12.347340,0 days 00:00:00.133788,0.12381545506307133,0.19316785208610388,COMPLETE
13,0.993103448275862,2023-02-01 01:10:12.347490,2023-02-01 01:10:12.704189,0 days 00:00:00.356699,0.1940474413308471,0.4026362061220078,COMPLETE
14,0.993103448275862,2023-02-01 01:10:12.704390,2023-02-01 01:10:12.809299,0 days 00:00:00.104909,0.08830138238634223,0.607707315161388,COMPLETE
15,0.993103448275862,2023-02-01 01:10:12.809490,2023-02-01 01:10:12.956986,0 days 00:00:00.147496,0.8724737730351366,0.20885667905263347,COMPLETE
16,0.993103448275862,2023-02-01 01:10:12.957159,2023-02-01 01:10:13.095810,0 days 00:00:00.138651,0.011864049857285515,0.4650411355962969,COMPLETE
17,0.9862068965517242,2023-02-01 01:10:13.095985,2023-02-01 01:10:13.215280,0 days 00:00:00.119295,0.2336025382838983,0.6578862759052799,COMPLETE
18,0.993103448275862,2023-02-01 01:10:13.215432,2023-02-01 01:10:13.345481,0 days 00:00:00.130049,0.07542672742242376,0.3269122007645259,COMPLETE
19,0.993103448275862,2023-02-01 01:10:13.345662,2023-02-01 01:10:13.450933,0 days 00:00:00.105271,0.15217010073661372,0.12370765895207353,COMPLETE
20,0.993103448275862,2023-02-01 01:10:13.451108,2023-02-01 01:10:13.609776,0 days 00:00:00.158668,0.3929950875940113,0.2831567466082262,COMPLETE
21,0.993103448275862,2023-02-01 01:10:13.609953,2023-02-01 01:10:13.773638,0 days 00:00:00.163685,0.5094068961352948,0.3908157940332123,COMPLETE
22,0.993103448275862,2023-02-01 01:10:13.773825,2023-02-01 01:10:14.140414,0 days 00:00:00.366589,0.2711246636418762,0.4292072613206421,COMPLETE
23,0.993103448275862,2023-02-01 01:10:14.140596,2023-02-01 01:10:14.265202,0 days 00:00:00.124606,0.6289418598068115,0.13654362328127095,COMPLETE
24,0.993103448275862,2023-02-01 01:10:14.265371,2023-02-01 01:10:14.425564,0 days 00:00:00.160193,0.34077378373112044,0.3119924499761091,COMPLETE
25,0.993103448275862,2023-02-01 01:10:14.425739,2023-02-01 01:10:14.541247,0 days 00:00:00.115508,0.17772931393993063,0.5081376198738132,COMPLETE
26,0.993103448275862,2023-02-01 01:10:14.541434,2023-02-01 01:10:14.704840,0 days 00:00:00.163406,0.6075322882106695,0.3955201623917778,COMPLETE
27,0.993103448275862,2023-02-01 01:10:14.705027,2023-02-01 01:10:14.786014,0 days 00:00:00.080987,0.28451867522805774,0.0023015007338897386,COMPLETE
28,0.993103448275862,2023-02-01 01:10:14.786203,2023-02-01 01:10:14.932920,0 days 00:00:00.146717,0.21293562260840201,0.23013480675489426,COMPLETE
29,0.9862068965517242,2023-02-01 01:10:14.933104,2023-02-01 01:10:15.096928,0 days 00:00:00.163824,0.354506139909049,0.4997062322809006,COMPLETE
30,0.993103448275862,2023-02-01 01:10:15.097114,2023-02-01 01:10:15.263168,0 days 00:00:00.166054,0.5094921265539216,0.35146076254374703,COMPLETE
31,0.993103448275862,2023-02-01 01:10:15.263365,2023-02-01 01:10:15.414593,0 days 00:00:00.151228,0.02308014640986401,0.49130051190426904,COMPLETE
32,0.993103448275862,2023-02-01 01:10:15.414779,2023-02-01 01:10:15.577578,0 days 00:00:00.162799,0.0762523137719361,0.5533262847677068,COMPLETE
33,0.993103448275862,2023-02-01 01:10:15.577771,2023-02-01 01:10:15.742994,0 days 00:00:00.165223,0.05157309118835765,0.442098468841199,COMPLETE
34,0.993103448275862,2023-02-01 01:10:15.743188,2023-02-01 01:10:15.904810,0 days 00:00:00.161622,0.03724802927210499,0.6904669757807015,COMPLETE
35,0.993103448275862,2023-02-01 01:10:15.904997,2023-02-01 01:10:16.070041,0 days 00:00:00.165044,0.021860218657384807,0.5435349607399996,COMPLETE
36,0.993103448275862,2023-02-01 01:10:16.070240,2023-02-01 01:10:16.169853,0 days 00:00:00.099613,0.10473233830043807,0.3681372925484865,COMPLETE
37,0.993103448275862,2023-02-01 01:10:16.170044,2023-02-01 01:10:16.333462,0 days 00:00:00.163418,0.05551208670670862,0.43968505639327166,COMPLETE
38,0.9862068965517242,2023-02-01 01:10:16.333647,2023-02-01 01:10:16.409582,0 days 00:00:00.075935,0.13996471235789745,0.7755920715989361,COMPLETE
39,0.993103448275862,2023-02-01 01:10:16.409767,2023-02-01 01:10:16.564530,0 days 00:00:00.154763,0.28195489809286195,0.2758952246584603,COMPLETE
40,0.993103448275862,2023-02-01 01:10:16.564716,2023-02-01 01:10:16.671362,0 days 00:00:00.106646,0.18902028248621436,0.11045881251537132,COMPLETE
41,0.993103448275862,2023-02-01 01:10:16.671504,2023-02-01 01:10:16.829972,0 days 00:00:00.158468,0.011712924940833697,0.07640502836068098,COMPLETE
42,0.993103448275862,2023-02-01 01:10:16.830152,2023-02-01 01:10:16.977285,0 days 00:00:00.147133,0.9736073040527465,0.1792027945086893,COMPLETE
43,0.993103448275862,2023-02-01 01:10:16.977466,2023-02-01 01:10:17.144428,0 days 00:00:00.166962,0.015809294804680588,0.04883847490394043,COMPLETE
44,0.993103448275862,2023-02-01 01:10:17.144618,2023-02-01 01:10:17.308962,0 days 00:00:00.164344,0.038792673959310534,0.27138093152228215,COMPLETE
45,0.993103448275862,2023-02-01 01:10:17.309151,2023-02-01 01:10:17.472700,0 days 00:00:00.163549,0.026555036760868126,0.15281070783731468,COMPLETE
46,0.993103448275862,2023-02-01 01:10:17.472883,2023-02-01 01:10:17.626779,0 days 00:00:00.153896,0.01664215636238977,0.1992648023445066,COMPLETE
47,0.993103448275862,2023-02-01 01:10:17.626958,2023-02-01 01:10:17.718195,0 days 00:00:00.091237,0.10953610144133792,0.08573093401704224,COMPLETE
48,0.993103448275862,2023-02-01 01:10:17.718377,2023-02-01 01:10:17.786382,0 days 00:00:00.068005,0.1519985300545692,0.0023266051598685375,COMPLETE
49,0.993103448275862,2023-02-01 01:10:17.786545,2023-02-01 01:10:17.951260,0 days 00:00:00.164715,0.2402776735438578,0.3511760417185966,COMPLETE
