number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.9862068965517242,2023-02-01 01:08:19.920477,2023-02-01 01:08:20.623884,0 days 00:00:00.703407,3,2,52,COMPLETE
1,0.9793103448275862,2023-02-01 01:08:20.624149,2023-02-01 01:08:21.659500,0 days 00:00:01.035351,7,2,15,COMPLETE
2,0.9862068965517242,2023-02-01 01:08:21.659728,2023-02-01 01:08:22.989684,0 days 00:00:01.329956,8,3,26,COMPLETE
3,0.9793103448275862,2023-02-01 01:08:22.989905,2023-02-01 01:08:24.873703,0 days 00:00:01.883798,19,2,88,COMPLETE
4,0.9793103448275862,2023-02-01 01:08:24.873894,2023-02-01 01:08:26.307912,0 days 00:00:01.434018,19,5,40,COMPLETE
5,0.9862068965517242,2023-02-01 01:08:26.308111,2023-02-01 01:08:27.078119,0 days 00:00:00.770008,5,5,65,COMPLETE
6,0.9862068965517242,2023-02-01 01:08:27.078302,2023-02-01 01:08:27.763810,0 days 00:00:00.685508,4,2,61,COMPLETE
7,0.9793103448275862,2023-02-01 01:08:27.764007,2023-02-01 01:08:28.925837,0 days 00:00:01.161830,8,5,42,COMPLETE
8,0.9793103448275862,2023-02-01 01:08:28.926035,2023-02-01 01:08:30.848524,0 days 00:00:01.922489,20,2,99,COMPLETE
9,0.9793103448275862,2023-02-01 01:08:30.848747,2023-02-01 01:08:32.161500,0 days 00:00:01.312753,9,5,90,COMPLETE
10,0.9862068965517242,2023-02-01 01:08:32.161685,2023-02-01 01:08:33.938487,0 days 00:00:01.776802,13,3,78,COMPLETE
11,0.9862068965517242,2023-02-01 01:08:33.938684,2023-02-01 01:08:34.997489,0 days 00:00:01.058805,12,3,15,COMPLETE
12,0.9862068965517242,2023-02-01 01:08:34.997691,2023-02-01 01:08:35.497126,0 days 00:00:00.499435,3,3,37,COMPLETE
13,0.9862068965517242,2023-02-01 01:08:35.497341,2023-02-01 01:08:36.918788,0 days 00:00:01.421447,10,4,29,COMPLETE
14,0.9862068965517242,2023-02-01 01:08:36.919008,2023-02-01 01:08:38.543398,0 days 00:00:01.624390,14,4,51,COMPLETE
15,0.9862068965517242,2023-02-01 01:08:38.543605,2023-02-01 01:08:39.595423,0 days 00:00:01.051818,6,3,26,COMPLETE
16,0.9862068965517242,2023-02-01 01:08:39.595627,2023-02-01 01:08:41.219909,0 days 00:00:01.624282,16,4,52,COMPLETE
17,0.9862068965517242,2023-02-01 01:08:41.220098,2023-02-01 01:08:41.712701,0 days 00:00:00.492603,3,2,72,COMPLETE
18,0.9862068965517242,2023-02-01 01:08:41.712900,2023-02-01 01:08:43.198062,0 days 00:00:01.485162,10,3,29,COMPLETE
19,0.9793103448275862,2023-02-01 01:08:43.198291,2023-02-01 01:08:44.281455,0 days 00:00:01.083164,6,2,53,COMPLETE
20,0.9862068965517242,2023-02-01 01:08:44.281670,2023-02-01 01:08:46.239667,0 days 00:00:01.957997,15,3,43,COMPLETE
21,0.9862068965517242,2023-02-01 01:08:46.239885,2023-02-01 01:08:47.037513,0 days 00:00:00.797628,5,4,64,COMPLETE
22,0.9862068965517242,2023-02-01 01:08:47.037711,2023-02-01 01:08:47.833304,0 days 00:00:00.795593,5,4,68,COMPLETE
23,0.9793103448275862,2023-02-01 01:08:47.833524,2023-02-01 01:08:48.877620,0 days 00:00:01.044096,7,5,77,COMPLETE
24,0.9862068965517242,2023-02-01 01:08:48.877846,2023-02-01 01:08:49.557487,0 days 00:00:00.679641,4,3,57,COMPLETE
25,0.9862068965517242,2023-02-01 01:08:49.557698,2023-02-01 01:08:50.873404,0 days 00:00:01.315706,9,4,24,COMPLETE
26,0.9793103448275862,2023-02-01 01:08:50.873609,2023-02-01 01:08:51.775356,0 days 00:00:00.901747,5,2,35,COMPLETE
27,0.9793103448275862,2023-02-01 01:08:51.775555,2023-02-01 01:08:52.858063,0 days 00:00:01.082508,7,5,49,COMPLETE
28,0.9862068965517242,2023-02-01 01:08:52.858281,2023-02-01 01:08:53.350321,0 days 00:00:00.492040,3,3,73,COMPLETE
29,0.9793103448275862,2023-02-01 01:08:53.350531,2023-02-01 01:08:54.445729,0 days 00:00:01.095198,8,2,16,COMPLETE
30,0.9793103448275862,2023-02-01 01:08:54.445938,2023-02-01 01:08:56.147256,0 days 00:00:01.701318,11,2,84,COMPLETE
31,0.9862068965517242,2023-02-01 01:08:56.147464,2023-02-01 01:08:56.885644,0 days 00:00:00.738180,4,2,61,COMPLETE
32,0.9793103448275862,2023-02-01 01:08:56.885847,2023-02-01 01:08:57.970009,0 days 00:00:01.084162,6,2,63,COMPLETE
33,0.9862068965517242,2023-02-01 01:08:57.970240,2023-02-01 01:08:58.666114,0 days 00:00:00.695874,4,2,58,COMPLETE
34,0.9793103448275862,2023-02-01 01:08:58.666329,2023-02-01 01:08:59.561997,0 days 00:00:00.895668,5,2,46,COMPLETE
35,0.9862068965517242,2023-02-01 01:08:59.562193,2023-02-01 01:09:00.859853,0 days 00:00:01.297660,8,3,69,COMPLETE
36,0.9793103448275862,2023-02-01 01:09:00.860055,2023-02-01 01:09:01.902137,0 days 00:00:01.042082,7,5,56,COMPLETE
37,0.9862068965517242,2023-02-01 01:09:01.902341,2023-02-01 01:09:02.395348,0 days 00:00:00.493007,3,2,95,COMPLETE
38,0.9862068965517242,2023-02-01 01:09:02.395541,2023-02-01 01:09:03.085669,0 days 00:00:00.690128,4,2,83,COMPLETE
39,0.9862068965517242,2023-02-01 01:09:03.085861,2023-02-01 01:09:04.056025,0 days 00:00:00.970164,6,3,66,COMPLETE
40,0.9793103448275862,2023-02-01 01:09:04.056228,2023-02-01 01:09:05.331343,0 days 00:00:01.275115,9,5,36,COMPLETE
41,0.9862068965517242,2023-02-01 01:09:05.331568,2023-02-01 01:09:07.105203,0 days 00:00:01.773635,12,3,77,COMPLETE
42,0.9862068965517242,2023-02-01 01:09:07.105425,2023-02-01 01:09:08.892836,0 days 00:00:01.787411,13,3,79,COMPLETE
43,0.9862068965517242,2023-02-01 01:09:08.893035,2023-02-01 01:09:10.880367,0 days 00:00:01.987332,18,3,91,COMPLETE
44,0.9862068965517242,2023-02-01 01:09:10.880575,2023-02-01 01:09:12.221392,0 days 00:00:01.340817,13,4,20,COMPLETE
45,0.9862068965517242,2023-02-01 01:09:12.221622,2023-02-01 01:09:13.828701,0 days 00:00:01.607079,11,3,73,COMPLETE
46,0.9862068965517242,2023-02-01 01:09:13.828918,2023-02-01 01:09:15.460418,0 days 00:00:01.631500,17,4,47,COMPLETE
47,0.9793103448275862,2023-02-01 01:09:15.460648,2023-02-01 01:09:17.407115,0 days 00:00:01.946467,15,2,85,COMPLETE
