number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.993103448275862,2023-02-01 01:23:29.723787,2023-02-01 01:23:30.544361,0 days 00:00:00.820574,0.04826552338720242,0.14637146351394925,COMPLETE
1,0.993103448275862,2023-02-01 01:23:30.544628,2023-02-01 01:23:30.988656,0 days 00:00:00.444028,0.010112024438777102,0.8828027768173912,COMPLETE
2,0.993103448275862,2023-02-01 01:23:30.988856,2023-02-01 01:23:31.319388,0 days 00:00:00.330532,0.08027489461162937,0.4810446382965169,COMPLETE
3,0.993103448275862,2023-02-01 01:23:31.319575,2023-02-01 01:23:31.407968,0 days 00:00:00.088393,0.027075375324888632,0.6560703188175647,COMPLETE
4,0.993103448275862,2023-02-01 01:23:31.408116,2023-02-01 01:23:31.529679,0 days 00:00:00.121563,0.0886848440336021,0.9453726664231688,COMPLETE
5,0.993103448275862,2023-02-01 01:23:31.529851,2023-02-01 01:23:31.669047,0 days 00:00:00.139196,0.04289480910061175,0.004244282740921368,COMPLETE
6,0.993103448275862,2023-02-01 01:23:31.669188,2023-02-01 01:23:31.831184,0 days 00:00:00.161996,0.8315904487309468,0.4419231325752965,COMPLETE
7,0.9862068965517242,2023-02-01 01:23:31.831360,2023-02-01 01:23:31.994228,0 days 00:00:00.162868,0.8579771553947164,0.6723921202670234,COMPLETE
8,0.993103448275862,2023-02-01 01:23:31.994407,2023-02-01 01:23:32.129860,0 days 00:00:00.135453,0.04834106463493237,0.1255492709821292,COMPLETE
9,0.993103448275862,2023-02-01 01:23:32.130033,2023-02-01 01:23:32.172898,0 days 00:00:00.042865,0.014501668114182265,0.9443116306421839,COMPLETE
10,0.993103448275862,2023-02-01 01:23:32.173039,2023-02-01 01:23:32.339551,0 days 00:00:00.166512,0.24177656059937766,0.19742385427497394,COMPLETE
11,0.993103448275862,2023-02-01 01:23:32.339734,2023-02-01 01:23:32.441409,0 days 00:00:00.101675,0.01328819250466043,0.2995931943884614,COMPLETE
12,0.993103448275862,2023-02-01 01:23:32.441586,2023-02-01 01:23:32.537832,0 days 00:00:00.096246,0.010067799780874916,0.31247832828468103,COMPLETE
13,0.993103448275862,2023-02-01 01:23:32.538010,2023-02-01 01:23:32.624704,0 days 00:00:00.086694,0.026815041489994414,0.724024209751795,COMPLETE
14,0.993103448275862,2023-02-01 01:23:32.624852,2023-02-01 01:23:32.786228,0 days 00:00:00.161376,0.19335551259134606,0.7952182633590741,COMPLETE
15,0.993103448275862,2023-02-01 01:23:32.786410,2023-02-01 01:23:32.874221,0 days 00:00:00.087811,0.021324215522288845,0.6127333772865331,COMPLETE
16,0.993103448275862,2023-02-01 01:23:32.874381,2023-02-01 01:23:32.953237,0 days 00:00:00.078856,0.011022072516512271,0.5131386176288604,COMPLETE
17,0.993103448275862,2023-02-01 01:23:32.953384,2023-02-01 01:23:33.239227,0 days 00:00:00.285843,0.021298599603821772,0.8229028700340155,COMPLETE
18,0.993103448275862,2023-02-01 01:23:33.239424,2023-02-01 01:23:33.578686,0 days 00:00:00.339262,0.046580321136430416,0.5619797437522294,COMPLETE
19,0.993103448275862,2023-02-01 01:23:33.578886,2023-02-01 01:23:33.674968,0 days 00:00:00.096082,0.015250866618348603,0.4217760874712007,COMPLETE
20,0.993103448275862,2023-02-01 01:23:33.675145,2023-02-01 01:23:33.965068,0 days 00:00:00.289923,0.03490761562160537,0.9743042474140672,COMPLETE
21,0.993103448275862,2023-02-01 01:23:33.965265,2023-02-01 01:23:34.099927,0 days 00:00:00.134662,0.07113257721441725,0.5334407880615017,COMPLETE
22,0.993103448275862,2023-02-01 01:23:34.100121,2023-02-01 01:23:34.216597,0 days 00:00:00.116476,0.06629413671438567,0.37950480964595307,COMPLETE
23,0.993103448275862,2023-02-01 01:23:34.216767,2023-02-01 01:23:34.358880,0 days 00:00:00.142113,0.13680194775415405,0.49667017601551205,COMPLETE
