number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.735103155103155,2023-01-31 16:04:29.770092,2023-01-31 16:04:29.861998,0 days 00:00:00.091906,0,10000,10.20491605326625,1216,COMPLETE
1,0.735103155103155,2023-01-31 16:04:29.862993,2023-01-31 16:04:29.957742,0 days 00:00:00.094749,11,4300,4.958481097230447,873,COMPLETE
2,0.735103155103155,2023-01-31 16:04:29.959736,2023-01-31 16:04:30.051489,0 days 00:00:00.091753,10,5000,3.9879310932884735,802,COMPLETE
3,0.735103155103155,2023-01-31 16:04:30.052486,2023-01-31 16:04:30.153216,0 days 00:00:00.100730,8,4600,14.59397842808885,757,COMPLETE
4,0.735103155103155,2023-01-31 16:04:30.154213,2023-01-31 16:04:30.257936,0 days 00:00:00.103723,9,700,7.369078466491708,735,COMPLETE
5,0.735103155103155,2023-01-31 16:04:30.258933,2023-01-31 16:04:30.393573,0 days 00:00:00.134640,0,2700,10.39237950838603,1369,COMPLETE
6,0.735103155103155,2023-01-31 16:04:30.395567,2023-01-31 16:04:30.512254,0 days 00:00:00.116687,8,7900,3.2811153588592235,1345,COMPLETE
7,0.735103155103155,2023-01-31 16:04:30.514251,2023-01-31 16:04:30.613982,0 days 00:00:00.099731,2,2000,2.444044516880824,1346,COMPLETE
8,0.735103155103155,2023-01-31 16:04:30.615977,2023-01-31 16:04:30.733661,0 days 00:00:00.117684,9,4200,1.589601380391565,832,COMPLETE
9,0.735103155103155,2023-01-31 16:04:30.735656,2023-01-31 16:04:30.835388,0 days 00:00:00.099732,13,2100,2.0882358570032378,313,COMPLETE
10,0.735103155103155,2023-01-31 16:04:30.836386,2023-01-31 16:04:30.967036,0 days 00:00:00.130650,3,10000,11.80592665459934,1101,COMPLETE
11,0.735103155103155,2023-01-31 16:04:30.968034,2023-01-31 16:04:31.093696,0 days 00:00:00.125662,15,6900,6.916927991130207,1041,COMPLETE
12,0.735103155103155,2023-01-31 16:04:31.094696,2023-01-31 16:04:31.219360,0 days 00:00:00.124664,4,6800,9.93312917708481,477,COMPLETE
13,0.735103155103155,2023-01-31 16:04:31.221355,2023-01-31 16:04:31.423813,0 days 00:00:00.202458,-1,9600,5.063548932554368,1116,COMPLETE
14,0.735103155103155,2023-01-31 16:04:31.424810,2023-01-31 16:04:31.585379,0 days 00:00:00.160569,12,6500,9.114522986988911,559,COMPLETE
15,0.735103155103155,2023-01-31 16:04:31.586384,2023-01-31 16:04:31.736974,0 days 00:00:00.150590,5,8400,5.696135582309611,71,COMPLETE
16,0.735103155103155,2023-01-31 16:04:31.737979,2023-01-31 16:04:31.874606,0 days 00:00:00.136627,6,3500,13.650092187780274,960,COMPLETE
17,0.735103155103155,2023-01-31 16:04:31.875603,2023-01-31 16:04:32.016225,0 days 00:00:00.140622,12,6200,9.795927689060088,570,COMPLETE
18,0.735103155103155,2023-01-31 16:04:32.017223,2023-01-31 16:04:32.134908,0 days 00:00:00.117685,6,8700,12.368280856167663,59,COMPLETE
19,0.735103155103155,2023-01-31 16:04:32.136902,2023-01-31 16:04:32.273536,0 days 00:00:00.136634,0,3200,14.824870465286573,1223,COMPLETE
20,0.735103155103155,2023-01-31 16:04:32.275531,2023-01-31 16:04:32.402192,0 days 00:00:00.126661,15,5700,8.409970313829294,573,COMPLETE
21,0.735103155103155,2023-01-31 16:04:32.403189,2023-01-31 16:04:32.540820,0 days 00:00:00.137631,2,8900,11.870196097333944,205,COMPLETE
