number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.6434782608695653,2023-02-01 00:48:40.196695,2023-02-01 00:48:40.987581,0 days 00:00:00.790886,12,5,86,COMPLETE
1,0.6086956521739131,2023-02-01 00:48:40.987782,2023-02-01 00:48:41.392406,0 days 00:00:00.404624,5,3,24,COMPLETE
2,0.6347826086956521,2023-02-01 00:48:41.392560,2023-02-01 00:48:41.886345,0 days 00:00:00.493785,11,5,40,COMPLETE
3,0.6347826086956523,2023-02-01 00:48:41.886543,2023-02-01 00:48:42.079931,0 days 00:00:00.193388,3,4,46,COMPLETE
4,0.6434782608695653,2023-02-01 00:48:42.080125,2023-02-01 00:48:42.691928,0 days 00:00:00.611803,11,4,58,COMPLETE
5,0.6869565217391304,2023-02-01 00:48:42.692120,2023-02-01 00:48:43.514618,0 days 00:00:00.822498,19,2,32,COMPLETE
6,0.6434782608695653,2023-02-01 00:48:43.514810,2023-02-01 00:48:43.821643,0 days 00:00:00.306833,4,3,55,COMPLETE
7,0.6434782608695653,2023-02-01 00:48:43.821841,2023-02-01 00:48:44.432925,0 days 00:00:00.611084,20,4,28,COMPLETE
8,0.6347826086956522,2023-02-01 00:48:44.433116,2023-02-01 00:48:44.915754,0 days 00:00:00.482638,9,5,30,COMPLETE
9,0.6434782608695653,2023-02-01 00:48:44.915952,2023-02-01 00:48:45.533191,0 days 00:00:00.617239,20,4,34,COMPLETE
10,0.6869565217391304,2023-02-01 00:48:45.533391,2023-02-01 00:48:46.461008,0 days 00:00:00.927617,16,2,77,COMPLETE
11,0.6869565217391304,2023-02-01 00:48:46.461210,2023-02-01 00:48:47.388018,0 days 00:00:00.926808,16,2,83,COMPLETE
12,0.6869565217391304,2023-02-01 00:48:47.388215,2023-02-01 00:48:48.317098,0 days 00:00:00.928883,16,2,100,COMPLETE
13,0.6869565217391304,2023-02-01 00:48:48.317315,2023-02-01 00:48:49.247645,0 days 00:00:00.930330,16,2,71,COMPLETE
