number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.6956521739130435,2023-02-01 00:54:01.310126,2023-02-01 00:54:01.367862,0 days 00:00:00.057736,0.019914250985610574,0.009546425843087403,COMPLETE
1,0.6956521739130435,2023-02-01 00:54:01.368282,2023-02-01 00:54:01.426299,0 days 00:00:00.058017,0.7089458353602699,0.8423401545330941,COMPLETE
2,0.6956521739130435,2023-02-01 00:54:01.426688,2023-02-01 00:54:01.511730,0 days 00:00:00.085042,0.16913470825370458,0.22414602842612807,COMPLETE
3,0.6956521739130435,2023-02-01 00:54:01.511921,2023-02-01 00:54:01.570345,0 days 00:00:00.058424,0.14083400702901638,0.960946008167754,COMPLETE
4,0.6956521739130435,2023-02-01 00:54:01.570752,2023-02-01 00:54:01.594933,0 days 00:00:00.024181,0.6356246143120615,0.7537325874354455,COMPLETE
5,0.6956521739130435,2023-02-01 00:54:01.595092,2023-02-01 00:54:01.613232,0 days 00:00:00.018140,0.06386651123482356,0.5617905895850828,COMPLETE
6,0.7043478260869565,2023-02-01 00:54:01.613368,2023-02-01 00:54:01.630935,0 days 00:00:00.017567,0.07008519373328385,0.6788265112788606,COMPLETE
7,0.6956521739130435,2023-02-01 00:54:01.631067,2023-02-01 00:54:01.650715,0 days 00:00:00.019648,0.1823340460290355,0.7856386556959994,COMPLETE
8,0.7130434782608696,2023-02-01 00:54:01.650857,2023-02-01 00:54:01.668384,0 days 00:00:00.017527,0.049545665150987135,0.5747265641064868,COMPLETE
9,0.7043478260869565,2023-02-01 00:54:01.668512,2023-02-01 00:54:01.684486,0 days 00:00:00.015974,0.034765802693588366,0.8920862414532116,COMPLETE
10,0.7217391304347827,2023-02-01 00:54:01.684614,2023-02-01 00:54:01.703323,0 days 00:00:00.018709,0.010639151385837568,0.4314432601976653,COMPLETE
11,0.7043478260869566,2023-02-01 00:54:01.703454,2023-02-01 00:54:01.722280,0 days 00:00:00.018826,0.012486875752998384,0.46053122219457177,COMPLETE
12,0.7130434782608697,2023-02-01 00:54:01.722411,2023-02-01 00:54:01.740775,0 days 00:00:00.018364,0.010663298114624943,0.45743266561864027,COMPLETE
13,0.6956521739130435,2023-02-01 00:54:01.740911,2023-02-01 00:54:01.760657,0 days 00:00:00.019746,0.011371214314189174,0.3772489078173578,COMPLETE
14,0.7043478260869565,2023-02-01 00:54:01.760792,2023-02-01 00:54:01.780700,0 days 00:00:00.019908,0.021598629605399593,0.3474927046449326,COMPLETE
15,0.6782608695652175,2023-02-01 00:54:01.780837,2023-02-01 00:54:01.799030,0 days 00:00:00.018193,0.01240906116294438,0.6446189270895388,COMPLETE
16,0.7043478260869565,2023-02-01 00:54:01.799160,2023-02-01 00:54:01.818806,0 days 00:00:00.019646,0.0277378648070682,0.47822710742245106,COMPLETE
17,0.7130434782608696,2023-02-01 00:54:01.818939,2023-02-01 00:54:01.838112,0 days 00:00:00.019173,0.01108760306451391,0.31824036328284866,COMPLETE
18,0.7130434782608696,2023-02-01 00:54:01.838240,2023-02-01 00:54:01.857937,0 days 00:00:00.019697,0.019080034808368094,0.20677472734818036,COMPLETE
19,0.7130434782608696,2023-02-01 00:54:01.858065,2023-02-01 00:54:01.878747,0 days 00:00:00.020682,0.03703334132599638,0.48460876872211445,COMPLETE
20,0.6521739130434783,2023-02-01 00:54:01.878880,2023-02-01 00:54:01.897418,0 days 00:00:00.018538,0.010023205362713127,0.5565425004720919,COMPLETE
21,0.7130434782608696,2023-02-01 00:54:01.897547,2023-02-01 00:54:01.918063,0 days 00:00:00.020516,0.04489955472410992,0.609048653617883,COMPLETE
22,0.7043478260869566,2023-02-01 00:54:01.918194,2023-02-01 00:54:01.936823,0 days 00:00:00.018629,0.018481143865650567,0.6773657298690003,COMPLETE
23,0.7130434782608696,2023-02-01 00:54:01.936955,2023-02-01 00:54:01.956560,0 days 00:00:00.019605,0.01647036952541579,0.5168446954873043,COMPLETE
24,0.7130434782608696,2023-02-01 00:54:01.956693,2023-02-01 00:54:01.977273,0 days 00:00:00.020580,0.03205994135384751,0.4264309367974266,COMPLETE
25,0.7043478260869566,2023-02-01 00:54:01.977410,2023-02-01 00:54:01.996313,0 days 00:00:00.018903,0.016005847064132783,0.5835079017363896,COMPLETE
26,0.7043478260869565,2023-02-01 00:54:01.996453,2023-02-01 00:54:02.015653,0 days 00:00:00.019200,0.02544810172835196,0.4149025639592272,COMPLETE
27,0.7130434782608696,2023-02-01 00:54:02.015784,2023-02-01 00:54:02.036904,0 days 00:00:00.021120,0.04551470779679593,0.515665544096534,COMPLETE
28,0.7043478260869565,2023-02-01 00:54:02.037043,2023-02-01 00:54:02.056291,0 days 00:00:00.019248,0.025226456205998928,0.6432629393076106,COMPLETE
29,0.6956521739130435,2023-02-01 00:54:02.056427,2023-02-01 00:54:02.077410,0 days 00:00:00.020983,0.016975392873507755,0.07475690673092905,COMPLETE
30,0.7043478260869565,2023-02-01 00:54:02.077542,2023-02-01 00:54:02.096657,0 days 00:00:00.019115,0.014800043680760858,0.28416452823597316,COMPLETE
31,0.7043478260869566,2023-02-01 00:54:02.096788,2023-02-01 00:54:02.115298,0 days 00:00:00.018510,0.010650575789389894,0.38515362684347465,COMPLETE
32,0.7130434782608696,2023-02-01 00:54:02.115428,2023-02-01 00:54:02.135510,0 days 00:00:00.020082,0.013406823104810296,0.3185042048720366,COMPLETE
33,0.7043478260869566,2023-02-01 00:54:02.135645,2023-02-01 00:54:02.154771,0 days 00:00:00.019126,0.010109593109767308,0.4462731982422159,COMPLETE
34,0.7130434782608696,2023-02-01 00:54:02.154901,2023-02-01 00:54:02.175562,0 days 00:00:00.020661,0.02146364598733889,0.24679820282135653,COMPLETE
35,0.7043478260869565,2023-02-01 00:54:02.175698,2023-02-01 00:54:02.195408,0 days 00:00:00.019710,0.015100760081114259,0.372899654072778,COMPLETE
36,0.7043478260869565,2023-02-01 00:54:02.195544,2023-02-01 00:54:02.215176,0 days 00:00:00.019632,0.021489283128364924,0.5322748064363079,COMPLETE
37,0.6956521739130436,2023-02-01 00:54:02.215323,2023-02-01 00:54:02.235417,0 days 00:00:00.020094,0.014250425021732526,0.3106859978138364,COMPLETE
38,0.6956521739130435,2023-02-01 00:54:02.235555,2023-02-01 00:54:02.255001,0 days 00:00:00.019446,0.012446587606894141,0.42167540824994754,COMPLETE
39,0.7130434782608696,2023-02-01 00:54:02.255133,2023-02-01 00:54:02.276119,0 days 00:00:00.020986,0.06737850399338062,0.7317337218874216,COMPLETE
40,0.6956521739130435,2023-02-01 00:54:02.276255,2023-02-01 00:54:02.298121,0 days 00:00:00.021866,0.09913360690987826,0.5663167746134967,COMPLETE
41,0.7130434782608696,2023-02-01 00:54:02.298261,2023-02-01 00:54:02.319306,0 days 00:00:00.021045,0.01955210654873401,0.20236280640616555,COMPLETE
42,0.7130434782608696,2023-02-01 00:54:02.319446,2023-02-01 00:54:02.340234,0 days 00:00:00.020788,0.018142274509569806,0.1689893959562925,COMPLETE
43,0.7043478260869565,2023-02-01 00:54:02.340370,2023-02-01 00:54:02.360774,0 days 00:00:00.020404,0.012278816201889382,0.331531071674313,COMPLETE
44,0.6956521739130435,2023-02-01 00:54:02.360911,2023-02-01 00:54:02.380264,0 days 00:00:00.019353,0.013876729864714141,0.4671443301093901,COMPLETE
45,0.7130434782608696,2023-02-01 00:54:02.380393,2023-02-01 00:54:02.400101,0 days 00:00:00.019708,0.010648191588835268,0.24166630824962831,COMPLETE
46,0.7043478260869565,2023-02-01 00:54:02.400232,2023-02-01 00:54:02.420791,0 days 00:00:00.020559,0.023578508133636388,0.37321810521100174,COMPLETE
47,0.7130434782608696,2023-02-01 00:54:02.420967,2023-02-01 00:54:02.442534,0 days 00:00:00.021567,0.019190007628734688,0.2844545345857095,COMPLETE
48,0.7043478260869565,2023-02-01 00:54:02.442703,2023-02-01 00:54:02.463162,0 days 00:00:00.020459,0.028146026166770133,0.49267549604362043,COMPLETE
49,0.7130434782608696,2023-02-01 00:54:02.463301,2023-02-01 00:54:02.484613,0 days 00:00:00.021312,0.010449033348895357,0.16015980984371034,COMPLETE
