number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.6695652173913043,2023-02-01 00:42:54.372270,2023-02-01 00:42:55.062302,0 days 00:00:00.690032,6,4,30,COMPLETE
1,0.6521739130434783,2023-02-01 00:42:55.062501,2023-02-01 00:42:55.572169,0 days 00:00:00.509668,17,5,95,COMPLETE
2,0.6347826086956522,2023-02-01 00:42:55.572357,2023-02-01 00:42:56.167123,0 days 00:00:00.594766,6,2,41,COMPLETE
3,0.6,2023-02-01 00:42:56.167299,2023-02-01 00:42:57.096284,0 days 00:00:00.928985,20,2,60,COMPLETE
4,0.6347826086956522,2023-02-01 00:42:57.096473,2023-02-01 00:42:57.700791,0 days 00:00:00.604318,15,4,99,COMPLETE
5,0.6347826086956522,2023-02-01 00:42:57.701000,2023-02-01 00:42:58.317159,0 days 00:00:00.616159,15,4,25,COMPLETE
6,0.6434782608695652,2023-02-01 00:42:58.317348,2023-02-01 00:42:58.892539,0 days 00:00:00.575191,10,4,75,COMPLETE
7,0.608695652173913,2023-02-01 00:42:58.892732,2023-02-01 00:42:59.616340,0 days 00:00:00.723608,13,3,55,COMPLETE
8,0.5739130434782609,2023-02-01 00:42:59.616541,2023-02-01 00:43:00.296186,0 days 00:00:00.679645,7,2,65,COMPLETE
9,0.6347826086956522,2023-02-01 00:43:00.296377,2023-02-01 00:43:00.919881,0 days 00:00:00.623504,18,4,30,COMPLETE
10,0.6347826086956522,2023-02-01 00:43:00.920063,2023-02-01 00:43:01.187448,0 days 00:00:00.267385,4,5,17,COMPLETE
11,0.6521739130434783,2023-02-01 00:43:01.187664,2023-02-01 00:43:01.714324,0 days 00:00:00.526660,11,5,98,COMPLETE
12,0.6347826086956523,2023-02-01 00:43:01.714536,2023-02-01 00:43:01.910062,0 days 00:00:00.195526,3,5,87,COMPLETE
13,0.608695652173913,2023-02-01 00:43:01.910277,2023-02-01 00:43:02.571484,0 days 00:00:00.661207,8,3,41,COMPLETE
