number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.7391304347826086,2023-02-01 00:49:20.234322,2023-02-01 00:49:21.229292,0 days 00:00:00.994970,0.02993117133778686,0.5707478748578964,COMPLETE
1,0.7565217391304347,2023-02-01 00:49:21.229581,2023-02-01 00:49:21.465136,0 days 00:00:00.235555,0.01866484562196719,0.9341736778340851,COMPLETE
2,0.7043478260869566,2023-02-01 00:49:21.465319,2023-02-01 00:49:21.900355,0 days 00:00:00.435036,0.010822137988328137,0.7381077147167626,COMPLETE
3,0.7130434782608696,2023-02-01 00:49:21.900560,2023-02-01 00:49:21.942643,0 days 00:00:00.042083,0.23511625050376042,0.19570147748716682,COMPLETE
4,0.7130434782608696,2023-02-01 00:49:21.942816,2023-02-01 00:49:21.982991,0 days 00:00:00.040175,0.40544685117642626,0.45344796441715285,COMPLETE
5,0.7043478260869566,2023-02-01 00:49:21.983172,2023-02-01 00:49:22.236643,0 days 00:00:00.253471,0.426206903473438,0.9843768448706974,COMPLETE
6,0.7043478260869566,2023-02-01 00:49:22.236830,2023-02-01 00:49:22.272813,0 days 00:00:00.035983,0.16805833596246555,0.752357549908671,COMPLETE
7,0.7391304347826086,2023-02-01 00:49:22.273007,2023-02-01 00:49:22.305138,0 days 00:00:00.032131,0.036527681886301205,0.7543836063913258,COMPLETE
8,0.7130434782608696,2023-02-01 00:49:22.305313,2023-02-01 00:49:22.344141,0 days 00:00:00.038828,0.2851715165744254,0.5075087827326452,COMPLETE
9,0.7043478260869566,2023-02-01 00:49:22.344283,2023-02-01 00:49:22.384553,0 days 00:00:00.040270,0.33237511656855967,0.926044098318572,COMPLETE
10,0.7130434782608696,2023-02-01 00:49:22.384734,2023-02-01 00:49:22.425127,0 days 00:00:00.040393,0.8755289565940257,0.010094684076569549,COMPLETE
11,0.7217391304347827,2023-02-01 00:49:22.425309,2023-02-01 00:49:22.461459,0 days 00:00:00.036150,0.03981005362188694,0.5108398040549151,COMPLETE
12,0.7565217391304347,2023-02-01 00:49:22.461680,2023-02-01 00:49:22.493557,0 days 00:00:00.031877,0.017814324278339063,0.89143001920971,COMPLETE
13,0.7652173913043477,2023-02-01 00:49:22.493730,2023-02-01 00:49:22.514994,0 days 00:00:00.021264,0.012377374553166712,0.9511181685993493,COMPLETE
14,0.6956521739130435,2023-02-01 00:49:22.515131,2023-02-01 00:49:22.538230,0 days 00:00:00.023099,0.010290684454571871,0.995455427794056,COMPLETE
15,0.7130434782608696,2023-02-01 00:49:22.538403,2023-02-01 00:49:22.575478,0 days 00:00:00.037075,0.06714463988837256,0.8450350866859475,COMPLETE
16,0.7391304347826086,2023-02-01 00:49:22.575654,2023-02-01 00:49:22.817247,0 days 00:00:00.241593,0.0250846622683529,0.8345058479537978,COMPLETE
17,0.7391304347826086,2023-02-01 00:49:22.817437,2023-02-01 00:49:22.851816,0 days 00:00:00.034379,0.017036130662271252,0.6392099806797957,COMPLETE
18,0.7304347826086957,2023-02-01 00:49:22.851976,2023-02-01 00:49:22.887526,0 days 00:00:00.035550,0.06996655476828985,0.9839646569191625,COMPLETE
19,0.7304347826086957,2023-02-01 00:49:22.887673,2023-02-01 00:49:22.917421,0 days 00:00:00.029748,0.01626621693161411,0.8724795877245227,COMPLETE
20,0.7043478260869566,2023-02-01 00:49:22.917568,2023-02-01 00:49:22.952089,0 days 00:00:00.034521,0.05585356772469152,0.6495397088015047,COMPLETE
21,0.7565217391304347,2023-02-01 00:49:22.952228,2023-02-01 00:49:22.984286,0 days 00:00:00.032058,0.02048285983008991,0.8771040610816224,COMPLETE
22,0.7217391304347827,2023-02-01 00:49:22.984449,2023-02-01 00:49:23.013358,0 days 00:00:00.028909,0.013978521450491322,0.9248275019698454,COMPLETE
23,0.7478260869565216,2023-02-01 00:49:23.013547,2023-02-01 00:49:23.047359,0 days 00:00:00.033812,0.022754909024726894,0.8132094848813798,COMPLETE
24,0.6956521739130435,2023-02-01 00:49:23.047508,2023-02-01 00:49:23.069072,0 days 00:00:00.021564,0.010175957735051982,0.9965889441439583,COMPLETE
25,0.7217391304347825,2023-02-01 00:49:23.069215,2023-02-01 00:49:23.096562,0 days 00:00:00.027347,0.015559336659797874,0.8930212442745733,COMPLETE
26,0.7391304347826086,2023-02-01 00:49:23.096709,2023-02-01 00:49:23.132616,0 days 00:00:00.035907,0.027028905414791082,0.7890987806788663,COMPLETE
27,0.7391304347826086,2023-02-01 00:49:23.132774,2023-02-01 00:49:23.169036,0 days 00:00:00.036262,0.04138238884638017,0.9194092166210864,COMPLETE
28,0.7478260869565216,2023-02-01 00:49:23.169178,2023-02-01 00:49:23.201873,0 days 00:00:00.032695,0.018173829315872445,0.7107932186766548,COMPLETE
29,0.7391304347826086,2023-02-01 00:49:23.202017,2023-02-01 00:49:23.237463,0 days 00:00:00.035446,0.028211390772426456,0.8232960497088857,COMPLETE
30,0.7130434782608696,2023-02-01 00:49:23.237612,2023-02-01 00:49:23.263197,0 days 00:00:00.025585,0.013645068039952907,0.9324380250476527,COMPLETE
31,0.7478260869565216,2023-02-01 00:49:23.263337,2023-02-01 00:49:23.295895,0 days 00:00:00.032558,0.021517354791695073,0.8645627652585212,COMPLETE
32,0.7652173913043478,2023-02-01 00:49:23.296040,2023-02-01 00:49:23.328636,0 days 00:00:00.032596,0.02030385841114419,0.8862957299827059,COMPLETE
33,0.7304347826086957,2023-02-01 00:49:23.328780,2023-02-01 00:49:23.355535,0 days 00:00:00.026755,0.012685772164004839,0.7906661053319949,COMPLETE
34,0.7478260869565216,2023-02-01 00:49:23.355689,2023-02-01 00:49:23.391249,0 days 00:00:00.035560,0.03207061212973146,0.9336930366016521,COMPLETE
35,0.7217391304347825,2023-02-01 00:49:23.391400,2023-02-01 00:49:23.418313,0 days 00:00:00.026913,0.012190000329132061,0.6875348861649646,COMPLETE
36,0.7478260869565216,2023-02-01 00:49:23.418460,2023-02-01 00:49:23.451430,0 days 00:00:00.032970,0.01949960748169284,0.7577494464098354,COMPLETE
37,0.7391304347826086,2023-02-01 00:49:23.451573,2023-02-01 00:49:23.485768,0 days 00:00:00.034195,0.030530937145268024,0.589658367901161,COMPLETE
38,0.7217391304347825,2023-02-01 00:49:23.485932,2023-02-01 00:49:23.511161,0 days 00:00:00.025229,0.010196867183237847,0.7217908371231295,COMPLETE
39,0.7217391304347825,2023-02-01 00:49:23.511305,2023-02-01 00:49:23.537975,0 days 00:00:00.026670,0.013847912651991203,0.7912934630698911,COMPLETE
40,0.7565217391304347,2023-02-01 00:49:23.538120,2023-02-01 00:49:23.571114,0 days 00:00:00.032994,0.023670481315121034,0.9667045772800208,COMPLETE
41,0.7652173913043478,2023-02-01 00:49:23.571257,2023-02-01 00:49:23.603555,0 days 00:00:00.032298,0.019750779315193367,0.8940220569207571,COMPLETE
42,0.7565217391304347,2023-02-01 00:49:23.603717,2023-02-01 00:49:23.634826,0 days 00:00:00.031109,0.017663800540824618,0.8869944957307497,COMPLETE
43,0.7304347826086957,2023-02-01 00:49:23.634985,2023-02-01 00:49:23.662417,0 days 00:00:00.027432,0.015460666889984605,0.949236157329079,COMPLETE
44,0.7565217391304347,2023-02-01 00:49:23.662573,2023-02-01 00:49:23.695022,0 days 00:00:00.032449,0.020724872715269297,0.8610570245909125,COMPLETE
45,0.7478260869565216,2023-02-01 00:49:23.695166,2023-02-01 00:49:23.730979,0 days 00:00:00.035813,0.035218434568154676,0.9996077371941526,COMPLETE
