number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.6869565217391304,2023-02-01 00:47:59.384357,2023-02-01 00:48:00.194853,0 days 00:00:00.810496,10,4,76,COMPLETE
1,0.6608695652173913,2023-02-01 00:48:00.195304,2023-02-01 00:48:00.562517,0 days 00:00:00.367213,5,4,73,COMPLETE
2,0.6782608695652174,2023-02-01 00:48:00.562724,2023-02-01 00:48:01.281969,0 days 00:00:00.719245,17,3,26,COMPLETE
3,0.6434782608695652,2023-02-01 00:48:01.282138,2023-02-01 00:48:01.782686,0 days 00:00:00.500548,16,5,30,COMPLETE
4,0.6434782608695652,2023-02-01 00:48:01.782886,2023-02-01 00:48:02.284960,0 days 00:00:00.502074,17,5,21,COMPLETE
5,0.6260869565217392,2023-02-01 00:48:02.285145,2023-02-01 00:48:02.706280,0 days 00:00:00.421135,7,5,43,COMPLETE
6,0.6782608695652174,2023-02-01 00:48:02.706488,2023-02-01 00:48:03.436838,0 days 00:00:00.730350,12,3,91,COMPLETE
7,0.6434782608695652,2023-02-01 00:48:03.437050,2023-02-01 00:48:03.943176,0 days 00:00:00.506126,15,5,90,COMPLETE
8,0.6956521739130435,2023-02-01 00:48:03.943374,2023-02-01 00:48:04.849001,0 days 00:00:00.905627,19,2,83,COMPLETE
9,0.6782608695652174,2023-02-01 00:48:04.849205,2023-02-01 00:48:05.598069,0 days 00:00:00.748864,16,3,40,COMPLETE
10,0.6956521739130435,2023-02-01 00:48:05.598273,2023-02-01 00:48:06.512254,0 days 00:00:00.913981,20,2,60,COMPLETE
11,0.6956521739130435,2023-02-01 00:48:06.512452,2023-02-01 00:48:07.469751,0 days 00:00:00.957299,20,2,63,COMPLETE
12,0.6956521739130435,2023-02-01 00:48:07.469946,2023-02-01 00:48:08.430350,0 days 00:00:00.960404,20,2,56,COMPLETE
13,0.6956521739130435,2023-02-01 00:48:08.430546,2023-02-01 00:48:09.350959,0 days 00:00:00.920413,20,2,100,COMPLETE
14,0.6956521739130435,2023-02-01 00:48:09.351159,2023-02-01 00:48:10.233584,0 days 00:00:00.882425,13,2,75,COMPLETE
15,0.6869565217391304,2023-02-01 00:48:10.233791,2023-02-01 00:48:10.913157,0 days 00:00:00.679366,9,3,56,COMPLETE
16,0.6434782608695653,2023-02-01 00:48:10.913341,2023-02-01 00:48:11.136442,0 days 00:00:00.223101,3,2,65,COMPLETE
