number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.6956521739130436,2023-02-01 00:53:57.348822,2023-02-01 00:53:57.399228,0 days 00:00:00.050406,0.012135060576925734,0.43966014084087146,COMPLETE
1,0.7130434782608696,2023-02-01 00:53:57.400200,2023-02-01 00:53:57.479795,0 days 00:00:00.079595,0.3531818313633428,0.8366926277045783,COMPLETE
2,0.5826086956521739,2023-02-01 00:53:57.479965,2023-02-01 00:53:57.531703,0 days 00:00:00.051738,0.01127674557851842,0.7116858795638467,COMPLETE
3,0.7130434782608696,2023-02-01 00:53:57.532125,2023-02-01 00:53:57.612585,0 days 00:00:00.080460,0.2926501056447499,0.7271568090909609,COMPLETE
4,0.7304347826086957,2023-02-01 00:53:57.612741,2023-02-01 00:53:57.632968,0 days 00:00:00.020227,0.0217873520943322,0.3790598149092753,COMPLETE
5,0.7217391304347827,2023-02-01 00:53:57.633106,2023-02-01 00:53:57.656942,0 days 00:00:00.023836,0.0742044757382088,0.37311786357295085,COMPLETE
6,0.7130434782608696,2023-02-01 00:53:57.657077,2023-02-01 00:53:57.683297,0 days 00:00:00.026220,0.09173559177702216,0.13373697530553985,COMPLETE
7,0.5826086956521739,2023-02-01 00:53:57.683431,2023-02-01 00:53:57.698693,0 days 00:00:00.015262,0.013134188128971163,0.9345057943374023,COMPLETE
8,0.7130434782608696,2023-02-01 00:53:57.698843,2023-02-01 00:53:57.727765,0 days 00:00:00.028922,0.19436033198284694,0.21306419638292606,COMPLETE
9,0.7304347826086957,2023-02-01 00:53:57.727934,2023-02-01 00:53:57.763548,0 days 00:00:00.035614,0.8899149993609727,0.04977140924913381,COMPLETE
10,0.7304347826086957,2023-02-01 00:53:57.763686,2023-02-01 00:53:57.788880,0 days 00:00:00.025194,0.0355464474496979,0.5595226812128019,COMPLETE
11,0.7304347826086957,2023-02-01 00:53:57.789024,2023-02-01 00:53:57.827242,0 days 00:00:00.038218,0.8671605888728929,0.07662603074288125,COMPLETE
