number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.7777777777777777,2023-01-31 21:03:12.642017,2023-01-31 21:03:14.142127,0 days 00:00:01.500110,8,3,17,COMPLETE
1,0.7555555555555555,2023-01-31 21:03:14.142342,2023-01-31 21:03:15.234427,0 days 00:00:01.092085,10,4,93,COMPLETE
2,0.7555555555555555,2023-01-31 21:03:15.234638,2023-01-31 21:03:16.372254,0 days 00:00:01.137616,6,3,29,COMPLETE
3,0.7555555555555554,2023-01-31 21:03:16.372456,2023-01-31 21:03:17.102034,0 days 00:00:00.729578,3,4,92,COMPLETE
4,0.7333333333333332,2023-01-31 21:03:17.102238,2023-01-31 21:03:18.245932,0 days 00:00:01.143694,15,2,67,COMPLETE
5,0.711111111111111,2023-01-31 21:03:18.246128,2023-01-31 21:03:18.953685,0 days 00:00:00.707557,11,5,90,COMPLETE
6,0.7777777777777777,2023-01-31 21:03:18.953877,2023-01-31 21:03:19.858317,0 days 00:00:00.904440,19,3,25,COMPLETE
7,0.7777777777777777,2023-01-31 21:03:19.858516,2023-01-31 21:03:20.759011,0 days 00:00:00.900495,15,3,46,COMPLETE
8,0.711111111111111,2023-01-31 21:03:20.759219,2023-01-31 21:03:21.472259,0 days 00:00:00.713040,13,5,55,COMPLETE
9,0.7333333333333332,2023-01-31 21:03:21.472465,2023-01-31 21:03:22.665004,0 days 00:00:01.192539,11,2,53,COMPLETE
10,0.7555555555555555,2023-01-31 21:03:22.665207,2023-01-31 21:03:23.894489,0 days 00:00:01.229282,7,2,16,COMPLETE
11,0.7777777777777777,2023-01-31 21:03:23.894697,2023-01-31 21:03:24.947671,0 days 00:00:01.052974,20,3,16,COMPLETE
12,0.7777777777777777,2023-01-31 21:03:24.947889,2023-01-31 21:03:25.881444,0 days 00:00:00.933555,19,3,35,COMPLETE
13,0.7555555555555555,2023-01-31 21:03:25.881664,2023-01-31 21:03:26.769360,0 days 00:00:00.887696,8,4,32,COMPLETE
14,0.7777777777777777,2023-01-31 21:03:26.769562,2023-01-31 21:03:27.846978,0 days 00:00:01.077416,17,3,75,COMPLETE
15,0.7555555555555554,2023-01-31 21:03:27.847175,2023-01-31 21:03:28.705464,0 days 00:00:00.858289,4,4,23,COMPLETE
16,0.7333333333333332,2023-01-31 21:03:28.705670,2023-01-31 21:03:30.012658,0 days 00:00:01.306988,9,2,41,COMPLETE
17,0.7777777777777777,2023-01-31 21:03:30.012906,2023-01-31 21:03:31.125511,0 days 00:00:01.112605,13,3,25,COMPLETE
18,0.7555555555555555,2023-01-31 21:03:31.125727,2023-01-31 21:03:31.884128,0 days 00:00:00.758401,5,4,42,COMPLETE
19,0.7333333333333332,2023-01-31 21:03:31.884345,2023-01-31 21:03:32.983904,0 days 00:00:01.099559,17,2,16,COMPLETE
20,0.7777777777777777,2023-01-31 21:03:32.984125,2023-01-31 21:03:34.098882,0 days 00:00:01.114757,13,3,73,COMPLETE
21,0.7777777777777777,2023-01-31 21:03:34.099178,2023-01-31 21:03:35.023990,0 days 00:00:00.924812,17,3,45,COMPLETE
22,0.7777777777777777,2023-01-31 21:03:35.024181,2023-01-31 21:03:35.953633,0 days 00:00:00.929452,15,3,48,COMPLETE
23,0.7777777777777777,2023-01-31 21:03:35.953862,2023-01-31 21:03:36.851018,0 days 00:00:00.897156,19,3,23,COMPLETE
24,0.7555555555555555,2023-01-31 21:03:36.851221,2023-01-31 21:03:37.648652,0 days 00:00:00.797431,16,4,36,COMPLETE
25,0.7777777777777777,2023-01-31 21:03:37.648891,2023-01-31 21:03:38.607011,0 days 00:00:00.958120,20,3,28,COMPLETE
26,0.7333333333333332,2023-01-31 21:03:38.607217,2023-01-31 21:03:40.134881,0 days 00:00:01.527664,14,2,63,COMPLETE
27,0.7777777777777777,2023-01-31 21:03:40.135101,2023-01-31 21:03:41.081479,0 days 00:00:00.946378,18,3,37,COMPLETE
28,0.7555555555555555,2023-01-31 21:03:41.081673,2023-01-31 21:03:41.907078,0 days 00:00:00.825405,9,4,21,COMPLETE
29,0.711111111111111,2023-01-31 21:03:41.907289,2023-01-31 21:03:42.793594,0 days 00:00:00.886305,10,5,48,COMPLETE
30,0.7333333333333332,2023-01-31 21:03:42.793795,2023-01-31 21:03:43.966307,0 days 00:00:01.172512,12,2,83,COMPLETE
31,0.7777777777777777,2023-01-31 21:03:43.966524,2023-01-31 21:03:44.913816,0 days 00:00:00.947292,20,3,15,COMPLETE
32,0.7777777777777777,2023-01-31 21:03:44.914025,2023-01-31 21:03:45.851218,0 days 00:00:00.937193,19,3,20,COMPLETE
33,0.7777777777777777,2023-01-31 21:03:45.851442,2023-01-31 21:03:46.881358,0 days 00:00:01.029916,18,3,30,COMPLETE
34,0.7777777777777777,2023-01-31 21:03:46.881563,2023-01-31 21:03:47.877242,0 days 00:00:00.995679,15,3,26,COMPLETE
35,0.7777777777777777,2023-01-31 21:03:47.877445,2023-01-31 21:03:48.846544,0 days 00:00:00.969099,20,3,19,COMPLETE
36,0.7555555555555555,2023-01-31 21:03:48.846756,2023-01-31 21:03:49.646227,0 days 00:00:00.799471,7,4,63,COMPLETE
