number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.7333333333333332,2023-02-01 00:42:48.187949,2023-02-01 00:42:48.310487,0 days 00:00:00.122538,0.5523160255282403,0.9075273948867012,COMPLETE
1,0.6444444444444444,2023-02-01 00:42:48.310946,2023-02-01 00:42:48.399359,0 days 00:00:00.088413,0.07864901051267906,0.9255612305813931,COMPLETE
2,0.42222222222222217,2023-02-01 00:42:48.399815,2023-02-01 00:42:48.459851,0 days 00:00:00.060036,0.010317205113196004,0.26592278533520497,COMPLETE
3,0.5555555555555556,2023-02-01 00:42:48.460006,2023-02-01 00:42:48.486078,0 days 00:00:00.026072,0.04594374972739655,0.7893824723006074,COMPLETE
4,0.7333333333333332,2023-02-01 00:42:48.486234,2023-02-01 00:42:48.549428,0 days 00:00:00.063194,0.4937422555803853,0.5057199309090272,COMPLETE
5,0.711111111111111,2023-02-01 00:42:48.549601,2023-02-01 00:42:48.580219,0 days 00:00:00.030618,0.03646635631523857,0.18977585216821136,COMPLETE
6,0.5777777777777777,2023-02-01 00:42:48.580396,2023-02-01 00:42:48.604884,0 days 00:00:00.024488,0.016791547737016497,0.22971464917386986,COMPLETE
7,0.6888888888888888,2023-02-01 00:42:48.605038,2023-02-01 00:42:48.665198,0 days 00:00:00.060160,0.2647118920260212,0.6055084691382948,COMPLETE
8,0.5333333333333333,2023-02-01 00:42:48.665372,2023-02-01 00:42:48.688686,0 days 00:00:00.023314,0.018025123583757425,0.3856148782903849,COMPLETE
9,0.7333333333333332,2023-02-01 00:42:48.688821,2023-02-01 00:42:48.753164,0 days 00:00:00.064343,0.3447698414615732,0.31765889279464854,COMPLETE
10,0.7777777777777777,2023-02-01 00:42:48.753339,2023-02-01 00:42:48.820536,0 days 00:00:00.067197,0.9600670823334155,0.986449620389816,COMPLETE
11,0.7555555555555555,2023-02-01 00:42:48.820713,2023-02-01 00:42:48.887491,0 days 00:00:00.066778,0.9188297846788994,0.9768246034623399,COMPLETE
