number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.8666666666666666,2023-02-01 00:13:33.588741,2023-02-01 00:13:34.862661,0 days 00:00:01.273920,12,2,43,COMPLETE
1,0.888888888888889,2023-02-01 00:13:34.862866,2023-02-01 00:13:35.389099,0 days 00:00:00.526233,3,5,83,COMPLETE
2,0.7777777777777778,2023-02-01 00:13:35.389301,2023-02-01 00:13:36.132648,0 days 00:00:00.743347,10,3,77,COMPLETE
3,0.8222222222222222,2023-02-01 00:13:36.132840,2023-02-01 00:13:36.785387,0 days 00:00:00.652547,9,4,82,COMPLETE
4,0.8666666666666666,2023-02-01 00:13:36.785561,2023-02-01 00:13:37.786533,0 days 00:00:01.000972,10,2,91,COMPLETE
5,0.8666666666666666,2023-02-01 00:13:37.786708,2023-02-01 00:13:38.785690,0 days 00:00:00.998982,9,2,32,COMPLETE
6,0.8222222222222222,2023-02-01 00:13:38.785897,2023-02-01 00:13:39.439741,0 days 00:00:00.653844,15,4,17,COMPLETE
7,0.8222222222222222,2023-02-01 00:13:39.439934,2023-02-01 00:13:40.114754,0 days 00:00:00.674820,7,4,45,COMPLETE
8,0.8222222222222222,2023-02-01 00:13:40.114950,2023-02-01 00:13:40.760715,0 days 00:00:00.645765,18,4,27,COMPLETE
9,0.8,2023-02-01 00:13:40.760869,2023-02-01 00:13:41.342620,0 days 00:00:00.581751,4,4,51,COMPLETE
10,0.888888888888889,2023-02-01 00:13:41.342772,2023-02-01 00:13:41.845387,0 days 00:00:00.502615,3,5,67,COMPLETE
11,0.888888888888889,2023-02-01 00:13:41.845558,2023-02-01 00:13:42.347641,0 days 00:00:00.502083,3,5,65,COMPLETE
12,0.888888888888889,2023-02-01 00:13:42.347817,2023-02-01 00:13:42.944663,0 days 00:00:00.596846,5,5,68,COMPLETE
13,0.8666666666666666,2023-02-01 00:13:42.944835,2023-02-01 00:13:43.553699,0 days 00:00:00.608864,6,5,94,COMPLETE
14,0.888888888888889,2023-02-01 00:13:43.553871,2023-02-01 00:13:44.056027,0 days 00:00:00.502156,3,5,76,COMPLETE
15,0.7777777777777778,2023-02-01 00:13:44.056214,2023-02-01 00:13:44.809899,0 days 00:00:00.753685,13,3,63,COMPLETE
16,0.8666666666666666,2023-02-01 00:13:44.810087,2023-02-01 00:13:45.457966,0 days 00:00:00.647879,7,5,98,COMPLETE
17,0.8666666666666666,2023-02-01 00:13:45.458158,2023-02-01 00:13:46.070775,0 days 00:00:00.612617,20,5,86,COMPLETE
18,0.7777777777777778,2023-02-01 00:13:46.070958,2023-02-01 00:13:46.776073,0 days 00:00:00.705115,5,3,57,COMPLETE
19,0.8666666666666666,2023-02-01 00:13:46.776260,2023-02-01 00:13:47.387953,0 days 00:00:00.611693,15,5,72,COMPLETE
20,0.8222222222222222,2023-02-01 00:13:47.388139,2023-02-01 00:13:48.042493,0 days 00:00:00.654354,8,4,84,COMPLETE
21,0.888888888888889,2023-02-01 00:13:48.042698,2023-02-01 00:13:48.554846,0 days 00:00:00.512148,3,5,61,COMPLETE
22,0.888888888888889,2023-02-01 00:13:48.555056,2023-02-01 00:13:49.061813,0 days 00:00:00.506757,3,5,68,COMPLETE
23,0.888888888888889,2023-02-01 00:13:49.062016,2023-02-01 00:13:49.664099,0 days 00:00:00.602083,5,5,55,COMPLETE
24,0.8666666666666668,2023-02-01 00:13:49.664290,2023-02-01 00:13:50.242769,0 days 00:00:00.578479,4,5,77,COMPLETE
25,0.8222222222222222,2023-02-01 00:13:50.242984,2023-02-01 00:13:50.888827,0 days 00:00:00.645843,6,4,65,COMPLETE
26,0.888888888888889,2023-02-01 00:13:50.889024,2023-02-01 00:13:51.397985,0 days 00:00:00.508961,3,5,50,COMPLETE
27,0.8222222222222222,2023-02-01 00:13:51.398182,2023-02-01 00:13:52.042484,0 days 00:00:00.644302,6,4,90,COMPLETE
28,0.8666666666666668,2023-02-01 00:13:52.042668,2023-02-01 00:13:52.629516,0 days 00:00:00.586848,4,5,73,COMPLETE
29,0.7777777777777778,2023-02-01 00:13:52.629726,2023-02-01 00:13:53.380497,0 days 00:00:00.750771,12,3,38,COMPLETE
30,0.8666666666666666,2023-02-01 00:13:53.380703,2023-02-01 00:13:53.989256,0 days 00:00:00.608553,7,5,99,COMPLETE
31,0.888888888888889,2023-02-01 00:13:53.989441,2023-02-01 00:13:54.595249,0 days 00:00:00.605808,5,5,69,COMPLETE
32,0.8666666666666668,2023-02-01 00:13:54.595464,2023-02-01 00:13:55.171653,0 days 00:00:00.576189,4,5,61,COMPLETE
33,0.888888888888889,2023-02-01 00:13:55.171853,2023-02-01 00:13:55.776715,0 days 00:00:00.604862,5,5,79,COMPLETE
34,0.8222222222222222,2023-02-01 00:13:55.776923,2023-02-01 00:13:56.294786,0 days 00:00:00.517863,3,4,71,COMPLETE
35,0.8666666666666666,2023-02-01 00:13:56.294986,2023-02-01 00:13:57.301683,0 days 00:00:01.006697,9,2,83,COMPLETE
36,0.8666666666666668,2023-02-01 00:13:57.301900,2023-02-01 00:13:57.871939,0 days 00:00:00.570039,4,5,67,COMPLETE
37,0.8222222222222222,2023-02-01 00:13:57.872145,2023-02-01 00:13:58.564189,0 days 00:00:00.692044,8,4,89,COMPLETE
38,0.8666666666666666,2023-02-01 00:13:58.564387,2023-02-01 00:13:59.183044,0 days 00:00:00.618657,10,5,52,COMPLETE
39,0.8222222222222222,2023-02-01 00:13:59.183227,2023-02-01 00:13:59.835111,0 days 00:00:00.651884,6,4,78,COMPLETE
40,0.888888888888889,2023-02-01 00:13:59.835323,2023-02-01 00:14:00.453377,0 days 00:00:00.618054,5,5,42,COMPLETE
41,0.888888888888889,2023-02-01 00:14:00.453592,2023-02-01 00:14:00.969905,0 days 00:00:00.516313,3,5,74,COMPLETE
42,0.888888888888889,2023-02-01 00:14:00.970065,2023-02-01 00:14:01.477448,0 days 00:00:00.507383,3,5,80,COMPLETE
43,0.8666666666666668,2023-02-01 00:14:01.477655,2023-02-01 00:14:02.042163,0 days 00:00:00.564508,4,5,64,COMPLETE
44,0.888888888888889,2023-02-01 00:14:02.042346,2023-02-01 00:14:02.549722,0 days 00:00:00.507376,3,5,75,COMPLETE
45,0.888888888888889,2023-02-01 00:14:02.549917,2023-02-01 00:14:03.149516,0 days 00:00:00.599599,5,5,60,COMPLETE
46,0.8222222222222222,2023-02-01 00:14:03.149719,2023-02-01 00:14:03.802064,0 days 00:00:00.652345,14,4,15,COMPLETE
47,0.8666666666666666,2023-02-01 00:14:03.802281,2023-02-01 00:14:04.416246,0 days 00:00:00.613965,17,5,94,COMPLETE
48,0.8222222222222222,2023-02-01 00:14:04.416466,2023-02-01 00:14:05.080853,0 days 00:00:00.664387,7,4,86,COMPLETE
49,0.8666666666666666,2023-02-01 00:14:05.081086,2023-02-01 00:14:06.094988,0 days 00:00:01.013902,11,2,56,COMPLETE
