number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.9333333333333332,2023-02-01 00:29:06.122608,2023-02-01 00:29:06.885401,0 days 00:00:00.762793,0.045375072183047115,0.3444880144448632,COMPLETE
1,0.9333333333333332,2023-02-01 00:29:06.885675,2023-02-01 00:29:06.937080,0 days 00:00:00.051405,0.04740980661457423,0.36893471699311176,COMPLETE
2,1.0,2023-02-01 00:29:06.937246,2023-02-01 00:29:06.966181,0 days 00:00:00.028935,0.11016973849003106,0.6483617037807211,COMPLETE
3,1.0,2023-02-01 00:29:06.966365,2023-02-01 00:29:07.019471,0 days 00:00:00.053106,0.8409678883325349,0.3119643281780783,COMPLETE
4,0.9333333333333332,2023-02-01 00:29:07.019616,2023-02-01 00:29:07.080245,0 days 00:00:00.060629,0.054498001645624405,0.5640439065648043,COMPLETE
5,0.9555555555555555,2023-02-01 00:29:07.080413,2023-02-01 00:29:07.123148,0 days 00:00:00.042735,0.039241015547539906,0.2681991376992757,COMPLETE
6,0.9111111111111111,2023-02-01 00:29:07.123323,2023-02-01 00:29:07.599792,0 days 00:00:00.476469,0.02831955703146407,0.6438061459676095,COMPLETE
7,1.0,2023-02-01 00:29:07.599972,2023-02-01 00:29:07.639562,0 days 00:00:00.039590,0.04313662475607081,0.37655110041992834,COMPLETE
8,0.7777777777777778,2023-02-01 00:29:07.639733,2023-02-01 00:29:08.103645,0 days 00:00:00.463912,0.020277760478064004,0.9753443777668981,COMPLETE
9,1.0,2023-02-01 00:29:08.103818,2023-02-01 00:29:08.120427,0 days 00:00:00.016609,0.01618874253708103,0.00399494648761578,COMPLETE
10,1.0,2023-02-01 00:29:08.120574,2023-02-01 00:29:08.358921,0 days 00:00:00.238347,0.20525802971472595,0.7719361010135818,COMPLETE
11,1.0,2023-02-01 00:29:08.359098,2023-02-01 00:29:08.626859,0 days 00:00:00.267761,0.9585950780434324,0.7130387353805923,COMPLETE
12,1.0,2023-02-01 00:29:08.627035,2023-02-01 00:29:08.663873,0 days 00:00:00.036838,0.18536310718859958,0.5135739185161701,COMPLETE
13,1.0,2023-02-01 00:29:08.664053,2023-02-01 00:29:08.727750,0 days 00:00:00.063697,0.8874461791847903,0.186452859109905,COMPLETE
14,0.8,2023-02-01 00:29:08.727949,2023-02-01 00:29:08.778152,0 days 00:00:00.050203,0.011302815479861736,0.4810364451635704,COMPLETE
15,1.0,2023-02-01 00:29:08.778309,2023-02-01 00:29:08.824514,0 days 00:00:00.046205,0.44182020413824735,0.8367422054610789,COMPLETE
16,1.0,2023-02-01 00:29:08.824654,2023-02-01 00:29:08.857888,0 days 00:00:00.033234,0.16121794409464485,0.595912633797774,COMPLETE
17,1.0,2023-02-01 00:29:08.858031,2023-02-01 00:29:08.889042,0 days 00:00:00.031011,0.10606103317148825,0.6625213124864073,COMPLETE
18,1.0,2023-02-01 00:29:08.889204,2023-02-01 00:29:08.936285,0 days 00:00:00.047081,0.34731891733413084,0.5379659256351994,COMPLETE
19,1.0,2023-02-01 00:29:08.936444,2023-02-01 00:29:08.970475,0 days 00:00:00.034031,0.07483797050623403,0.4294288180984823,COMPLETE
20,1.0,2023-02-01 00:29:08.970616,2023-02-01 00:29:09.021291,0 days 00:00:00.050675,0.5134487137098428,0.19348575548523114,COMPLETE
21,1.0,2023-02-01 00:29:09.021439,2023-02-01 00:29:09.050687,0 days 00:00:00.029248,0.10116202790991188,0.3845324322786952,COMPLETE
22,0.9555555555555555,2023-02-01 00:29:09.050832,2023-02-01 00:29:09.091739,0 days 00:00:00.040907,0.079129278834625,0.4641158665252154,COMPLETE
23,1.0,2023-02-01 00:29:09.091883,2023-02-01 00:29:09.136637,0 days 00:00:00.044754,0.26968362643989846,0.28578535503568264,COMPLETE
24,1.0,2023-02-01 00:29:09.136813,2023-02-01 00:29:09.169179,0 days 00:00:00.032366,0.1334557088801943,0.4243765106986158,COMPLETE
25,1.0,2023-02-01 00:29:09.169330,2023-02-01 00:29:09.226853,0 days 00:00:00.057523,0.6119031713146839,0.5926874330635138,COMPLETE
26,1.0,2023-02-01 00:29:09.227046,2023-02-01 00:29:09.269657,0 days 00:00:00.042611,0.27891323282450403,0.4998488274409978,COMPLETE
