number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.9333333333333332,2023-02-01 00:27:42.803617,2023-02-01 00:27:43.811529,0 days 00:00:01.007912,15,3,36,COMPLETE
1,0.9333333333333332,2023-02-01 00:27:43.811843,2023-02-01 00:27:44.510118,0 days 00:00:00.698275,5,3,72,COMPLETE
2,0.9333333333333332,2023-02-01 00:27:44.510298,2023-02-01 00:27:45.281602,0 days 00:00:00.771304,17,3,35,COMPLETE
3,0.9333333333333332,2023-02-01 00:27:45.281805,2023-02-01 00:27:46.040898,0 days 00:00:00.759093,11,3,17,COMPLETE
4,0.8666666666666666,2023-02-01 00:27:46.041099,2023-02-01 00:27:46.618208,0 days 00:00:00.577109,9,5,41,COMPLETE
5,0.888888888888889,2023-02-01 00:27:46.618400,2023-02-01 00:27:47.344729,0 days 00:00:00.726329,4,2,95,COMPLETE
6,0.9333333333333332,2023-02-01 00:27:47.344930,2023-02-01 00:27:47.984142,0 days 00:00:00.639212,17,4,68,COMPLETE
7,0.8666666666666666,2023-02-01 00:27:47.984330,2023-02-01 00:27:48.564006,0 days 00:00:00.579676,15,5,77,COMPLETE
8,0.9333333333333332,2023-02-01 00:27:48.564201,2023-02-01 00:27:49.330416,0 days 00:00:00.766215,14,3,51,COMPLETE
9,0.9111111111111111,2023-02-01 00:27:49.330598,2023-02-01 00:27:49.823540,0 days 00:00:00.492942,3,4,61,COMPLETE
10,0.888888888888889,2023-02-01 00:27:49.823701,2023-02-01 00:27:50.823731,0 days 00:00:01.000030,19,2,15,COMPLETE
11,0.9333333333333332,2023-02-01 00:27:50.823915,2023-02-01 00:27:51.589085,0 days 00:00:00.765170,7,3,84,COMPLETE
12,0.888888888888889,2023-02-01 00:27:51.589265,2023-02-01 00:27:52.636700,0 days 00:00:01.047435,12,2,33,COMPLETE
13,0.9333333333333332,2023-02-01 00:27:52.636911,2023-02-01 00:27:53.276658,0 days 00:00:00.639747,6,4,52,COMPLETE
14,0.9333333333333332,2023-02-01 00:27:53.276848,2023-02-01 00:27:54.038805,0 days 00:00:00.761957,10,3,71,COMPLETE
15,0.9333333333333332,2023-02-01 00:27:54.038999,2023-02-01 00:27:54.689911,0 days 00:00:00.650912,13,4,96,COMPLETE
16,0.888888888888889,2023-02-01 00:27:54.690115,2023-02-01 00:27:55.726509,0 days 00:00:01.036394,20,2,26,COMPLETE
17,0.9333333333333332,2023-02-01 00:27:55.726725,2023-02-01 00:27:56.493857,0 days 00:00:00.767132,8,3,49,COMPLETE
18,0.9333333333333332,2023-02-01 00:27:56.494055,2023-02-01 00:27:57.145625,0 days 00:00:00.651570,16,4,84,COMPLETE
19,0.888888888888889,2023-02-01 00:27:57.145835,2023-02-01 00:27:58.009009,0 days 00:00:00.863174,5,2,65,COMPLETE
20,0.9333333333333332,2023-02-01 00:27:58.009215,2023-02-01 00:27:58.776689,0 days 00:00:00.767474,12,3,42,COMPLETE
21,0.9333333333333332,2023-02-01 00:27:58.776907,2023-02-01 00:27:59.540506,0 days 00:00:00.763599,17,3,30,COMPLETE
22,0.9333333333333332,2023-02-01 00:27:59.540713,2023-02-01 00:28:00.317438,0 days 00:00:00.776725,18,3,40,COMPLETE
23,0.9333333333333332,2023-02-01 00:28:00.317642,2023-02-01 00:28:01.088481,0 days 00:00:00.770839,15,3,23,COMPLETE
24,0.9333333333333332,2023-02-01 00:28:01.088674,2023-02-01 00:28:01.730156,0 days 00:00:00.641482,14,4,36,COMPLETE
25,0.9333333333333332,2023-02-01 00:28:01.730362,2023-02-01 00:28:02.501858,0 days 00:00:00.771496,20,3,56,COMPLETE
26,0.888888888888889,2023-02-01 00:28:02.502051,2023-02-01 00:28:03.504098,0 days 00:00:01.002047,18,2,45,COMPLETE
27,0.9333333333333332,2023-02-01 00:28:03.504305,2023-02-01 00:28:04.271290,0 days 00:00:00.766985,16,3,77,COMPLETE
28,0.9333333333333332,2023-02-01 00:28:04.271505,2023-02-01 00:28:04.943078,0 days 00:00:00.671573,13,4,58,COMPLETE
29,0.9333333333333332,2023-02-01 00:28:04.943287,2023-02-01 00:28:05.721338,0 days 00:00:00.778051,10,3,21,COMPLETE
30,0.888888888888889,2023-02-01 00:28:05.721535,2023-02-01 00:28:06.737353,0 days 00:00:01.015818,16,2,28,COMPLETE
31,0.9333333333333332,2023-02-01 00:28:06.737542,2023-02-01 00:28:07.506560,0 days 00:00:00.769018,11,3,15,COMPLETE
32,0.8666666666666666,2023-02-01 00:28:07.506747,2023-02-01 00:28:08.088450,0 days 00:00:00.581703,8,5,38,COMPLETE
33,0.9555555555555555,2023-02-01 00:28:08.088635,2023-02-01 00:28:08.598644,0 days 00:00:00.510009,3,3,20,COMPLETE
34,0.9555555555555555,2023-02-01 00:28:08.598851,2023-02-01 00:28:09.112501,0 days 00:00:00.513650,3,3,34,COMPLETE
35,0.9555555555555555,2023-02-01 00:28:09.112713,2023-02-01 00:28:09.624856,0 days 00:00:00.512143,3,3,20,COMPLETE
36,0.9333333333333332,2023-02-01 00:28:09.625050,2023-02-01 00:28:10.249404,0 days 00:00:00.624354,4,3,20,COMPLETE
37,0.9555555555555555,2023-02-01 00:28:10.249606,2023-02-01 00:28:10.782512,0 days 00:00:00.532906,3,3,33,COMPLETE
38,0.9555555555555555,2023-02-01 00:28:10.782725,2023-02-01 00:28:11.301071,0 days 00:00:00.518346,3,3,32,COMPLETE
39,0.9333333333333332,2023-02-01 00:28:11.301278,2023-02-01 00:28:12.007888,0 days 00:00:00.706610,5,3,24,COMPLETE
40,0.9333333333333332,2023-02-01 00:28:12.008100,2023-02-01 00:28:12.590539,0 days 00:00:00.582439,4,4,19,COMPLETE
41,0.9555555555555555,2023-02-01 00:28:12.590727,2023-02-01 00:28:13.096259,0 days 00:00:00.505532,3,3,32,COMPLETE
42,0.9555555555555555,2023-02-01 00:28:13.096447,2023-02-01 00:28:13.601868,0 days 00:00:00.505421,3,3,27,COMPLETE
43,0.9333333333333332,2023-02-01 00:28:13.602042,2023-02-01 00:28:14.348825,0 days 00:00:00.746783,6,3,35,COMPLETE
44,0.9555555555555555,2023-02-01 00:28:14.349013,2023-02-01 00:28:14.862738,0 days 00:00:00.513725,3,3,45,COMPLETE
45,0.9333333333333332,2023-02-01 00:28:14.862959,2023-02-01 00:28:15.520220,0 days 00:00:00.657261,4,3,30,COMPLETE
46,0.888888888888889,2023-02-01 00:28:15.520421,2023-02-01 00:28:16.359921,0 days 00:00:00.839500,5,2,18,COMPLETE
47,0.9333333333333332,2023-02-01 00:28:16.360128,2023-02-01 00:28:17.109507,0 days 00:00:00.749379,6,3,23,COMPLETE
48,0.9333333333333332,2023-02-01 00:28:17.109715,2023-02-01 00:28:17.716044,0 days 00:00:00.606329,4,4,32,COMPLETE
49,0.9555555555555555,2023-02-01 00:28:17.716216,2023-02-01 00:28:18.232320,0 days 00:00:00.516104,3,3,26,COMPLETE
