number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,1.0,2023-02-01 00:42:43.188555,2023-02-01 00:42:44.605715,0 days 00:00:01.417160,0.49406482037717797,0.004465489920615906,COMPLETE
1,0.33333333333333337,2023-02-01 00:42:44.606343,2023-02-01 00:42:44.627420,0 days 00:00:00.021077,0.0161263823125216,0.8072685765689199,COMPLETE
2,1.0,2023-02-01 00:42:44.627603,2023-02-01 00:42:44.657365,0 days 00:00:00.029762,0.17367955653698697,0.01367429869103054,COMPLETE
3,0.9777777777777779,2023-02-01 00:42:44.657525,2023-02-01 00:42:44.716618,0 days 00:00:00.059093,0.4642426327458806,0.45793110393992065,COMPLETE
4,0.9555555555555555,2023-02-01 00:42:44.716797,2023-02-01 00:42:45.161951,0 days 00:00:00.445154,0.0221930972958566,0.16465038091803086,COMPLETE
5,0.9555555555555555,2023-02-01 00:42:45.162148,2023-02-01 00:42:45.206410,0 days 00:00:00.044262,0.101640776755618,0.9926688211535385,COMPLETE
6,0.9555555555555555,2023-02-01 00:42:45.206580,2023-02-01 00:42:45.239426,0 days 00:00:00.032846,0.034413918533050196,0.2478700705784166,COMPLETE
7,0.9777777777777779,2023-02-01 00:42:45.239577,2023-02-01 00:42:45.299654,0 days 00:00:00.060077,0.4992251306979665,0.49603359608282793,COMPLETE
8,0.8222222222222222,2023-02-01 00:42:45.299831,2023-02-01 00:42:45.327744,0 days 00:00:00.027913,0.01677793232416684,0.2805368571573511,COMPLETE
9,0.9777777777777779,2023-02-01 00:42:45.327891,2023-02-01 00:42:45.374809,0 days 00:00:00.046918,0.1333756860257732,0.3754646712129711,COMPLETE
10,1.0,2023-02-01 00:42:45.374974,2023-02-01 00:42:45.614401,0 days 00:00:00.239427,0.7091288165749562,0.04985317869265164,COMPLETE
11,1.0,2023-02-01 00:42:45.614583,2023-02-01 00:42:45.644822,0 days 00:00:00.030239,0.24048704418233108,0.04744027663800735,COMPLETE
12,1.0,2023-02-01 00:42:45.644962,2023-02-01 00:42:45.680974,0 days 00:00:00.036012,0.2608804842502241,0.07775543891912864,COMPLETE
13,1.0,2023-02-01 00:42:45.681118,2023-02-01 00:42:45.719323,0 days 00:00:00.038205,0.7660777302117335,0.17332701952018986,COMPLETE
14,1.0,2023-02-01 00:42:45.719472,2023-02-01 00:42:45.755328,0 days 00:00:00.035856,0.057582661846997694,0.029581943355838795,COMPLETE
15,0.9777777777777779,2023-02-01 00:42:45.755471,2023-02-01 00:42:45.810340,0 days 00:00:00.054869,0.20145759250919798,0.3277549908835352,COMPLETE
16,1.0,2023-02-01 00:42:45.810503,2023-02-01 00:42:45.835850,0 days 00:00:00.025347,0.39426384548629895,0.010574589008618837,COMPLETE
17,1.0,2023-02-01 00:42:45.835999,2023-02-01 00:42:45.877454,0 days 00:00:00.041455,0.9320026548978279,0.1679016993851214,COMPLETE
18,0.9777777777777779,2023-02-01 00:42:45.877609,2023-02-01 00:42:45.927557,0 days 00:00:00.049948,0.13961070400648076,0.6087701000586904,COMPLETE
19,0.9777777777777779,2023-02-01 00:42:45.927704,2023-02-01 00:42:45.970783,0 days 00:00:00.043079,0.08433709781785817,0.13144745425269594,COMPLETE
20,0.9777777777777779,2023-02-01 00:42:45.970932,2023-02-01 00:42:46.027925,0 days 00:00:00.056993,0.35724611980548454,0.2458854335945731,COMPLETE
21,1.0,2023-02-01 00:42:46.028112,2023-02-01 00:42:46.056247,0 days 00:00:00.028135,0.5970474193514691,0.014158082854638264,COMPLETE
22,1.0,2023-02-01 00:42:46.056411,2023-02-01 00:42:46.096303,0 days 00:00:00.039892,0.9217812438187628,0.10593580532324465,COMPLETE
23,1.0,2023-02-01 00:42:46.096463,2023-02-01 00:42:46.131806,0 days 00:00:00.035343,0.6018257890172408,0.10227384334201556,COMPLETE
24,1.0,2023-02-01 00:42:46.131954,2023-02-01 00:42:46.157005,0 days 00:00:00.025051,0.31276132439378523,0.007405396747240394,COMPLETE
25,1.0,2023-02-01 00:42:46.157144,2023-02-01 00:42:46.201081,0 days 00:00:00.043937,0.6243212338904228,0.23296337287849325,COMPLETE
