number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.45,2023-01-31 16:43:14.728648,2023-01-31 16:43:15.047671,0 days 00:00:00.319023,15,5100,3.3055907761908365,965,COMPLETE
1,0.45,2023-01-31 16:43:15.047894,2023-01-31 16:43:15.136405,0 days 00:00:00.088511,7,9800,3.1245061599904,667,COMPLETE
2,0.45,2023-01-31 16:43:15.136612,2023-01-31 16:43:15.225979,0 days 00:00:00.089367,4,9000,2.9037115731185397,892,COMPLETE
3,0.45,2023-01-31 16:43:15.226202,2023-01-31 16:43:15.319492,0 days 00:00:00.093290,13,2200,13.805393863605252,1275,COMPLETE
4,0.45,2023-01-31 16:43:15.319710,2023-01-31 16:43:15.409465,0 days 00:00:00.089755,7,1400,4.7408749087104605,695,COMPLETE
5,0.45,2023-01-31 16:43:15.409668,2023-01-31 16:43:15.498334,0 days 00:00:00.088666,4,1200,7.2143614597792824,641,COMPLETE
6,0.45,2023-01-31 16:43:15.498541,2023-01-31 16:43:15.582773,0 days 00:00:00.084232,3,8800,12.501473696288564,123,COMPLETE
7,0.45,2023-01-31 16:43:15.582980,2023-01-31 16:43:15.669925,0 days 00:00:00.086945,15,2900,0.567542020476629,73,COMPLETE
8,0.45,2023-01-31 16:43:15.670124,2023-01-31 16:43:15.791985,0 days 00:00:00.121861,-1,2600,5.059694486040475,56,COMPLETE
9,0.45,2023-01-31 16:43:15.792214,2023-01-31 16:43:15.877109,0 days 00:00:00.084895,1,9300,4.162625232920763,671,COMPLETE
10,0.45,2023-01-31 16:43:15.877315,2023-01-31 16:43:15.978815,0 days 00:00:00.101500,11,6000,9.948193463822623,1408,COMPLETE
11,0.45,2023-01-31 16:43:15.979041,2023-01-31 16:43:16.079794,0 days 00:00:00.100753,9,5700,0.9168844134003975,1013,COMPLETE
12,0.45,2023-01-31 16:43:16.079998,2023-01-31 16:43:16.174841,0 days 00:00:00.094843,7,4400,2.688681576825721,429,COMPLETE
13,0.45,2023-01-31 16:43:16.175074,2023-01-31 16:43:16.269688,0 days 00:00:00.094614,10,7400,6.789068785847537,1020,COMPLETE
14,0.45,2023-01-31 16:43:16.269917,2023-01-31 16:43:16.366649,0 days 00:00:00.096732,15,4200,0.05951890602735421,433,COMPLETE
15,0.45,2023-01-31 16:43:16.366835,2023-01-31 16:43:16.464169,0 days 00:00:00.097334,6,7100,2.5563179684192643,1208,COMPLETE
16,0.45,2023-01-31 16:43:16.464393,2023-01-31 16:43:16.579424,0 days 00:00:00.115031,12,7400,5.9945835850286695,423,COMPLETE
17,0.45,2023-01-31 16:43:16.579621,2023-01-31 16:43:16.686338,0 days 00:00:00.106717,9,6200,8.744662796626613,905,COMPLETE
18,0.45,2023-01-31 16:43:16.686559,2023-01-31 16:43:16.822056,0 days 00:00:00.135497,13,3900,3.36541200837144,1154,COMPLETE
19,0.45,2023-01-31 16:43:16.822306,2023-01-31 16:43:16.938192,0 days 00:00:00.115886,6,10000,5.593602940402853,538,COMPLETE
20,0.45,2023-01-31 16:43:16.938411,2023-01-31 16:43:17.035593,0 days 00:00:00.097182,8,8300,1.7705489411636754,246,COMPLETE
21,0.45,2023-01-31 16:43:17.035825,2023-01-31 16:43:17.130924,0 days 00:00:00.095099,3,9900,3.73267038692465,855,COMPLETE
22,0.45,2023-01-31 16:43:17.131122,2023-01-31 16:43:17.224898,0 days 00:00:00.093776,4,8300,2.004000536835415,831,COMPLETE
23,0.45,2023-01-31 16:43:17.225086,2023-01-31 16:43:17.316674,0 days 00:00:00.091588,5,4800,3.666378400349509,1015,COMPLETE
24,0.45,2023-01-31 16:43:17.316917,2023-01-31 16:43:17.454236,0 days 00:00:00.137319,1,6700,1.7485211143084247,749,COMPLETE
25,0.45,2023-01-31 16:43:17.454454,2023-01-31 16:43:17.553353,0 days 00:00:00.098899,2,8200,5.071546295384293,918,COMPLETE
26,0.45,2023-01-31 16:43:17.553566,2023-01-31 16:43:17.648001,0 days 00:00:00.094435,-1,5300,3.132680369396516,586,COMPLETE
27,0.45,2023-01-31 16:43:17.648182,2023-01-31 16:43:17.738638,0 days 00:00:00.090456,5,200,1.3401032905962695,1078,COMPLETE
28,0.45,2023-01-31 16:43:17.738844,2023-01-31 16:43:17.835599,0 days 00:00:00.096755,8,3500,4.220329178389726,1364,COMPLETE
29,0.45,2023-01-31 16:43:17.835784,2023-01-31 16:43:17.932220,0 days 00:00:00.096436,11,9200,2.25725160648558,1289,COMPLETE
30,0.45,2023-01-31 16:43:17.932437,2023-01-31 16:43:18.035700,0 days 00:00:00.103263,14,7900,0.9276881492705908,796,COMPLETE
31,0.45,2023-01-31 16:43:18.035927,2023-01-31 16:43:18.137188,0 days 00:00:00.101261,14,2000,14.160958547265556,1217,COMPLETE
32,0.45,2023-01-31 16:43:18.137413,2023-01-31 16:43:18.240228,0 days 00:00:00.102815,13,1100,4.6529718607214114,1500,COMPLETE
33,0.45,2023-01-31 16:43:18.240446,2023-01-31 16:43:18.345193,0 days 00:00:00.104747,12,300,6.186624738724694,697,COMPLETE
34,0.45,2023-01-31 16:43:18.345414,2023-01-31 16:43:18.442338,0 days 00:00:00.096924,7,9300,7.812541692462509,929,COMPLETE
35,0.45,2023-01-31 16:43:18.442561,2023-01-31 16:43:18.546023,0 days 00:00:00.103462,15,3100,10.457677096005593,1115,COMPLETE
36,0.45,2023-01-31 16:43:18.546253,2023-01-31 16:43:18.649176,0 days 00:00:00.102923,4,8900,2.985517636529422,563,COMPLETE
37,0.45,2023-01-31 16:43:18.649418,2023-01-31 16:43:18.751953,0 days 00:00:00.102535,14,9600,4.612663323462438,764,COMPLETE
38,0.45,2023-01-31 16:43:18.752165,2023-01-31 16:43:18.848584,0 days 00:00:00.096419,9,2600,14.71343730518588,1282,COMPLETE
39,0.45,2023-01-31 16:43:18.848774,2023-01-31 16:43:18.938554,0 days 00:00:00.089780,3,2100,5.39607970577697,287,COMPLETE
40,0.45,2023-01-31 16:43:18.938746,2023-01-31 16:43:19.043323,0 days 00:00:00.104577,11,6600,12.276648720889455,658,COMPLETE
41,0.45,2023-01-31 16:43:19.043564,2023-01-31 16:43:19.149245,0 days 00:00:00.105681,6,1000,3.9186878570377575,965,COMPLETE
42,0.45,2023-01-31 16:43:19.149471,2023-01-31 16:43:19.245702,0 days 00:00:00.096231,5,1900,2.5069721112593215,711,COMPLETE
43,0.45,2023-01-31 16:43:19.245916,2023-01-31 16:43:19.342905,0 days 00:00:00.096989,7,1400,6.596316131909847,613,COMPLETE
44,0.45,2023-01-31 16:43:19.343112,2023-01-31 16:43:19.448688,0 days 00:00:00.105576,8,5400,4.333469447960782,853,COMPLETE
45,0.45,2023-01-31 16:43:19.448906,2023-01-31 16:43:19.548062,0 days 00:00:00.099156,10,4700,2.942937055816984,523,COMPLETE
46,0.45,2023-01-31 16:43:19.548320,2023-01-31 16:43:19.652803,0 days 00:00:00.104483,15,700,4.979996767085147,457,COMPLETE
47,0.45,2023-01-31 16:43:19.653021,2023-01-31 16:43:19.754847,0 days 00:00:00.101826,0,1600,0.13183815448468117,653,COMPLETE
48,0.45,2023-01-31 16:43:19.755056,2023-01-31 16:43:19.880921,0 days 00:00:00.125865,13,2900,5.762612837223488,309,COMPLETE
49,0.45,2023-01-31 16:43:19.881134,2023-01-31 16:43:20.010020,0 days 00:00:00.128886,6,3900,3.4607446314071995,1042,COMPLETE
50,0.45,2023-01-31 16:43:20.010259,2023-01-31 16:43:20.144075,0 days 00:00:00.133816,10,7700,7.575988517631682,971,COMPLETE
