number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.45,2023-01-31 16:40:28.701305,2023-01-31 16:40:28.995414,0 days 00:00:00.294109,5,6500,11.321780808672056,510,COMPLETE
1,0.45,2023-01-31 16:40:28.995646,2023-01-31 16:40:29.102852,0 days 00:00:00.107206,1,8300,10.645658910270182,264,COMPLETE
2,0.45,2023-01-31 16:40:29.103060,2023-01-31 16:40:29.198569,0 days 00:00:00.095509,11,6600,12.89864439056056,753,COMPLETE
3,0.45,2023-01-31 16:40:29.198750,2023-01-31 16:40:29.283572,0 days 00:00:00.084822,5,300,14.926109346316489,51,COMPLETE
4,0.45,2023-01-31 16:40:29.283743,2023-01-31 16:40:29.375659,0 days 00:00:00.091916,14,2900,8.118436316013097,1283,COMPLETE
5,0.45,2023-01-31 16:40:29.375866,2023-01-31 16:40:29.467147,0 days 00:00:00.091281,6,3200,8.613257194995146,878,COMPLETE
6,0.45,2023-01-31 16:40:29.467356,2023-01-31 16:40:29.558304,0 days 00:00:00.090948,6,9400,11.514061509128865,907,COMPLETE
7,0.45,2023-01-31 16:40:29.558510,2023-01-31 16:40:29.673612,0 days 00:00:00.115102,13,5900,14.534711758329287,239,COMPLETE
8,0.45,2023-01-31 16:40:29.673826,2023-01-31 16:40:29.776352,0 days 00:00:00.102526,-1,2500,9.172871107460002,311,COMPLETE
9,0.45,2023-01-31 16:40:29.776571,2023-01-31 16:40:29.866640,0 days 00:00:00.090069,13,1400,12.116228937704063,569,COMPLETE
10,0.45,2023-01-31 16:40:29.866839,2023-01-31 16:40:29.959216,0 days 00:00:00.092377,9,4700,2.6181903519845466,1378,COMPLETE
11,0.45,2023-01-31 16:40:29.959457,2023-01-31 16:40:30.057870,0 days 00:00:00.098413,1,8300,5.719836697663262,462,COMPLETE
12,0.45,2023-01-31 16:40:30.058109,2023-01-31 16:40:30.162373,0 days 00:00:00.104264,3,7600,10.179646173460506,89,COMPLETE
13,0.45,2023-01-31 16:40:30.162588,2023-01-31 16:40:30.258701,0 days 00:00:00.096113,3,9300,10.883045706616613,529,COMPLETE
14,0.45,2023-01-31 16:40:30.258916,2023-01-31 16:40:30.355737,0 days 00:00:00.096821,-1,4800,6.089842966362979,317,COMPLETE
15,0.45,2023-01-31 16:40:30.355956,2023-01-31 16:40:30.455745,0 days 00:00:00.099789,3,7300,13.152614017011846,689,COMPLETE
16,0.45,2023-01-31 16:40:30.455933,2023-01-31 16:40:30.551671,0 days 00:00:00.095738,1,8300,10.31373841281503,1190,COMPLETE
17,0.45,2023-01-31 16:40:30.551883,2023-01-31 16:40:30.645925,0 days 00:00:00.094042,9,10000,6.903206593943015,1079,COMPLETE
18,0.45,2023-01-31 16:40:30.646110,2023-01-31 16:40:30.737454,0 days 00:00:00.091344,8,5900,9.903688031560115,382,COMPLETE
19,0.45,2023-01-31 16:40:30.737646,2023-01-31 16:40:30.834454,0 days 00:00:00.096808,1,4000,11.913084507894416,173,COMPLETE
20,0.45,2023-01-31 16:40:30.834649,2023-01-31 16:40:30.924543,0 days 00:00:00.089894,4,6300,13.376248164728423,608,COMPLETE
