number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
0,0.45,2023-01-31 16:43:03.701524,2023-01-31 16:43:03.989374,0 days 00:00:00.287850,4,8900,8.14440631418903,1491,COMPLETE
1,0.45,2023-01-31 16:43:03.989653,2023-01-31 16:43:04.107288,0 days 00:00:00.117635,1,5600,3.766857231142224,1275,COMPLETE
2,0.45,2023-01-31 16:43:04.107508,2023-01-31 16:43:04.214564,0 days 00:00:00.107056,15,5500,9.579474784712339,697,COMPLETE
3,0.45,2023-01-31 16:43:04.214781,2023-01-31 16:43:04.303008,0 days 00:00:00.088227,0,4700,12.17409421309284,488,COMPLETE
4,0.45,2023-01-31 16:43:04.303226,2023-01-31 16:43:04.386214,0 days 00:00:00.082988,9,6100,1.4607711973433162,296,COMPLETE
5,0.45,2023-01-31 16:43:04.386395,2023-01-31 16:43:04.466833,0 days 00:00:00.080438,4,3400,11.073367138425713,1187,COMPLETE
6,0.45,2023-01-31 16:43:04.467005,2023-01-31 16:43:04.549178,0 days 00:00:00.082173,11,4400,9.082944141895611,1405,COMPLETE
7,0.45,2023-01-31 16:43:04.549378,2023-01-31 16:43:04.633821,0 days 00:00:00.084443,4,2000,3.693595708694481,432,COMPLETE
8,0.45,2023-01-31 16:43:04.634002,2023-01-31 16:43:04.724703,0 days 00:00:00.090701,15,6600,8.330126914192448,1135,COMPLETE
9,0.45,2023-01-31 16:43:04.724869,2023-01-31 16:43:04.814201,0 days 00:00:00.089332,-1,3800,8.855494474033476,1080,COMPLETE
10,0.45,2023-01-31 16:43:04.814425,2023-01-31 16:43:04.911095,0 days 00:00:00.096670,5,9700,6.373924478925476,23,COMPLETE
11,0.45,2023-01-31 16:43:04.911303,2023-01-31 16:43:05.000611,0 days 00:00:00.089308,2,9000,5.399469965233067,1498,COMPLETE
12,0.45,2023-01-31 16:43:05.000839,2023-01-31 16:43:05.100415,0 days 00:00:00.099576,7,7600,0.09867571961388721,908,COMPLETE
13,0.45,2023-01-31 16:43:05.100671,2023-01-31 16:43:05.194502,0 days 00:00:00.093831,1,8100,14.286305492963113,1315,COMPLETE
14,0.45,2023-01-31 16:43:05.194680,2023-01-31 16:43:05.289349,0 days 00:00:00.094669,2,2400,4.8248892277147135,888,COMPLETE
15,0.45,2023-01-31 16:43:05.289584,2023-01-31 16:43:05.390017,0 days 00:00:00.100433,7,7700,6.553712249632695,1322,COMPLETE
16,0.45,2023-01-31 16:43:05.390265,2023-01-31 16:43:05.498336,0 days 00:00:00.108071,5,800,3.6028372638605672,1500,COMPLETE
17,0.45,2023-01-31 16:43:05.498564,2023-01-31 16:43:05.587245,0 days 00:00:00.088681,3,9900,6.747064947139999,970,COMPLETE
18,0.45,2023-01-31 16:43:05.587460,2023-01-31 16:43:05.694926,0 days 00:00:00.107466,-1,6400,7.651724300432263,1256,COMPLETE
19,0.45,2023-01-31 16:43:05.695157,2023-01-31 16:43:05.795373,0 days 00:00:00.100216,7,8500,2.7879877922542438,660,COMPLETE
