number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.7166666666666667,2023-01-31 21:01:44.601225,2023-01-31 21:01:46.149733,0 days 00:00:01.548508,15,3,62,COMPLETE
1,0.75,2023-01-31 21:01:46.149974,2023-01-31 21:01:47.192308,0 days 00:00:01.042334,14,4,82,COMPLETE
2,0.75,2023-01-31 21:01:47.192508,2023-01-31 21:01:48.255444,0 days 00:00:01.062936,19,4,43,COMPLETE
3,0.7166666666666667,2023-01-31 21:01:48.255652,2023-01-31 21:01:49.612488,0 days 00:00:01.356836,9,3,38,COMPLETE
4,0.75,2023-01-31 21:01:49.612711,2023-01-31 21:01:50.576267,0 days 00:00:00.963556,7,5,30,COMPLETE
5,0.75,2023-01-31 21:01:50.576477,2023-01-31 21:01:51.789515,0 days 00:00:01.213038,10,4,51,COMPLETE
6,0.75,2023-01-31 21:01:51.789711,2023-01-31 21:01:52.773306,0 days 00:00:00.983595,13,5,66,COMPLETE
7,0.7666666666666667,2023-01-31 21:01:52.773509,2023-01-31 21:01:54.376598,0 days 00:00:01.603089,11,2,84,COMPLETE
8,0.7500000000000001,2023-01-31 21:01:54.376798,2023-01-31 21:01:55.121808,0 days 00:00:00.745010,3,3,35,COMPLETE
9,0.75,2023-01-31 21:01:55.122009,2023-01-31 21:01:56.161806,0 days 00:00:01.039797,11,4,25,COMPLETE
10,0.7666666666666667,2023-01-31 21:01:56.162008,2023-01-31 21:01:57.751741,0 days 00:00:01.589733,18,2,99,COMPLETE
11,0.7666666666666667,2023-01-31 21:01:57.751942,2023-01-31 21:01:59.359112,0 days 00:00:01.607170,20,2,98,COMPLETE
12,0.7666666666666667,2023-01-31 21:01:59.359303,2023-01-31 21:02:01.299462,0 days 00:00:01.940159,17,2,100,COMPLETE
13,0.7666666666666667,2023-01-31 21:02:01.299663,2023-01-31 21:02:03.161285,0 days 00:00:01.861622,7,2,84,COMPLETE
14,0.7666666666666667,2023-01-31 21:02:03.161494,2023-01-31 21:02:04.969411,0 days 00:00:01.807917,16,2,83,COMPLETE
15,0.7666666666666667,2023-01-31 21:02:04.969627,2023-01-31 21:02:06.719987,0 days 00:00:01.750360,18,2,73,COMPLETE
16,0.7166666666666667,2023-01-31 21:02:06.720192,2023-01-31 21:02:08.057559,0 days 00:00:01.337367,13,3,93,COMPLETE
17,0.7666666666666667,2023-01-31 21:02:08.057759,2023-01-31 21:02:09.878577,0 days 00:00:01.820818,8,2,74,COMPLETE
18,0.7166666666666667,2023-01-31 21:02:09.878776,2023-01-31 21:02:11.337041,0 days 00:00:01.458265,12,3,89,COMPLETE
19,0.7666666666666667,2023-01-31 21:02:11.337273,2023-01-31 21:02:12.443052,0 days 00:00:01.105779,4,2,53,COMPLETE
20,0.7166666666666667,2023-01-31 21:02:12.443268,2023-01-31 21:02:13.924272,0 days 00:00:01.481004,16,3,17,COMPLETE
21,0.7666666666666667,2023-01-31 21:02:13.924523,2023-01-31 21:02:16.000254,0 days 00:00:02.075731,20,2,98,COMPLETE
22,0.7666666666666667,2023-01-31 21:02:16.000474,2023-01-31 21:02:18.178418,0 days 00:00:02.177944,20,2,92,COMPLETE
23,0.7666666666666667,2023-01-31 21:02:18.178640,2023-01-31 21:02:19.914081,0 days 00:00:01.735441,19,2,100,COMPLETE
24,0.7666666666666667,2023-01-31 21:02:19.914280,2023-01-31 21:02:21.855380,0 days 00:00:01.941100,18,2,76,COMPLETE
25,0.7166666666666667,2023-01-31 21:02:21.855609,2023-01-31 21:02:23.323657,0 days 00:00:01.468048,15,3,89,COMPLETE
26,0.7666666666666667,2023-01-31 21:02:23.323867,2023-01-31 21:02:24.986566,0 days 00:00:01.662699,11,2,93,COMPLETE
27,0.7166666666666667,2023-01-31 21:02:24.986772,2023-01-31 21:02:26.323901,0 days 00:00:01.337129,17,3,80,COMPLETE
28,0.7666666666666667,2023-01-31 21:02:26.324105,2023-01-31 21:02:27.986243,0 days 00:00:01.662138,20,2,67,COMPLETE
29,0.7666666666666667,2023-01-31 21:02:27.986463,2023-01-31 21:02:29.830738,0 days 00:00:01.844275,14,2,88,COMPLETE
30,0.7166666666666667,2023-01-31 21:02:29.830948,2023-01-31 21:02:31.158425,0 days 00:00:01.327477,15,3,60,COMPLETE
31,0.7666666666666667,2023-01-31 21:02:31.158637,2023-01-31 21:02:32.856341,0 days 00:00:01.697704,18,2,98,COMPLETE
32,0.7666666666666667,2023-01-31 21:02:32.856540,2023-01-31 21:02:34.763128,0 days 00:00:01.906588,17,2,99,COMPLETE
33,0.7666666666666667,2023-01-31 21:02:34.763332,2023-01-31 21:02:36.584461,0 days 00:00:01.821129,19,2,95,COMPLETE
34,0.7166666666666667,2023-01-31 21:02:36.584672,2023-01-31 21:02:37.903565,0 days 00:00:01.318893,17,3,85,COMPLETE
35,0.7666666666666667,2023-01-31 21:02:37.903781,2023-01-31 21:02:39.556930,0 days 00:00:01.653149,14,2,79,COMPLETE
36,0.75,2023-01-31 21:02:39.557136,2023-01-31 21:02:40.584380,0 days 00:00:01.027244,9,5,100,COMPLETE
