number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.8333333333333334,2023-01-31 21:26:34.528662,2023-01-31 21:26:36.382977,0 days 00:00:01.854315,13,2,95,COMPLETE
1,0.85,2023-01-31 21:26:36.383207,2023-01-31 21:26:37.791633,0 days 00:00:01.408426,12,4,36,COMPLETE
2,0.8333333333333334,2023-01-31 21:26:37.791825,2023-01-31 21:26:39.238905,0 days 00:00:01.447080,19,3,48,COMPLETE
3,0.8333333333333334,2023-01-31 21:26:39.239131,2023-01-31 21:26:40.451625,0 days 00:00:01.212494,12,3,18,COMPLETE
4,0.8666666666666666,2023-01-31 21:26:40.451833,2023-01-31 21:26:41.371736,0 days 00:00:00.919903,13,5,32,COMPLETE
5,0.8666666666666666,2023-01-31 21:26:41.371936,2023-01-31 21:26:42.426237,0 days 00:00:01.054301,9,5,94,COMPLETE
6,0.8333333333333334,2023-01-31 21:26:42.426456,2023-01-31 21:26:44.555513,0 days 00:00:02.129057,20,2,92,COMPLETE
7,0.8166666666666668,2023-01-31 21:26:44.555704,2023-01-31 21:26:45.688016,0 days 00:00:01.132312,3,5,45,COMPLETE
8,0.8333333333333334,2023-01-31 21:26:45.688231,2023-01-31 21:26:47.300636,0 days 00:00:01.612405,15,3,33,COMPLETE
9,0.85,2023-01-31 21:26:47.300857,2023-01-31 21:26:48.543843,0 days 00:00:01.242986,10,4,40,COMPLETE
10,0.8666666666666666,2023-01-31 21:26:48.544060,2023-01-31 21:26:49.719032,0 days 00:00:01.174972,6,5,71,COMPLETE
11,0.8666666666666666,2023-01-31 21:26:49.719246,2023-01-31 21:26:50.698687,0 days 00:00:00.979441,8,5,69,COMPLETE
12,0.85,2023-01-31 21:26:50.699739,2023-01-31 21:26:51.906543,0 days 00:00:01.206804,15,4,76,COMPLETE
13,0.8666666666666666,2023-01-31 21:26:51.906738,2023-01-31 21:26:53.046141,0 days 00:00:01.139403,7,5,16,COMPLETE
14,0.8666666666666666,2023-01-31 21:26:53.046339,2023-01-31 21:26:54.080935,0 days 00:00:01.034596,9,5,62,COMPLETE
15,0.85,2023-01-31 21:26:54.081151,2023-01-31 21:26:55.111702,0 days 00:00:01.030551,17,4,84,COMPLETE
16,0.8666666666666666,2023-01-31 21:26:55.111923,2023-01-31 21:26:56.170920,0 days 00:00:01.058997,5,5,54,COMPLETE
17,0.85,2023-01-31 21:26:56.171134,2023-01-31 21:26:57.142077,0 days 00:00:00.970943,10,4,26,COMPLETE
18,0.8666666666666666,2023-01-31 21:26:57.142294,2023-01-31 21:26:58.033299,0 days 00:00:00.891005,15,5,99,COMPLETE
