number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.5,2023-02-01 00:13:27.851189,2023-02-01 00:13:27.937318,0 days 00:00:00.086129,0.010903013677433947,0.7346881850191747,COMPLETE
1,0.7666666666666667,2023-02-01 00:13:27.937753,2023-02-01 00:13:28.023228,0 days 00:00:00.085475,0.016089237768065413,0.2556135345667069,COMPLETE
2,0.7833333333333333,2023-02-01 00:13:28.023675,2023-02-01 00:13:28.113250,0 days 00:00:00.089575,0.018289244369202057,0.4239336551483557,COMPLETE
3,0.7666666666666667,2023-02-01 00:13:28.113736,2023-02-01 00:13:28.196109,0 days 00:00:00.082373,0.6210299585126263,0.49330607212309663,COMPLETE
4,0.7666666666666667,2023-02-01 00:13:28.196276,2023-02-01 00:13:28.281352,0 days 00:00:00.085076,0.6318067507316961,0.9466580845824214,COMPLETE
5,0.7666666666666667,2023-02-01 00:13:28.281518,2023-02-01 00:13:28.319885,0 days 00:00:00.038367,0.08035596632199174,0.932575688172063,COMPLETE
6,0.8166666666666668,2023-02-01 00:13:28.320053,2023-02-01 00:13:28.375628,0 days 00:00:00.055575,0.13077485336345943,0.404265873766545,COMPLETE
7,0.8,2023-02-01 00:13:28.375786,2023-02-01 00:13:28.424377,0 days 00:00:00.048591,0.0981517697797959,0.15934175201252565,COMPLETE
8,0.8166666666666668,2023-02-01 00:13:28.424515,2023-02-01 00:13:28.467204,0 days 00:00:00.042689,0.07992694368213382,0.49922962763147327,COMPLETE
9,0.7666666666666666,2023-02-01 00:13:28.467335,2023-02-01 00:13:28.551019,0 days 00:00:00.083684,0.833143030301603,0.8009764918993344,COMPLETE
10,0.7666666666666667,2023-02-01 00:13:28.551157,2023-02-01 00:13:28.612949,0 days 00:00:00.061792,0.2569812082434791,0.09110586211850324,COMPLETE
11,0.8166666666666668,2023-02-01 00:13:28.613117,2023-02-01 00:13:28.656134,0 days 00:00:00.043017,0.059707665727330654,0.3636763766998721,COMPLETE
12,0.8166666666666668,2023-02-01 00:13:28.656266,2023-02-01 00:13:28.722258,0 days 00:00:00.065992,0.1909697846040529,0.6027240933161041,COMPLETE
13,0.7833333333333333,2023-02-01 00:13:28.722397,2023-02-01 00:13:28.761333,0 days 00:00:00.038936,0.05518920612412428,0.56143076609115,COMPLETE
14,0.7833333333333333,2023-02-01 00:13:28.761471,2023-02-01 00:13:28.798206,0 days 00:00:00.036735,0.03706995764799064,0.3251142684284592,COMPLETE
15,0.7666666666666667,2023-02-01 00:13:28.798342,2023-02-01 00:13:28.852283,0 days 00:00:00.053941,0.16537495958395726,0.01315309010082144,COMPLETE
16,0.8166666666666668,2023-02-01 00:13:28.852438,2023-02-01 00:13:28.912022,0 days 00:00:00.059584,0.14040746623712683,0.45654053264010996,COMPLETE
17,0.8,2023-02-01 00:13:28.912158,2023-02-01 00:13:28.987162,0 days 00:00:00.075004,0.2795186190401688,0.6153413357462124,COMPLETE
18,0.8166666666666668,2023-02-01 00:13:28.987303,2023-02-01 00:13:29.028218,0 days 00:00:00.040915,0.042447437932961025,0.2600657195185207,COMPLETE
19,0.8166666666666667,2023-02-01 00:13:29.028395,2023-02-01 00:13:29.083833,0 days 00:00:00.055438,0.1101742543710706,0.40761023390848,COMPLETE
20,0.7666666666666667,2023-02-01 00:13:29.083985,2023-02-01 00:13:29.158850,0 days 00:00:00.074865,0.33296596245380394,0.5232792370240693,COMPLETE
21,0.8,2023-02-01 00:13:29.159007,2023-02-01 00:13:29.208270,0 days 00:00:00.049263,0.07485306508959184,0.34012102029517455,COMPLETE
