number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.85,2023-02-01 00:10:53.511087,2023-02-01 00:10:54.749294,0 days 00:00:01.238207,0.028477513390269042,0.028691359250407333,COMPLETE
1,0.7833333333333333,2023-02-01 00:10:54.749650,2023-02-01 00:10:54.840541,0 days 00:00:00.090891,0.6881482434420968,0.10168272569308912,COMPLETE
2,0.7666666666666667,2023-02-01 00:10:54.840732,2023-02-01 00:10:55.158773,0 days 00:00:00.318041,0.36421173222997827,0.42391464823469216,COMPLETE
3,0.6833333333333332,2023-02-01 00:10:55.159058,2023-02-01 00:10:55.636335,0 days 00:00:00.477277,0.011527795924941122,0.5736872165975323,COMPLETE
4,0.7833333333333334,2023-02-01 00:10:55.636527,2023-02-01 00:10:55.690390,0 days 00:00:00.053863,0.04903409622667318,0.5563056808012942,COMPLETE
5,0.8,2023-02-01 00:10:55.690565,2023-02-01 00:10:55.787180,0 days 00:00:00.096615,0.4929005159232893,0.10658045769317359,COMPLETE
6,0.7666666666666667,2023-02-01 00:10:55.787357,2023-02-01 00:10:56.108379,0 days 00:00:00.321022,0.4618854061445723,0.8174422007026371,COMPLETE
7,0.7833333333333334,2023-02-01 00:10:56.108647,2023-02-01 00:10:56.185611,0 days 00:00:00.076964,0.16476672401457085,0.4518125656567692,COMPLETE
8,0.7666666666666667,2023-02-01 00:10:56.185804,2023-02-01 00:10:56.279142,0 days 00:00:00.093338,0.5681750794195901,0.9998004581378984,COMPLETE
9,0.7666666666666667,2023-02-01 00:10:56.279308,2023-02-01 00:10:56.375485,0 days 00:00:00.096177,0.4940427974624775,0.7151258495765762,COMPLETE
10,0.8166666666666667,2023-02-01 00:10:56.375666,2023-02-01 00:10:56.434350,0 days 00:00:00.058684,0.03602710032892047,0.025637200561269786,COMPLETE
11,0.85,2023-02-01 00:10:56.434577,2023-02-01 00:10:56.492678,0 days 00:00:00.058101,0.03222126088776849,0.00210169353711041,COMPLETE
12,0.8,2023-02-01 00:10:56.492879,2023-02-01 00:10:56.543144,0 days 00:00:00.050265,0.02813640821275667,0.23196697431728233,COMPLETE
13,0.8,2023-02-01 00:10:56.543341,2023-02-01 00:10:56.604917,0 days 00:00:00.061576,0.06651414112154248,0.24238483122713092,COMPLETE
14,0.85,2023-02-01 00:10:56.605103,2023-02-01 00:10:56.653446,0 days 00:00:00.048343,0.02040067509279881,0.02116374098225916,COMPLETE
15,0.8,2023-02-01 00:10:56.653619,2023-02-01 00:10:56.715960,0 days 00:00:00.062341,0.0733118952429412,0.24127977635168596,COMPLETE
16,0.8,2023-02-01 00:10:56.716132,2023-02-01 00:10:56.760703,0 days 00:00:00.044571,0.019656048213967887,0.3245162186626244,COMPLETE
17,0.8333333333333333,2023-02-01 00:10:56.760912,2023-02-01 00:10:56.800106,0 days 00:00:00.039194,0.011083392566167334,0.1214169080570509,COMPLETE
18,0.8,2023-02-01 00:10:56.800265,2023-02-01 00:10:56.891196,0 days 00:00:00.090931,0.10966216696588468,0.0135042604311418,COMPLETE
19,0.85,2023-02-01 00:10:56.891370,2023-02-01 00:10:56.941972,0 days 00:00:00.050602,0.03710842016775135,0.16640655159012271,COMPLETE
20,0.7833333333333334,2023-02-01 00:10:56.942122,2023-02-01 00:10:57.193322,0 days 00:00:00.251200,0.019448989806041036,0.34254419967612,COMPLETE
21,0.85,2023-02-01 00:10:57.193550,2023-02-01 00:10:57.243549,0 days 00:00:00.049999,0.021410799556133047,0.005792166077083315,COMPLETE
22,0.85,2023-02-01 00:10:57.243723,2023-02-01 00:10:57.288952,0 days 00:00:00.045229,0.016287872214072647,0.0009082201499561737,COMPLETE
23,0.8333333333333333,2023-02-01 00:10:57.289110,2023-02-01 00:10:57.335186,0 days 00:00:00.046076,0.028174768652259107,0.17058631730347812,COMPLETE
24,0.8166666666666667,2023-02-01 00:10:57.335330,2023-02-01 00:10:57.388518,0 days 00:00:00.053188,0.04321266841948641,0.0839796726330514,COMPLETE
25,0.85,2023-02-01 00:10:57.388663,2023-02-01 00:10:57.430010,0 days 00:00:00.041347,0.014236231204359736,0.06281987557404214,COMPLETE
26,0.8166666666666667,2023-02-01 00:10:57.430156,2023-02-01 00:10:57.475363,0 days 00:00:00.045207,0.027128200058941343,0.19396286980204588,COMPLETE
27,0.8166666666666668,2023-02-01 00:10:57.475510,2023-02-01 00:10:57.513188,0 days 00:00:00.037678,0.010057496366617283,0.13007268971480854,COMPLETE
28,0.85,2023-02-01 00:10:57.513362,2023-02-01 00:10:57.556336,0 days 00:00:00.042974,0.015143364288616712,0.06398192846206244,COMPLETE
29,0.85,2023-02-01 00:10:57.556485,2023-02-01 00:10:57.603698,0 days 00:00:00.047213,0.025937729988530858,0.10051767577084215,COMPLETE
30,0.8333333333333333,2023-02-01 00:10:57.603855,2023-02-01 00:10:57.659798,0 days 00:00:00.055943,0.05179026577184693,0.16269649582220352,COMPLETE
31,0.8333333333333334,2023-02-01 00:10:57.659953,2023-02-01 00:10:57.710399,0 days 00:00:00.050446,0.03572716665724356,0.07205640791832803,COMPLETE
32,0.85,2023-02-01 00:10:57.710545,2023-02-01 00:10:57.761548,0 days 00:00:00.051003,0.036564228531024756,0.15802734119871756,COMPLETE
33,0.85,2023-02-01 00:10:57.761693,2023-02-01 00:10:57.810030,0 days 00:00:00.048337,0.021031347856375327,0.002681439773332711,COMPLETE
34,0.85,2023-02-01 00:10:57.810178,2023-02-01 00:10:57.852495,0 days 00:00:00.042317,0.01495408625082726,0.06935470178268863,COMPLETE
35,0.8166666666666668,2023-02-01 00:10:57.852636,2023-02-01 00:10:57.909041,0 days 00:00:00.056405,0.05477032141624474,0.13726682544301283,COMPLETE
36,0.85,2023-02-01 00:10:57.909193,2023-02-01 00:10:57.959732,0 days 00:00:00.050539,0.038854080650531204,0.19111878376813904,COMPLETE
37,0.8333333333333334,2023-02-01 00:10:57.959877,2023-02-01 00:10:58.010811,0 days 00:00:00.050934,0.031322250866562706,0.049597821018382796,COMPLETE
38,0.8333333333333334,2023-02-01 00:10:58.010982,2023-02-01 00:10:58.070043,0 days 00:00:00.059061,0.04711029038833222,0.1106851077743234,COMPLETE
39,0.7833333333333333,2023-02-01 00:10:58.070232,2023-02-01 00:10:58.164589,0 days 00:00:00.094357,0.9387836412476777,0.27914118573345614,COMPLETE
40,0.8,2023-02-01 00:10:58.164782,2023-02-01 00:10:58.210929,0 days 00:00:00.046147,0.02281240967597094,0.39420039430225823,COMPLETE
41,0.85,2023-02-01 00:10:58.211111,2023-02-01 00:10:58.261435,0 days 00:00:00.050324,0.022380704422941922,0.04552685686583245,COMPLETE
42,0.85,2023-02-01 00:10:58.261623,2023-02-01 00:10:58.321450,0 days 00:00:00.059827,0.03295630910832274,0.010336471078196349,COMPLETE
43,0.8333333333333334,2023-02-01 00:10:58.321624,2023-02-01 00:10:58.364872,0 days 00:00:00.043248,0.01320649523099423,0.1098199275908903,COMPLETE
44,0.85,2023-02-01 00:10:58.365052,2023-02-01 00:10:58.414750,0 days 00:00:00.049698,0.016973495656084463,0.003011562899682959,COMPLETE
45,0.85,2023-02-01 00:10:58.414933,2023-02-01 00:10:58.465662,0 days 00:00:00.050729,0.024875213554622674,0.07129487631397777,COMPLETE
46,0.7833333333333333,2023-02-01 00:10:58.465844,2023-02-01 00:10:58.512254,0 days 00:00:00.046410,0.018627590840678387,0.21261917467536973,COMPLETE
47,0.85,2023-02-01 00:10:58.512473,2023-02-01 00:10:58.561643,0 days 00:00:00.049170,0.030166045528640318,0.1455181678990596,COMPLETE
