number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_num_leaves,state
0,0.8333333333333334,2023-02-01 00:09:00.990773,2023-02-01 00:09:02.422631,0 days 00:00:01.431858,9,3,40,COMPLETE
1,0.85,2023-02-01 00:09:02.423867,2023-02-01 00:09:03.334662,0 days 00:00:00.910795,12,5,60,COMPLETE
2,0.85,2023-02-01 00:09:03.334862,2023-02-01 00:09:04.201996,0 days 00:00:00.867134,16,5,15,COMPLETE
3,0.85,2023-02-01 00:09:04.202198,2023-02-01 00:09:05.078650,0 days 00:00:00.876452,11,5,56,COMPLETE
4,0.85,2023-02-01 00:09:05.078845,2023-02-01 00:09:05.945655,0 days 00:00:00.866810,11,5,37,COMPLETE
5,0.8333333333333334,2023-02-01 00:09:05.945857,2023-02-01 00:09:07.482866,0 days 00:00:01.537009,16,2,44,COMPLETE
6,0.85,2023-02-01 00:09:07.483067,2023-02-01 00:09:08.365898,0 days 00:00:00.882831,6,5,99,COMPLETE
7,0.8333333333333334,2023-02-01 00:09:08.366095,2023-02-01 00:09:10.030332,0 days 00:00:01.664237,15,2,59,COMPLETE
8,0.85,2023-02-01 00:09:10.030544,2023-02-01 00:09:10.998276,0 days 00:00:00.967732,9,4,46,COMPLETE
9,0.8333333333333334,2023-02-01 00:09:10.998471,2023-02-01 00:09:12.157639,0 days 00:00:01.159168,10,3,24,COMPLETE
10,0.8166666666666668,2023-02-01 00:09:12.157948,2023-02-01 00:09:12.832098,0 days 00:00:00.674150,3,4,81,COMPLETE
11,0.85,2023-02-01 00:09:12.832303,2023-02-01 00:09:13.917161,0 days 00:00:01.084858,19,4,70,COMPLETE
12,0.85,2023-02-01 00:09:13.917361,2023-02-01 00:09:14.888945,0 days 00:00:00.971584,15,5,19,COMPLETE
13,0.85,2023-02-01 00:09:14.889137,2023-02-01 00:09:15.883759,0 days 00:00:00.994622,19,5,78,COMPLETE
14,0.85,2023-02-01 00:09:15.883966,2023-02-01 00:09:16.964607,0 days 00:00:01.080641,14,4,30,COMPLETE
15,0.85,2023-02-01 00:09:16.964809,2023-02-01 00:09:18.002025,0 days 00:00:01.037216,13,5,61,COMPLETE
16,0.8333333333333334,2023-02-01 00:09:18.002230,2023-02-01 00:09:19.252820,0 days 00:00:01.250590,17,3,15,COMPLETE
17,0.85,2023-02-01 00:09:19.253028,2023-02-01 00:09:20.274945,0 days 00:00:01.021917,7,4,96,COMPLETE
18,0.85,2023-02-01 00:09:20.275147,2023-02-01 00:09:21.180434,0 days 00:00:00.905287,13,5,50,COMPLETE
19,0.85,2023-02-01 00:09:21.180626,2023-02-01 00:09:22.187939,0 days 00:00:01.007313,17,4,70,COMPLETE
20,0.85,2023-02-01 00:09:22.188153,2023-02-01 00:09:23.092227,0 days 00:00:00.904074,20,5,30,COMPLETE
21,0.85,2023-02-01 00:09:23.092420,2023-02-01 00:09:23.990898,0 days 00:00:00.898478,12,5,53,COMPLETE
22,0.85,2023-02-01 00:09:23.991091,2023-02-01 00:09:24.912056,0 days 00:00:00.920965,7,5,66,COMPLETE
23,0.85,2023-02-01 00:09:24.912248,2023-02-01 00:09:25.864449,0 days 00:00:00.952201,11,5,88,COMPLETE
24,0.85,2023-02-01 00:09:25.864638,2023-02-01 00:09:26.924273,0 days 00:00:01.059635,13,4,56,COMPLETE
25,0.85,2023-02-01 00:09:26.924467,2023-02-01 00:09:27.851669,0 days 00:00:00.927202,9,5,33,COMPLETE
26,0.85,2023-02-01 00:09:27.851889,2023-02-01 00:09:28.972726,0 days 00:00:01.120837,17,4,75,COMPLETE
27,0.85,2023-02-01 00:09:28.972918,2023-02-01 00:09:29.900991,0 days 00:00:00.928073,12,5,89,COMPLETE
28,0.8333333333333334,2023-02-01 00:09:29.901181,2023-02-01 00:09:30.877375,0 days 00:00:00.976194,5,3,64,COMPLETE
29,0.85,2023-02-01 00:09:30.877584,2023-02-01 00:09:31.758161,0 days 00:00:00.880577,10,5,40,COMPLETE
30,0.85,2023-02-01 00:09:31.758368,2023-02-01 00:09:32.864901,0 days 00:00:01.106533,15,4,49,COMPLETE
31,0.85,2023-02-01 00:09:32.865106,2023-02-01 00:09:33.740697,0 days 00:00:00.875591,11,5,37,COMPLETE
32,0.85,2023-02-01 00:09:33.740903,2023-02-01 00:09:34.650517,0 days 00:00:00.909614,8,5,41,COMPLETE
33,0.8333333333333334,2023-02-01 00:09:34.650722,2023-02-01 00:09:36.193810,0 days 00:00:01.543088,10,2,25,COMPLETE
34,0.85,2023-02-01 00:09:36.194007,2023-02-01 00:09:37.122791,0 days 00:00:00.928784,14,5,57,COMPLETE
35,0.85,2023-02-01 00:09:37.123007,2023-02-01 00:09:38.026992,0 days 00:00:00.903985,11,5,23,COMPLETE
36,0.85,2023-02-01 00:09:38.027207,2023-02-01 00:09:38.932146,0 days 00:00:00.904939,14,5,45,COMPLETE
37,0.85,2023-02-01 00:09:38.932364,2023-02-01 00:09:39.953387,0 days 00:00:01.021023,8,4,35,COMPLETE
38,0.85,2023-02-01 00:09:39.953602,2023-02-01 00:09:40.833627,0 days 00:00:00.880025,16,5,49,COMPLETE
39,0.8333333333333334,2023-02-01 00:09:40.833831,2023-02-01 00:09:42.029763,0 days 00:00:01.195932,5,2,15,COMPLETE
40,0.85,2023-02-01 00:09:42.029964,2023-02-01 00:09:43.030387,0 days 00:00:01.000423,9,4,43,COMPLETE
41,0.8333333333333334,2023-02-01 00:09:43.030606,2023-02-01 00:09:43.814000,0 days 00:00:00.783394,4,5,100,COMPLETE
42,0.85,2023-02-01 00:09:43.814208,2023-02-01 00:09:44.735267,0 days 00:00:00.921059,7,5,85,COMPLETE
43,0.85,2023-02-01 00:09:44.735481,2023-02-01 00:09:45.655384,0 days 00:00:00.919903,6,5,26,COMPLETE
44,0.85,2023-02-01 00:09:45.655587,2023-02-01 00:09:46.549238,0 days 00:00:00.893651,18,5,73,COMPLETE
45,0.85,2023-02-01 00:09:46.549524,2023-02-01 00:09:47.243804,0 days 00:00:00.694280,3,5,81,COMPLETE
46,0.85,2023-02-01 00:09:47.244009,2023-02-01 00:09:48.199787,0 days 00:00:00.955778,12,5,20,COMPLETE
47,0.85,2023-02-01 00:09:48.199999,2023-02-01 00:09:49.291795,0 days 00:00:01.091796,10,4,61,COMPLETE
48,0.85,2023-02-01 00:09:49.291991,2023-02-01 00:09:50.188865,0 days 00:00:00.896874,15,5,31,COMPLETE
49,0.85,2023-02-01 00:09:50.189062,2023-02-01 00:09:51.234255,0 days 00:00:01.045193,8,4,94,COMPLETE
