number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,state
0,0.7833333333333333,2023-02-01 00:13:25.903383,2023-02-01 00:13:25.994254,0 days 00:00:00.090871,0.153443718609775,0.6257024223113384,COMPLETE
1,0.8,2023-02-01 00:13:25.995073,2023-02-01 00:13:26.071804,0 days 00:00:00.076731,0.08987964595934243,0.5746237040636116,COMPLETE
2,0.8,2023-02-01 00:13:26.072229,2023-02-01 00:13:26.202154,0 days 00:00:00.129925,0.6414631051601686,0.42522759982636416,COMPLETE
3,0.45,2023-02-01 00:13:26.202327,2023-02-01 00:13:26.216906,0 days 00:00:00.014579,0.013460301112954307,0.9336574956245094,COMPLETE
4,0.4833333333333333,2023-02-01 00:13:26.217071,2023-02-01 00:13:26.234580,0 days 00:00:00.017509,0.016643169445183365,0.8150205549090522,COMPLETE
5,0.8333333333333333,2023-02-01 00:13:26.234742,2023-02-01 00:13:26.267959,0 days 00:00:00.033217,0.046911753520714826,0.13278802757630637,COMPLETE
6,0.7,2023-02-01 00:13:26.268130,2023-02-01 00:13:26.288407,0 days 00:00:00.020277,0.01224473905489579,0.3534580577813823,COMPLETE
7,0.8,2023-02-01 00:13:26.288569,2023-02-01 00:13:26.320750,0 days 00:00:00.032181,0.04852841762933432,0.20148870528862006,COMPLETE
8,0.8666666666666666,2023-02-01 00:13:26.320917,2023-02-01 00:13:26.357843,0 days 00:00:00.036926,0.08557932635355789,0.2458496068768916,COMPLETE
9,0.7833333333333333,2023-02-01 00:13:26.358016,2023-02-01 00:13:26.439258,0 days 00:00:00.081242,0.6231462286557581,0.09956251207903277,COMPLETE
10,0.8166666666666667,2023-02-01 00:13:26.439433,2023-02-01 00:13:26.492952,0 days 00:00:00.053519,0.21695557551025202,0.29593981337142894,COMPLETE
11,0.8666666666666666,2023-02-01 00:13:26.493111,2023-02-01 00:13:26.526332,0 days 00:00:00.033221,0.0425864828511814,0.026269956592683164,COMPLETE
12,0.8666666666666666,2023-02-01 00:13:26.526467,2023-02-01 00:13:26.556943,0 days 00:00:00.030476,0.03082605351083892,4.365582278523239e-06,COMPLETE
13,0.8166666666666667,2023-02-01 00:13:26.557090,2023-02-01 00:13:26.596999,0 days 00:00:00.039909,0.09551551363160092,0.01559154566583553,COMPLETE
14,0.8,2023-02-01 00:13:26.597140,2023-02-01 00:13:26.626042,0 days 00:00:00.028902,0.029078717963628438,0.2258275271066222,COMPLETE
15,0.7833333333333333,2023-02-01 00:13:26.626177,2023-02-01 00:13:26.661720,0 days 00:00:00.035543,0.06874911593001748,0.27809343876808623,COMPLETE
16,0.8166666666666667,2023-02-01 00:13:26.661860,2023-02-01 00:13:26.708070,0 days 00:00:00.046210,0.16784722475102948,0.15708427314189022,COMPLETE
17,0.7666666666666667,2023-02-01 00:13:26.708212,2023-02-01 00:13:26.736615,0 days 00:00:00.028403,0.029113884379961406,0.3735451908007851,COMPLETE
18,0.8,2023-02-01 00:13:26.736778,2023-02-01 00:13:26.788522,0 days 00:00:00.051744,0.2293732244023671,0.07320505743067772,COMPLETE
19,0.8333333333333334,2023-02-01 00:13:26.788683,2023-02-01 00:13:26.823437,0 days 00:00:00.034754,0.05766434770507687,0.20717611271570396,COMPLETE
20,0.8166666666666667,2023-02-01 00:13:26.823575,2023-02-01 00:13:26.865234,0 days 00:00:00.041659,0.11515404786443505,0.1004163873202456,COMPLETE
21,0.85,2023-02-01 00:13:26.865380,2023-02-01 00:13:26.895616,0 days 00:00:00.030236,0.025824336504975266,0.012440011220214597,COMPLETE
22,0.8666666666666666,2023-02-01 00:13:26.895751,2023-02-01 00:13:26.928378,0 days 00:00:00.032627,0.038885825507057874,0.002116985086437774,COMPLETE
23,0.8,2023-02-01 00:13:26.928516,2023-02-01 00:13:26.955763,0 days 00:00:00.027247,0.020142824031065203,0.14009054543218386,COMPLETE
24,0.85,2023-02-01 00:13:26.955903,2023-02-01 00:13:26.988590,0 days 00:00:00.032687,0.04048990165485846,0.0744127779781606,COMPLETE
25,0.8666666666666666,2023-02-01 00:13:26.988731,2023-02-01 00:13:27.026165,0 days 00:00:00.037434,0.07484713392089419,0.2185985871693547,COMPLETE
26,0.8,2023-02-01 00:13:27.026321,2023-02-01 00:13:27.050513,0 days 00:00:00.024192,0.010314438261418904,0.0653419503520376,COMPLETE
27,0.8166666666666668,2023-02-01 00:13:27.050655,2023-02-01 00:13:27.079393,0 days 00:00:00.028738,0.023059350076500177,0.1587120820636529,COMPLETE
28,0.8666666666666666,2023-02-01 00:13:27.079534,2023-02-01 00:13:27.111549,0 days 00:00:00.032015,0.03441964689093087,0.010629342911319117,COMPLETE
